Wavelength (nm),Reflectance (%)
448,32.91
452,32.8
456,33.11
460,33.46
464,33.85
468,34.15
472,34.42
476,34.61
480,34.66
484,34.7
488,34.76
492,34.81
496,34.81
500,34.83
504,34.85
508,34.89
512,34.89
516,34.82
520,34.59
524,34.33
528,34.06
532,33.74
536,33.47
540,33.19
544,33.04
548,32.68
552,32.43
556,32.2
560,31.98
564,31.7
568,31.42
572,31.14
576,30.87
580,30.74
584,30.65
588,30.49
592,30.34
596,30.3
600,30.26
604,30.16
608,30.04
612,29.92
616,29.85
620,29.79
624,29.66
628,29.52
632,29.48
636,29.51
640,29.43
644,29.4
648,29.43
652,29.38
656,29.27
660,29.2
664,29.2
668,29.26
672,29.23
676,29.18
680,29.11
684,28.96
688,28.85
692,28.84
696,28.82
700,28.84
704,28.78
708,28.82
712,28.91
716,28.89
720,28.69
724,28.69
728,28.52
732,28.41
736,28.41
740,28.5
744,28.5
748,28.53
752,28.55
756,28.52
760,28.53
764,28.59
768,28.66
772,28.72
776,28.76
780,28.79
784,28.78
788,28.86
792,28.85
796,28.9
800,28.79
804,28.8
808,28.69
812,28.61
816,28.61
820,28.58
824,28.52
828,28.4
832,28.28
836,28.15
840,28.01
844,27.86
848,27.67
852,27.5
856,27.32
860,27.16
864,27.04
868,26.89
872,26.74
876,26.59
880,26.44
884,26.3
888,26.15
892,26.07
896,25.98
900,25.87
904,25.78
908,25.71
912,25.67
916,25.57
920,25.47
924,25.41
928,25.37
932,25.34
936,25.33
940,25.32
944,25.27
948,25.21
952,25.14
956,25.08
960,25.04
964,24.98
968,24.94
972,24.91
976,24.85
980,24.78
984,24.73
988,24.73
992,24.72
996,24.68
1000,24.62
1004,24.58
1008,24.49
1012,24.46
1016,24.44
1020,24.44
1024,24.41
1028,24.35
1032,24.31
1036,24.27
1040,24.27
1044,24.25
1048,24.24
1052,24.2
1056,24.19
1060,24.18
1064,24.18
1068,24.2
1072,24.22
1076,24.21
1080,24.23
1084,24.24
1088,24.25
1092,24.28
1096,24.27
1100,24.25
1104,24.22
1108,24.22
1112,24.23
1116,24.26
1120,24.28
1124,24.31
1128,24.35
1132,24.39
1136,24.37
1140,24.37
1144,24.39
1148,24.39
1152,24.42
1156,24.47
1160,24.5
1164,24.54
1168,24.62
1172,24.66
1176,24.67
1180,24.68
1184,24.7
1188,24.74
1192,24.78
1196,24.82
1200,24.86
1204,24.88
1208,24.92
1212,24.96
1216,24.99
1220,25.06
1224,25.11
1228,25.17
1232,25.23
1236,25.27
1240,25.31
1244,25.36
1248,25.44
1252,25.55
1256,25.63
1260,25.69
1264,25.77
1268,25.84
1272,25.88
1276,25.96
1280,26.07
1284,26.16
1288,26.25
1292,26.35
1296,26.42
1300,26.51
1304,26.62
1308,26.69
1312,26.74
1316,26.79
1320,26.84
1324,26.91
1328,26.98
1332,27.09
1336,27.23
1340,27.37
1344,27.49
1348,27.59
1352,27.7
1356,27.78
1360,27.9
1364,27.99
1368,28.06
1372,28.16
1376,28.15
1380,28.1
1384,27.95
1388,27.64
1392,27.25
1396,27
1400,26.96
1404,27.06
1408,27.21
1412,27.39
1416,27.69
1420,28.07
1424,28.51
1428,28.91
1432,29.16
1436,29.3
1440,29.44
1444,29.53
1448,29.62
1452,29.73
1456,29.84
1460,29.92
1464,30
1468,30.09
1472,30.23
1476,30.39
1480,30.56
1484,30.69
1488,30.79
1492,30.9
1496,30.98
1500,31.08
1504,31.14
1508,31.25
1512,31.35
1516,31.47
1520,31.56
1524,31.67
1528,31.74
1532,31.81
1536,31.87
1540,31.92
1544,32.07
1548,32.15
1552,32.23
1556,32.31
1560,32.38
1564,32.45
1568,32.55
1572,32.67
1576,32.75
1580,32.83
1584,32.87
1588,32.95
1592,33
1596,33.05
1600,33.12
1604,33.19
1608,33.24
1612,33.27
1616,33.3
1620,33.4
1624,33.46
1628,33.54
1632,33.63
1636,33.69
1640,33.73
1644,33.79
1648,33.84
1652,33.86
1656,33.86
1660,33.9
1664,33.98
1668,34.11
1672,34.24
1676,34.35
1680,34.49
1684,34.58
1688,34.64
1692,34.64
1696,34.71
1700,34.78
1704,34.85
1708,34.9
1712,34.98
1716,35.04
1720,35.13
1724,35.2
1728,35.29
1732,35.37
1736,35.44
1740,35.45
1744,35.52
1748,35.57
1752,35.62
1756,35.63
1760,35.59
1764,35.65
1768,35.7
1772,35.76
1776,35.85
1780,35.91
1784,36.04
1788,36.09
1792,36.11
1796,36.09
1800,36.04
1804,36.07
1808,36.15
1812,36.19
1816,36.2
1820,36.19
1824,36.2
1828,36.21
1832,36.14
1836,36.07
1840,35.94
1844,35.82
1848,35.78
1852,35.75
1856,35.62
1860,35.44
1864,35.26
1868,35.07
1872,34.88
1876,34.61
1880,34.23
1884,33.73
1888,33.07
1892,32.27
1896,31.42
1900,30.62
1904,29.96
1908,29.59
1912,29.57
1916,29.75
1920,29.99
1924,30.21
1928,30.4
1932,30.53
1936,30.58
1940,30.59
1944,30.57
1948,30.54
1952,30.54
1956,30.55
1960,30.54
1964,30.61
1968,30.67
1972,30.69
1976,30.72
1980,30.76
1984,30.75
1988,30.84
1992,30.88
1996,30.9
2000,30.94
2004,30.99
2008,31.05
2012,31.19
2016,31.3
2020,31.41
2024,31.58
2028,31.76
2032,31.82
2036,31.83
2040,31.86
2044,31.85
2048,31.8
2052,31.73
2056,31.61
2060,31.55
2064,31.52
2068,31.48
2072,31.45
2076,31.46
2080,31.35
2084,31.2
2088,30.99
2092,30.81
2096,30.6
2100,30.42
2104,30.19
2108,29.96
2112,29.73
2116,29.56
2120,29.42
2124,29.31
2128,29.26
2132,29.18
2136,29.1
2140,29.03
2144,28.96
2148,28.87
2152,28.84
2156,28.79
2160,28.75
2164,28.67
2168,28.64
2172,28.56
2176,28.45
2180,28.33
2184,28.19
2188,28.13
2192,28.07
2196,28.04
2200,27.96
2204,27.86
2208,27.76
2212,27.6
2216,27.37
2220,27.13
2224,26.86
2228,26.63
2232,26.27
2236,25.74
2240,25.08
2244,24.46
2248,23.94
2252,23.71
2256,23.63
2260,23.6
2264,23.45
2268,23.17
2272,22.67
2276,22.03
2280,21.27
2284,20.47
2288,19.7
2292,18.95
2296,18.37
2300,17.97
2304,17.74
2308,17.61
2312,17.5
2316,17.49
2320,17.5
2324,17.56
2328,17.67
2332,17.88
2336,18.14
2340,18.46
2344,18.77
2348,19.12
2352,19.43
2356,19.71
2360,19.91
2364,20.01
2368,19.95
2372,19.75
2376,19.36
2380,18.96
2384,18.64
2388,18.58
2392,18.63
2396,18.76
2400,18.94
2404,19.19
2408,19.41
2412,19.63
2416,19.83
2420,19.99
2424,20.19
2428,20.33
2432,20.36
2436,20.38
2440,20.38
2444,20.39
2448,20.3
2452,20.13
2456,19.94
2460,19.8
2464,19.72
2468,19.63
2472,19.52
2476,19.48
2480,19.51
2484,19.56
2488,19.57
2492,19.54
2496,19.52
2500,19.53
