Wavelength (nm),Reflectance (%)
448,18.43
452,18.38
456,18.35
460,18.41
464,18.47
468,18.55
472,18.64
476,18.71
480,18.77
484,18.85
488,18.9
492,18.9
496,18.96
500,19.02
504,19.07
508,19.13
512,19.24
516,19.35
520,19.41
524,19.43
528,19.44
532,19.48
536,19.53
540,19.54
544,19.61
548,19.64
552,19.68
556,19.73
560,19.76
564,19.78
568,19.81
572,19.85
576,19.9
580,19.95
584,19.99
588,20.04
592,20.06
596,20.07
600,20.04
604,20.04
608,20.03
612,20.02
616,20.02
620,20.02
624,20.01
628,19.99
632,19.99
636,19.95
640,19.93
644,19.91
648,19.9
652,19.89
656,19.84
660,19.8
664,19.81
668,19.86
672,19.82
676,19.8
680,19.77
684,19.72
688,19.67
692,19.62
696,19.58
700,19.56
704,19.52
708,19.46
712,19.44
716,19.43
720,19.42
724,19.43
728,19.43
732,19.42
736,19.43
740,19.41
744,19.39
748,19.36
752,19.34
756,19.35
760,19.38
764,19.39
768,19.37
772,19.39
776,19.41
780,19.43
784,19.42
788,19.37
792,19.34
796,19.33
800,19.32
804,19.29
808,19.26
812,19.23
816,19.13
820,19
824,19
828,19
832,18.93
836,18.79
840,18.69
844,18.64
848,18.54
852,18.51
856,18.45
860,18.36
864,18.28
868,18.18
872,18.08
876,18.11
880,18.16
884,18.08
888,18.03
892,17.98
896,17.93
900,17.92
904,17.9
908,17.93
912,17.92
916,17.95
920,18
924,17.95
928,17.94
932,17.92
936,17.86
940,17.83
944,17.87
948,17.84
952,17.84
956,17.85
960,17.81
964,17.83
968,17.85
972,17.83
976,17.8
980,17.8
984,17.75
988,17.72
992,17.71
996,17.68
1000,17.62
1004,17.55
1008,17.49
1012,17.44
1016,17.39
1020,17.33
1024,17.3
1028,17.3
1032,17.27
1036,17.23
1040,17.2
1044,17.17
1048,17.14
1052,17.07
1056,16.97
1060,16.89
1064,16.8
1068,16.75
1072,16.73
1076,16.7
1080,16.67
1084,16.63
1088,16.6
1092,16.58
1096,16.55
1100,16.49
1104,16.43
1108,16.4
1112,16.35
1116,16.33
1120,16.32
1124,16.29
1128,16.23
1132,16.15
1136,16.09
1140,16.09
1144,16.1
1148,16.11
1152,16.1
1156,16.07
1160,16.05
1164,16.01
1168,15.98
1172,15.96
1176,15.97
1180,15.97
1184,15.97
1188,15.95
1192,15.92
1196,15.92
1200,15.9
1204,15.9
1208,15.91
1212,15.91
1216,15.92
1220,15.93
1224,15.92
1228,15.9
1232,15.88
1236,15.87
1240,15.86
1244,15.86
1248,15.88
1252,15.9
1256,15.91
1260,15.9
1264,15.91
1268,15.91
1272,15.94
1276,16.01
1280,16.06
1284,16.07
1288,16.05
1292,16.03
1296,16.04
1300,16.09
1304,16.13
1308,16.15
1312,16.13
1316,16.1
1320,16.09
1324,16.12
1328,16.15
1332,16.17
1336,16.17
1340,16.16
1344,16.16
1348,16.11
1352,16.06
1356,16.07
1360,16.08
1364,16.08
