Wavelength (nm),Reflectance (%)
448,23.53
452,23.59
456,23.7
460,23.86
464,24.06
468,24.29
472,24.55
476,24.8
480,24.96
484,25.13
488,25.24
492,25.28
496,25.34
500,25.4
504,25.49
508,25.52
512,25.6
516,25.7
520,25.77
524,25.78
528,25.73
532,25.68
536,25.59
540,25.47
544,25.35
548,25.25
552,25.15
556,25.05
560,24.97
564,24.87
568,24.72
572,24.65
576,24.54
580,24.34
584,24.16
588,23.97
592,23.86
596,23.76
600,23.62
604,23.45
608,23.3
612,23.15
616,23.01
620,22.87
624,22.74
628,22.61
632,22.46
636,22.37
640,22.26
644,22.2
648,22.08
652,21.93
656,21.78
660,21.66
664,21.49
668,21.36
672,21.23
676,21.11
680,20.95
684,20.81
688,20.72
692,20.66
696,20.6
700,20.57
704,20.55
708,20.53
712,20.5
716,20.48
720,20.49
724,20.5
728,20.54
732,20.57
736,20.64
740,20.63
744,20.61
748,20.59
752,20.63
756,20.69
760,20.81
764,20.9
768,20.95
772,20.98
776,21.02
780,21.03
784,21.06
788,21.06
792,21.07
796,21.07
800,21.07
804,21.08
808,21.08
812,21.05
816,21.01
820,20.97
824,20.96
828,20.96
832,20.85
836,20.7
840,20.57
844,20.42
848,20.24
852,20.04
856,19.93
860,19.89
864,19.82
868,19.75
872,19.64
876,19.54
880,19.53
884,19.54
888,19.53
892,19.55
896,19.56
900,19.55
904,19.54
908,19.47
912,19.42
916,19.42
920,19.39
924,19.4
928,19.43
932,19.49
936,19.58
940,19.66
944,19.76
948,19.83
952,19.9
956,19.97
960,20.03
964,20.07
968,20.13
972,20.21
976,20.3
980,20.41
984,20.44
988,20.42
992,20.4
996,20.39
1000,20.34
1004,20.34
1008,20.38
1012,20.4
1016,20.43
1020,20.41
1024,20.45
1028,20.44
1032,20.41
1036,20.43
1040,20.45
1044,20.4
1048,20.32
1052,20.29
1056,20.38
1060,20.42
1064,20.45
1068,20.42
1072,20.38
1076,20.34
1080,20.36
1084,20.4
1088,20.41
1092,20.33
1096,20.28
1100,20.24
1104,20.25
1108,20.36
1112,20.5
1116,20.57
1120,20.67
1124,20.75
1128,20.81
1132,20.84
1136,20.88
1140,20.95
1144,20.99
1148,21
1152,21.02
1156,21.06
1160,21.12
1164,21.22
1168,21.35
1172,21.44
1176,21.48
1180,21.58
1184,21.75
1188,21.91
1192,21.98
1196,22.01
1200,22.06
1204,22.15
1208,22.22
1212,22.27
1216,22.38
1220,22.44
1224,22.51
1228,22.59
1232,22.71
1236,22.84
1240,22.99
1244,23.09
1248,23.21
1252,23.35
1256,23.49
1260,23.64
1264,23.8
1268,23.94
1272,24.09
1276,24.23
1280,24.35
1284,24.46
1288,24.51
1292,24.53
1296,24.59
1300,24.68
1304,24.79
1308,24.95
1312,25.07
1316,25.21
1320,25.33
1324,25.46
1328,25.59
1332,25.61
1336,25.64
1340,25.7
1344,25.8
1348,25.9
1352,25.99
1356,26.08
1360,26.2
1364,26.31
1368,26.42
1372,26.53
1376,26.64
1380,26.66
1384,26.58
1388,26.31
1392,26.01
1396,25.79
1400,25.77
1404,25.87
1408,26.08
1412,26.4
1416,26.75
1420,26.98
1424,27.12
1428,27.18
1432,27.2
1436,27.18
1440,27.21
1444,27.21
1448,27.26
1452,27.34
1456,27.43
1460,27.56
1464,27.68
1468,27.88
1472,28.06
1476,28.21
1480,28.3
1484,28.35
1488,28.36
1492,28.38
1496,28.42
1500,28.46
1504,28.47
1508,28.47
1512,28.47
1516,28.54
1520,28.58
1524,28.6
1528,28.62
1532,28.66
1536,28.66
1540,28.7
1544,28.75
1548,28.75
1552,28.72
1556,28.71
1560,28.69
1564,28.69
1568,28.71
1572,28.74
1576,28.83
1580,28.93
1584,29.01
1588,29.06
1592,29.09
1596,29.12
1600,29.14
1604,29.16
1608,29.2
1612,29.25
1616,29.35
1620,29.36
1624,29.39
1628,29.39
1632,29.42
1636,29.46
1640,29.5
1644,29.53
1648,29.56
1652,29.61
1656,29.65
1660,29.69
1664,29.72
1668,29.8
1672,29.93
1676,30.07
1680,30.18
1684,30.21
1688,30.2
1692,30.19
1696,30.18
1700,30.17
1704,30.16
1708,30.18
1712,30.22
1716,30.24
1720,30.25
1724,30.29
1728,30.36
1732,30.42
1736,30.45
1740,30.45
1744,30.43
1748,30.46
1752,30.53
1756,30.6
1760,30.64
1764,30.64
1768,30.63
1772,30.65
1776,30.72
1780,30.78
1784,30.82
1788,30.86
1792,30.88
1796,30.87
1800,30.85
1804,30.81
1808,30.79
1812,30.76
1816,30.71
1820,30.63
1824,30.58
1828,30.58
1832,30.61
1836,30.65
1840,30.67
1844,30.64
1848,30.55
1852,30.47
1856,30.46
1860,30.46
1864,30.43
1868,30.36
1872,30.28
1876,30.2
1880,30.14
1884,30.13
1888,30.15
1892,30.17
1896,30.25
