Wavelength (nm),Reflectance (%)
448,24.75
452,24.52
456,24.48
460,24.42
464,24.52
468,24.65
472,24.78
476,24.87
480,24.86
484,24.88
488,24.93
492,25
496,25.09
500,25.11
504,25.05
508,24.99
512,25.03
516,25.07
520,25.04
524,24.98
528,24.96
532,24.96
536,25
540,24.99
544,25
548,24.99
552,25
556,25.03
560,25.02
564,24.93
568,24.86
572,24.82
576,24.8
580,24.76
584,24.72
588,24.71
592,24.71
596,24.71
600,24.71
604,24.7
608,24.68
612,24.65
616,24.61
620,24.59
624,24.59
628,24.57
632,24.52
636,24.49
640,24.49
644,24.48
648,24.41
652,24.39
656,24.36
660,24.36
664,24.33
668,24.3
672,24.28
676,24.26
680,24.2
684,24.15
688,24.12
692,24.08
696,24
700,23.94
704,23.9
708,23.86
712,23.84
716,23.84
720,23.83
724,23.81
728,23.76
732,23.72
736,23.71
740,23.7
744,23.65
748,23.64
752,23.65
756,23.6
760,23.54
764,23.45
768,23.39
772,23.34
776,23.33
780,23.3
784,23.32
788,23.33
792,23.31
796,23.3
800,23.29
804,23.26
808,23.2
812,23.16
816,23.11
820,23.05
824,23.02
828,23.02
832,23.07
836,23.04
840,22.98
844,22.9
848,22.85
852,22.81
856,22.76
860,22.72
864,22.71
868,22.69
872,22.61
876,22.49
880,22.33
884,22.27
888,22.24
892,22.18
896,22.11
900,22.06
904,22
908,21.95
912,21.89
916,21.84
920,21.83
924,21.81
928,21.73
932,21.66
936,21.59
940,21.55
944,21.52
948,21.53
952,21.51
956,21.47
960,21.44
964,21.43
968,21.42
972,21.38
976,21.32
980,21.29
984,21.3
988,21.3
992,21.29
996,21.27
1000,21.23
1004,21.21
1008,21.2
1012,21.17
1016,21.16
1020,21.12
1024,21.09
1028,21.06
1032,21.01
1036,20.97
1040,20.96
1044,20.96
1048,20.96
1052,20.97
1056,20.99
1060,20.92
1064,20.95
1068,20.87
1072,20.9
1076,20.86
1080,20.85
1084,20.9
1088,20.84
1092,20.76
1096,20.77
1100,20.81
1104,20.77
1108,20.73
1112,20.83
1116,20.84
1120,20.73
1124,20.77
1128,20.65
1132,20.56
1136,20.55
1140,20.47
1144,20.47
1148,20.45
1152,20.39
1156,20.45
1160,20.46
1164,20.37
1168,20.34
1172,20.34
1176,20.3
1180,20.18
1184,20.17
1188,20.15
1192,20.11
1196,20.08
1200,20.12
1204,20.16
1208,20.09
1212,20.12
1216,20.07
1220,20.11
1224,20.06
1228,20.04
1232,20
1236,20.03
1240,20.02
1244,19.96
1248,20.02
1252,19.96
1256,19.9
1260,19.83
1264,19.84
1268,19.83
1272,19.9
1276,19.83
1280,19.77
1284,19.77
1288,19.71
1292,19.69
1296,19.73
1300,19.66
1304,19.65
1308,19.66
1312,19.57
1316,19.51
1320,19.58
1324,19.62
1328,19.56
1332,19.62
1336,19.54
1340,19.48
1344,19.5
1348,19.43
1352,19.46
1356,19.45
1360,19.37
1364,19.36
1368,19.38
1372,19.39
1376,19.32
1380,19.31
1384,19.31
1388,19.36
1392,19.35
1396,19.28
1400,19.27
1404,19.25
1408,19.24
1412,19.27
1416,19.28
1420,19.24
1424,19.28
1428,19.19
1432,19.11
1436,19.15
1440,19.1
1444,19.06
1448,19.11
1452,19.13
1456,19.08
1460,19.02
1464,19.06
1468,18.99
1472,19.03
1476,19.08
1480,19.05
1484,19.05
1488,19.04
1492,19.06
1496,19.06
1500,18.97
1504,19.01
1508,19.02
1512,18.98
1516,18.99
1520,19
1524,18.94
1528,18.9
1532,18.93
1536,18.88
1540,18.87
1544,18.83
1548,18.86
1552,18.9
1556,18.86
1560,18.85
1564,18.87
1568,18.9
1572,18.9
1576,18.83
1580,18.79
1584,18.83
1588,18.87
1592,18.83
1596,18.8
1600,18.82
1604,18.88
1608,18.86
1612,18.93
1616,18.87
1620,18.87
1624,18.9
1628,18.9
1632,18.96
1636,18.91
1640,18.81
1644,18.81
1648,18.84
1652,18.87
1656,18.88
1660,18.78
1664,18.8
1668,18.81
1672,18.8
1676,18.75
1680,18.66
1684,18.69
1688,18.69
1692,18.68
1696,18.66
1700,18.64
1704,18.63
1708,18.56
1712,18.57
1716,18.51
1720,18.51
1724,18.51
1728,18.49
1732,18.39
1736,18.37
1740,18.41
1744,18.37
1748,18.23
1752,18.23
1756,18.3
1760,18.32
1764,18.34
1768,18.26
1772,18.29
1776,18.25
1780,18.16
1784,18.19
1788,18.22
1792,18.17
1796,18.13
1800,18.06
1804,18.07
1808,18.13
1812,18.06
1816,18.08
1820,18.02
1824,17.92
1828,18
1832,17.99
1836,18.04
1840,18.11
1844,18.04
1848,18.06
1852,18.07
1856,18.05
1860,18.03
1864,17.91
1868,17.96
1872,17.97
1876,17.91
1880,17.92
1884,17.85
1888,17.85
1892,17.82
1896,17.7
1900,17.71
1904,17.67
1908,17.67
1912,17.66
1916,17.57
1920,17.6
1924,17.53
1928,17.5
1932,17.51
1936,17.44
1940,17.45
1944,17.4
1948,17.39
1952,17.36
1956,17.27
1960,17.26
1964,17.31
1968,17.33
1972,17.34
1976,17.34
1980,17.31
1984,17.34
1988,17.31
1992,17.33
1996,17.26
2000,17.23
2004,17.25
2008,17.18
2012,17.22
2016,17.26
2020,17.24
2024,17.25
2028,17.19
2032,17.17
2036,17.1
2040,17.09
2044,17.05
2048,17.02
2052,17.01
2056,16.95
2060,16.95
2064,16.94
2068,16.89
2072,16.86
2076,16.87
2080,16.86
2084,16.86
2088,16.87
2092,16.83
2096,16.86
2100,16.86
2104,16.9
2108,16.91
2112,16.88
2116,16.82
2120,16.76
2124,16.79
2128,16.73
2132,16.75
2136,16.76
2140,16.73
2144,16.74
2148,16.74
2152,16.68
2156,16.72
2160,16.74
2164,16.7
2168,16.74
2172,16.75
2176,16.72
2180,16.69
2184,16.64
2188,16.62
2192,16.68
2196,16.67
2200,16.68
2204,16.65
2208,16.63
2212,16.62
2216,16.62
2220,16.57
2224,16.53
2228,16.53
2232,16.53
2236,16.54
2240,16.57
2244,16.56
2248,16.49
2252,16.45
2256,16.39
2260,16.43
2264,16.5
2268,16.44
2272,16.44
2276,16.41
2280,16.41
2284,16.44
2288,16.4
2292,16.39
2296,16.44
2300,16.38
2304,16.41
2308,16.44
2312,16.4
2316,16.4
2320,16.4
2324,16.37
2328,16.34
2332,16.34
2336,16.34
2340,16.34
2344,16.31
2348,16.31
2352,16.32
2356,16.25
2360,16.17
2364,16.2
2368,16.2
2372,16.19
2376,16.22
2380,16.23
2384,16.28
2388,16.28
2392,16.28
2396,16.29
2400,16.29
2404,16.2
2408,16.25
2412,16.22
2416,16.21
2420,16.25
2424,16.25
2428,16.32
2432,16.3
2436,16.35
2440,16.34
2444,16.37
2448,16.42
2452,16.5
2456,16.54
