Wavelength (nm),Reflectance (%)
448,14.48
452,14.28
456,14.27
460,14.34
464,14.37
468,14.36
472,14.42
476,14.54
480,14.64
484,14.69
488,14.76
492,14.88
496,15.01
500,15.13
504,15.27
508,15.45
512,15.67
516,15.89
520,16.11
524,16.36
528,16.69
532,17.12
536,17.63
540,18.23
544,18.96
548,19.83
552,20.85
556,21.98
560,23.2
564,24.54
568,25.94
572,27.38
576,28.83
580,30.24
584,31.56
588,32.77
592,33.87
596,34.83
600,35.68
604,36.48
608,37.14
612,37.65
616,38.07
620,38.48
624,38.88
628,39.25
632,39.61
636,39.94
640,40.29
644,40.61
648,40.94
652,41.22
656,41.53
660,41.86
664,42.24
668,42.61
672,42.93
676,43.29
680,43.63
684,43.98
688,44.32
692,44.71
696,45.12
700,45.5
704,45.86
708,46.17
712,46.45
716,46.73
720,46.98
724,47.25
728,47.51
732,47.75
736,47.95
740,48.13
744,48.21
748,48.21
752,48.16
756,48.14
760,48.14
764,48.07
768,47.98
772,47.85
776,47.72
780,47.57
784,47.43
788,47.31
792,47.18
796,47.04
800,46.9
804,46.75
808,46.58
812,46.37
816,46.18
820,45.99
824,45.86
828,45.86
832,45.73
836,45.59
840,45.48
844,45.39
848,45.28
852,45.13
856,44.97
860,44.84
864,44.76
868,44.71
872,44.66
876,44.64
880,44.61
884,44.61
888,44.64
892,44.74
896,44.83
900,44.92
904,44.96
908,45.04
912,45.19
916,45.34
920,45.49
924,45.65
928,45.82
932,46
936,46.21
940,46.41
944,46.62
948,46.85
952,47.1
956,47.34
960,47.58
964,47.81
968,48.07
972,48.35
976,48.63
980,48.88
984,49.12
988,49.36
992,49.61
996,49.85
1000,50.09
1004,50.33
1008,50.58
1012,50.8
1016,50.99
1020,51.14
1024,51.3
1028,51.43
1032,51.57
1036,51.72
1040,51.86
1044,51.98
1048,52.1
1052,52.21
1056,52.31
1060,52.41
1064,52.49
1068,52.55
1072,52.64
1076,52.73
1080,52.81
1084,52.9
1088,53.01
1092,53.07
1096,53.17
1100,53.23
1104,53.26
1108,53.31
1112,53.4
1116,53.48
1120,53.56
1124,53.62
1128,53.64
1132,53.66
1136,53.69
1140,53.65
1144,53.64
1148,53.63
1152,53.56
1156,53.47
1160,53.37
1164,53.3
1168,53.26
1172,53.18
1176,53.1
1180,53.04
1184,53.04
1188,53.05
1192,53.03
1196,53.03
1200,53.01
1204,53.01
1208,53.12
1212,53.25
1216,53.35
1220,53.42
1224,53.44
1228,53.47
1232,53.52
1236,53.57
1240,53.69
1244,53.79
1248,53.84
1252,53.87
1256,53.9
1260,53.94
1264,53.97
1268,53.96
1272,53.97
1276,54
1280,54.03
1284,54.01
1288,53.97
1292,53.94
1296,53.9
1300,53.84
1304,53.81
1308,53.76
1312,53.66
1316,53.57
1320,53.41
1324,53.27
1328,53.11
1332,52.98
1336,52.81
1340,52.59
1344,52.35
1348,52.09
1352,51.86
1356,51.6
1360,51.35
1364,51.05
1368,50.71
1372,50.29
1376,49.79
1380,49.21
1384,48.41
1388,47.36
1392,46.14
1396,44.82
1400,43.42
1404,42.02
1408,40.8
1412,40.02
1416,39.73
1420,39.76
1424,39.85
1428,39.82
1432,39.59
1436,38.95
1440,38.21
1444,37.75
1448,37.92
1452,38.51
1456,39.12
1460,39.55
1464,39.85
1468,40.09
1472,40.34
1476,40.55
1480,40.64
1484,40.62
1488,40.62
1492,40.8
1496,41.23
1500,41.84
1504,42.49
1508,43.01
1512,43.37
1516,43.58
1520,43.66
1524,43.67
1528,43.65
1532,43.62
1536,43.67
1540,43.86
1544,44.23
1548,44.76
1552,45.32
1556,45.82
1560,46.26
1564,46.66
1568,47.01
1572,47.35
1576,47.68
1580,47.96
1584,48.22
1588,48.44
1592,48.64
1596,48.79
1600,48.95
1604,49.14
1608,49.39
1612,49.62
1616,49.8
1620,49.92
1624,50.02
1628,50.02
1632,50.12
1636,50.23
1640,50.37
1644,50.48
1648,50.59
1652,50.68
1656,50.75
1660,50.78
1664,50.82
1668,50.8
1672,50.78
1676,50.77
1680,50.7
1684,50.65
1688,50.56
1692,50.41
1696,50.22
1700,49.96
1704,49.65
1708,49.3
1712,48.86
1716,48.34
1720,47.73
1724,47.11
1728,46.5
1732,45.91
1736,45.38
1740,44.91
1744,44.59
1748,44.45
1752,44.45
1756,44.56
1760,44.71
1764,44.82
1768,44.9
1772,44.95
1776,45.03
1780,45.18
1784,45.38
1788,45.63
1792,45.9
1796,46.17
1800,46.37
1804,46.48
1808,46.58
1812,46.64
1816,46.7
1820,46.76
1824,46.82
1828,46.88
1832,46.8
1836,46.67
1840,46.45
1844,46.17
1848,45.78
1852,45.27
1856,44.6
1860,43.74
1864,42.68
1868,41.36
1872,39.86
1876,38.17
1880,36.27
1884,34.15
1888,31.91
1892,29.62
1896,27.48
1900,25.66
1904,24.33
1908,23.47
1912,22.99
1916,22.64
1920,22.33
1924,22.02
1928,21.71
1932,21.41
1936,21.21
1940,21.17
1944,21.24
1948,21.48
1952,21.98
1956,22.54
1960,23.03
1964,23.35
1968,23.59
1972,23.83
1976,24.09
1980,24.61
1984,25.14
1988,25.8
1992,26.66
1996,27.65
2000,28.62
2004,29.5
2008,30.25
2012,30.88
2016,31.46
2020,32.03
2024,32.57
2028,33.01
2032,33.35
2036,33.64
2040,33.9
2044,34.14
2048,34.35
2052,34.51
2056,34.65
2060,34.76
2064,34.85
2068,34.92
2072,34.97
2076,35.01
2080,35.01
2084,34.94
2088,34.84
2092,34.71
2096,34.54
2100,34.35
2104,34.17
2108,34.04
2112,33.94
2116,33.83
2120,33.72
2124,33.69
2128,33.68
2132,33.56
2136,33.42
2140,33.23
2144,33.02
2148,32.82
2152,32.46
2156,32.28
2160,32.09
2164,31.84
2168,31.57
2172,31.31
2176,30.94
2180,30.64
2184,30.34
2188,29.91
2192,29.43
2196,28.94
2200,28.46
2204,28.13
2208,28.04
2212,28.19
2216,28.5
2220,28.94
2224,29.55
2228,30.15
2232,30.59
2236,30.87
2240,31.05
2244,31.17
2248,31.27
2252,31.31
2256,31.35
2260,31.3
2264,31.25
2268,31.29
2272,31.4
2276,31.55
2280,31.67
2284,31.7
2288,31.68
2292,31.61
2296,31.54
2300,31.37
2304,31.17
2308,30.95
2312,30.77
2316,30.59
2320,30.4
2324,30.12
2328,29.79
2332,29.44
2336,29.1
2340,28.84
2344,28.63
2348,28.43
2352,28.21
2356,27.97
2360,27.69
2364,27.4
2368,27.06
2372,26.67
2376,26.27
2380,25.85
2384,25.43
2388,25.01
2392,24.6
2396,24.22
2400,23.84
2404,23.48
2408,23.17
2412,22.9
2416,22.66
2420,22.41
2424,22.2
2428,22.06
2432,22
2436,21.96
2440,21.97
2444,21.96
2448,21.95
2452,21.97
2456,21.98
2460,22
2464,22.06
2468,22.1
2472,22.19
2476,22.27
2480,22.38
2484,22.54
2488,22.79
2492,23.07
2496,23.4
2500,23.73
