Wavelength (nm),Reflectance (%)
448,50.41
452,50.57
456,50.79
460,50.87
464,50.92
468,51.11
472,51.33
476,51.5
480,51.74
484,51.92
488,52.01
492,52.07
496,52.07
500,52.07
504,52.14
508,52.15
512,52.12
516,52.03
520,51.96
524,51.86
528,51.74
532,51.64
536,51.55
540,51.45
544,51.27
548,51.14
552,51.02
556,50.88
560,50.69
564,50.43
568,50.29
572,50.22
576,50.15
580,50.11
584,50.01
588,49.9
592,49.75
596,49.65
600,49.61
604,49.51
608,49.42
612,49.36
616,49.3
620,49.27
624,49.27
628,49.23
632,49.16
636,49.12
640,49.06
644,49.05
648,48.96
652,48.92
656,48.88
660,48.87
664,48.76
668,48.68
672,48.6
676,48.51
680,48.46
684,48.42
688,48.39
692,48.38
696,48.3
700,48.2
704,48.15
708,48.1
712,47.99
716,47.89
720,47.94
724,48.02
728,48.08
732,48.01
736,47.98
740,47.92
744,47.88
748,47.85
752,47.84
756,47.85
760,47.82
764,47.75
768,47.68
772,47.62
776,47.63
780,47.67
784,47.61
788,47.52
792,47.42
796,47.35
800,47.31
804,47.25
808,47.23
812,47.2
816,47.2
820,47.07
824,46.87
828,46.63
832,46.45
836,46.33
840,46.16
844,45.96
848,45.71
852,45.48
856,45.29
860,45.13
864,44.95
868,44.75
872,44.51
876,44.36
880,44.25
884,44.19
888,44.16
892,44.09
896,43.98
900,43.93
904,43.9
908,43.88
912,43.85
916,43.86
920,43.87
924,43.87
928,43.9
932,43.87
936,43.87
940,43.91
944,43.92
948,43.91
952,43.86
956,43.81
960,43.8
964,43.77
968,43.76
972,43.72
976,43.69
980,43.64
984,43.59
988,43.54
992,43.51
996,43.49
1000,43.42
1004,43.34
1008,43.26
1012,43.23
1016,43.16
1020,43.04
1024,42.97
1028,42.9
1032,42.82
1036,42.8
1040,42.75
1044,42.69
1048,42.64
1052,42.61
1056,42.55
1060,42.45
1064,42.38
1068,42.34
1072,42.3
1076,42.25
1080,42.19
1084,42.17
