Wavelength (nm),Reflectance (%)
448,19.93
452,20.03
456,19.99
460,19.95
464,19.9
468,19.94
472,20
476,20.09
480,20.21
484,20.35
488,20.49
492,20.62
496,20.79
500,20.99
504,21.17
508,21.41
512,21.64
516,21.94
520,22.27
524,22.61
528,22.94
532,23.31
536,23.73
540,24.12
544,24.52
548,24.95
552,25.4
556,25.89
560,26.37
564,26.83
568,27.28
572,27.71
576,28.14
580,28.54
584,28.89
588,29.17
592,29.42
596,29.65
600,29.84
604,30
608,30.12
612,30.24
616,30.3
620,30.37
624,30.46
628,30.47
632,30.52
636,30.64
640,30.72
644,30.72
648,30.74
652,30.78
656,30.81
660,30.98
664,31.06
668,31.17
672,31.26
676,31.37
680,31.47
684,31.53
688,31.68
692,31.75
696,31.86
700,32.02
704,32.16
708,32.3
712,32.43
716,32.54
720,32.66
724,32.79
728,32.95
732,33.1
736,33.09
740,33.08
744,33.15
748,33.2
752,33.22
756,33.19
760,33.2
764,33.11
768,33.05
772,32.92
776,32.86
780,32.79
784,32.64
788,32.53
792,32.35
796,32.19
800,32.03
804,31.88
808,31.74
812,31.58
816,31.43
820,31.31
824,31.2
828,31.2
832,31.14
836,30.92
840,30.79
844,30.58
848,30.52
852,30.36
856,30.09
860,29.89
864,29.77
868,29.62
872,29.54
876,29.44
880,29.36
884,29.26
888,29.11
892,29
896,28.89
900,28.8
904,28.66
908,28.58
912,28.58
916,28.55
920,28.57
924,28.56
928,28.49
932,28.36
936,28.36
940,28.4
944,28.34
948,28.32
952,28.31
956,28.32
960,28.31
964,28.25
968,28.27
972,28.36
976,28.36
980,28.31
984,28.35
988,28.39
992,28.36
996,28.48
1000,28.53
1004,28.57
1008,28.62
1012,28.7
1016,28.8
1020,28.88
1024,28.95
1028,29
1032,29.07
1036,29.2
1040,29.28
1044,29.33
1048,29.43
1052,29.55
1056,29.7
1060,29.78
1064,29.9
1068,29.98
1072,30.13
1076,30.28
1080,30.46
1084,30.6
1088,30.74
1092,30.88
1096,31.02
1100,31.2
1104,31.38
1108,31.6
1112,31.79
1116,31.98
1120,32.18
1124,32.39
1128,32.6
1132,32.81
1136,33.04
1140,33.28
1144,33.52
1148,33.73
1152,33.95
1156,34.17
1160,34.4
1164,34.63
1168,34.85
1172,35.06
1176,35.27
1180,35.51
1184,35.74
1188,35.96
1192,36.16
1196,36.36
1200,36.62
1204,36.78
1208,36.97
1212,37.16
1216,37.4
1220,37.62
1224,37.79
1228,37.92
1232,38.08
1236,38.18
1240,38.32
1244,38.47
1248,38.61
1252,38.74
1256,38.86
1260,38.98
1264,39.06
1268,39.08
1272,39.08
1276,39.1
1280,39.17
1284,39.3
1288,39.42
1292,39.56
1296,39.68
1300,39.78
1304,39.9
1308,40
1312,40.07
1316,40.18
1320,40.24
1324,40.25
1328,40.32
1332,40.32
1336,40.34
1340,40.36
1344,40.4
1348,40.4
1352,40.39
1356,40.37
1360,40.35
1364,40.4
1368,40.38
1372,40.44
1376,40.44
1380,40.38
1384,40.23
1388,40.05
1392,39.71
1396,39.34
1400,38.93
1404,38.61
1408,38.45
1412,38.46
1416,38.51
1420,38.67
1424,38.87
1428,38.93
1432,39.04
1436,39.13
1440,39.16
1444,39.2
1448,39.28
1452,39.32
1456,39.3
1460,39.38
1464,39.5
1468,39.56
1472,39.68
1476,39.79
1480,39.83
1484,39.91
1488,40
1492,40.12
1496,40.15
1500,40.28
1504,40.33
1508,40.41
1512,40.55
1516,40.6
1520,40.59
1524,40.64
1528,40.75
1532,40.7
1536,40.78
1540,40.8
1544,40.75
1548,40.82
1552,40.82
1556,40.83
1560,40.79
1564,40.8
1568,40.75
1572,40.66
1576,40.64
1580,40.55
1584,40.49
1588,40.53
1592,40.4
1596,40.42
1600,40.35
1604,40.27
1608,40.19
1612,40.2
1616,40.1
1620,40.02
1624,40.01
1628,40.01
1632,39.96
1636,39.9
1640,39.86
1644,39.84
1648,39.81
1652,39.76
1656,39.75
1660,39.73
1664,39.72
1668,39.7
1672,39.68
1676,39.66
1680,39.64
1684,39.64
1688,39.61
1692,39.56
1696,39.51
1700,39.51
1704,39.53
1708,39.52
1712,39.54
1716,39.54
1720,39.56
1724,39.54
1728,39.47
1732,39.4
1736,39.29
1740,39.22
1744,39.19
1748,39.15
1752,39.12
1756,39.12
1760,39.11
1764,39.06
1768,39.02
1772,39.01
1776,38.97
1780,38.89
1784,38.81
1788,38.79
1792,38.79
1796,38.79
1800,38.83
1804,38.85
1808,38.85
1812,38.86
1816,38.87
1820,38.83
1824,38.81
1828,38.75
1832,38.7
1836,38.64
1840,38.58
1844,38.57
1848,38.55
1852,38.47
1856,38.34
1860,38.17
1864,37.97
1868,37.7
1872,37.38
1876,36.96
1880,36.4
1884,35.74
1888,35.05
1892,34.39
1896,33.77
1900,33.21
1904,32.73
1908,32.33
1912,32.04
1916,31.9
1920,31.8
1924,31.71
1928,31.62
1932,31.55
1936,31.51
1940,31.56
1944,31.66
1948,31.76
1952,31.85
1956,31.95
1960,32.06
1964,32.18
1968,32.31
1972,32.46
1976,32.61
1980,32.77
1984,32.91
1988,33.08
1992,33.22
1996,33.36
2000,33.53
2004,33.7
2008,33.88
2012,34.04
2016,34.21
2020,34.39
2024,34.59
2028,34.8
2032,34.97
2036,35.17
2040,35.33
2044,35.45
2048,35.56
2052,35.64
2056,35.72
2060,35.79
2064,35.88
2068,35.99
2072,36.12
2076,36.22
2080,36.28
2084,36.3
2088,36.37
2092,36.41
2096,36.41
2100,36.4
2104,36.38
2108,36.39
2112,36.43
2116,36.51
2120,36.52
2124,36.52
2128,36.52
2132,36.5
2136,36.5
2140,36.45
2144,36.34
2148,36.19
2152,36.06
2156,35.96
2160,35.81
2164,35.64
2168,35.37
2172,35.05
2176,34.73
2180,34.41
2184,34.03
2188,33.67
2192,33.37
2196,33.22
2200,33.16
2204,33.16
2208,33.21
2212,33.33
2216,33.46
2220,33.54
2224,33.61
2228,33.63
2232,33.63
2236,33.56
2240,33.45
2244,33.35
2248,33.23
2252,33.09
2256,32.94
2260,32.79
2264,32.65
2268,32.51
2272,32.38
2276,32.27
2280,32.1
2284,31.93
2288,31.72
2292,31.53
2296,31.31
2300,31.06
2304,30.85
2308,30.63
2312,30.44
2316,30.24
2320,30.11
2324,29.95
2328,29.78
2332,29.66
2336,29.61
2340,29.61
2344,29.61
2348,29.6
2352,29.58
2356,29.56
2360,29.57
2364,29.56
2368,29.49
2372,29.37
2376,29.27
2380,29.17
2384,29.09
2388,28.99
2392,28.88
2396,28.75
2400,28.65
2404,28.55
2408,28.42
2412,28.29
2416,28.15
2420,28.02
2424,27.87
2428,27.73
2432,27.62
2436,27.54
2440,27.48
2444,27.47
2448,27.45
2452,27.41
2456,27.36
2460,27.37
2464,27.4
2468,27.41
2472,27.4
2476,27.43
2480,27.5
2484,27.55
2488,27.59
2492,27.59
2496,27.62
2500,27.71
