Wavelength (nm),Reflectance (%)
448,0
452,0.34
456,0.36
460,1.06
464,1.07
468,1.15
472,1.64
476,1.79
480,1.87
484,2.04
488,2.33
492,2.65
496,3.04
500,3.54
504,3.92
508,4.51
512,4.56
516,5.21
520,5.87
524,6.49
528,7.17
532,8.12
536,9.44
540,10.8
544,12.32
548,14.34
552,16.72
556,19.47
560,22.35
564,25.39
568,28.89
572,32.25
576,35.67
580,38.96
584,41.98
588,44.62
592,46.79
596,49.08
600,50.82
604,52.11
608,53.79
612,54.91
616,55.54
620,56.31
624,57.24
628,57.95
632,58.22
636,58.53
640,58.66
644,58.95
648,59.81
652,60.06
656,60.17
660,60.9
664,61.3
668,61.8
672,62.32
676,62.75
680,62.91
684,63.17
688,63.67
692,64.33
696,65.01
700,65.31
704,65.32
708,65.69
712,66.25
716,66.62
720,66.89
724,67.3
728,67.6
732,67.79
736,67.77
740,68.11
744,68.4
748,68.31
752,68.48
756,68.05
760,67.42
764,67.52
768,67.72
772,67.61
776,67.46
780,67.23
784,66.72
788,66.54
792,66.53
796,66.45
800,66.26
804,65.85
808,65.26
812,64.78
816,64.76
820,64.65
824,64.14
828,64.14
832,64.41
836,64.23
840,63.91
844,63.58
848,63.25
852,63.19
856,62.95
860,62.62
864,62.49
868,62.59
872,62.63
876,62.66
880,62.66
884,62.31
888,62.26
892,62.08
896,62.06
900,62.26
904,62.24
908,62.91
912,63.23
916,63.51
920,64.14
924,64.59
928,64.96
932,65.4
936,65.97
940,66.6
944,67.09
948,67.56
952,68.14
956,68.46
960,68.88
964,69.47
968,70.12
972,70.75
976,71.62
980,72.31
984,72.93
988,73.46
992,73.99
996,74.48
1000,75.26
1004,75.7
1008,76.01
1012,76.25
1016,76.73
1020,77.02
1024,77.23
1028,77.41
1032,77.73
1036,77.82
1040,78.12
1044,78.36
1048,78.53
1052,78.6
1056,78.77
1060,79.05
1064,79.12
1068,79.19
1072,79.41
1076,79.39
1080,79.67
1084,79.82
1088,79.83
1092,79.99
1096,80.3
1100,80.2
1104,80.25
1108,80.57
1112,80.74
1116,80.68
1120,80.93
1124,81
1128,81.09
1132,81.26
1136,81.11
1140,81.4
1144,81.81
1148,82.05
1152,82.08
1156,82.45
1160,82.55
1164,82.67
1168,83.14
1172,83.37
1176,83.59
1180,84
1184,84.33
1188,84.34
1192,84.47
1196,84.42
1200,84.71
1204,85.02
1208,85.24
1212,85.57
1216,85.58
1220,85.8
1224,86.11
1228,86.23
1232,86.18
1236,85.95
1240,85.85
1244,85.97
1248,86.48
1252,86.94
1256,87.32
1260,87.48
1264,87.76
1268,88.24
1272,88.41
1276,88.31
1280,88.34
1284,88.45
1288,88.43
1292,88.2
1296,88.16
1300,88.22
1304,88.04
1308,87.89
1312,87.96
1316,88.07
1320,88.19
1324,88.12
1328,87.85
1332,87.8
1336,88.06
1340,88.03
