Wavelength (nm),Reflectance (%)
448,17.96
452,17.43
456,17.01
460,16.69
464,16.48
468,16.36
472,16.35
476,16.41
480,16.46
484,16.56
488,16.66
492,16.75
496,16.86
500,16.83
504,16.75
508,16.67
512,16.57
516,16.48
520,16.44
524,16.39
528,16.4
532,16.39
536,16.4
540,16.45
544,16.48
548,16.49
552,16.47
556,16.46
560,16.49
564,16.5
568,16.52
572,16.55
576,16.55
580,16.55
584,16.54
588,16.54
592,16.55
596,16.57
600,16.56
604,16.54
608,16.54
612,16.53
616,16.52
620,16.51
624,16.53
628,16.52
632,16.51
636,16.49
640,16.49
644,16.46
648,16.43
652,16.38
656,16.35
660,16.32
664,16.3
668,16.29
672,16.28
676,16.27
680,16.24
684,16.2
688,16.16
692,16.12
696,16.08
700,16.02
704,15.97
708,15.91
712,15.87
716,15.82
720,15.79
724,15.76
728,15.74
732,15.69
736,15.65
740,15.59
744,15.53
748,15.46
752,15.42
756,15.38
760,15.33
764,15.29
768,15.26
772,15.2
776,15.14
780,15.09
784,15.02
788,14.95
792,14.9
796,14.85
800,14.8
804,14.75
808,14.71
812,14.67
816,14.63
820,14.58
824,14.54
828,14.48
832,14.42
836,14.36
840,14.3
844,14.25
848,14.21
852,14.15
856,14.13
860,14.1
864,14.08
868,14.08
872,14.07
876,14.02
880,13.97
884,13.92
888,13.88
892,13.87
896,13.87
900,13.83
904,13.78
908,13.76
912,13.75
916,13.76
920,13.79
924,13.79
928,13.78
932,13.76
936,13.75
940,13.72
944,13.7
948,13.68
952,13.65
956,13.64
960,13.64
964,13.63
968,13.62
972,13.6
976,13.59
980,13.57
984,13.55
988,13.55
992,13.55
996,13.56
1000,13.55
1004,13.52
1008,13.5
1012,13.47
1016,13.45
1020,13.44
1024,13.45
1028,13.44
1032,13.44
1036,13.44
1040,13.45
1044,13.45
1048,13.46
1052,13.48
1056,13.48
1060,13.49
1064,13.5
1068,13.51
1072,13.52
1076,13.53
1080,13.54
1084,13.54
1088,13.54
1092,13.53
1096,13.54
1100,13.55
1104,13.56
1108,13.57
1112,13.58
1116,13.59
1120,13.59
1124,13.58
1128,13.6
1132,13.61
1136,13.64
1140,13.66
1144,13.67
1148,13.69
1152,13.71
1156,13.72
1160,13.73
1164,13.75
1168,13.76
1172,13.77
1176,13.77
1180,13.8
1184,13.82
1188,13.84
1192,13.86
1196,13.88
1200,13.89
1204,13.9
1208,13.92
1212,13.94
1216,13.95
1220,13.97
1224,13.99
1228,14.02
1232,14.07
1236,14.09
1240,14.12
1244,14.13
1248,14.16
1252,14.18
1256,14.2
1260,14.22
1264,14.25
1268,14.27
1272,14.29
1276,14.3
1280,14.32
1284,14.33
1288,14.33
1292,14.35
1296,14.38
1300,14.42
1304,14.46
1308,14.49
1312,14.5
1316,14.52
1320,14.54
1324,14.56
1328,14.59
1332,14.63
1336,14.67
1340,14.7
1344,14.73
1348,14.76
1352,14.77
1356,14.78
1360,14.78
1364,14.8
1368,14.82
1372,14.83
1376,14.87
1380,14.89
1384,14.93
1388,14.95
1392,14.97
1396,15
1400,15.02
1404,15.04
1408,15.07
1412,15.09
1416,15.11
1420,15.12
1424,15.14
1428,15.16
1432,15.18
1436,15.21
1440,15.24
1444,15.28
1448,15.32
1452,15.34
1456,15.37
1460,15.38
1464,15.39
1468,15.4
1472,15.41
1476,15.43
1480,15.45
1484,15.48
1488,15.52
1492,15.54
1496,15.55
1500,15.56
1504,15.57
1508,15.58
1512,15.6
1516,15.63
1520,15.67
1524,15.69
1528,15.71
1532,15.74
1536,15.76
1540,15.78
1544,15.81
1548,15.84
1552,15.86
1556,15.87
1560,15.88
1564,15.9
1568,15.92
1572,15.94
1576,15.97
1580,16
1584,16.03
1588,16.06
1592,16.08
1596,16.09
1600,16.11
1604,16.13
1608,16.15
1612,16.18
1616,16.2
1620,16.22
1624,16.26
1628,16.26
1632,16.22
1636,16.2
1640,16.21
1644,16.22
1648,16.22
1652,16.22
1656,16.23
1660,16.24
1664,16.25
1668,16.27
1672,16.32
1676,16.36
1680,16.41
1684,16.46
1688,16.5
1692,16.53
1696,16.57
1700,16.61
1704,16.64
1708,16.65
1712,16.67
1716,16.69
1720,16.7
1724,16.7
1728,16.7
1732,16.71
1736,16.71
1740,16.72
1744,16.74
1748,16.77
1752,16.79
1756,16.82
1760,16.85
1764,16.87
1768,16.89
1772,16.9
1776,16.9
1780,16.9
1784,16.9
1788,16.9
1792,16.92
1796,16.95
1800,16.96
1804,16.97
1808,16.97
1812,16.97
1816,16.97
1820,16.97
1824,16.98
1828,16.99
1832,16.99
1836,16.98
1840,16.99
1844,17.01
1848,17.01
1852,17.02
1856,17.04
1860,17.05
1864,17.04
1868,17.05
1872,17.08
1876,17.08
1880,17.1
1884,17.1
1888,17.12
1892,17.12
1896,17.1
1900,17.1
1904,17.11
1908,17.11
1912,17.12
1916,17.12
1920,17.13
1924,17.15
1928,17.15
1932,17.16
1936,17.18
1940,17.2
1944,17.21
1948,17.23
1952,17.25
1956,17.28
1960,17.33
1964,17.36
1968,17.4
1972,17.43
1976,17.44
1980,17.45
1984,17.45
1988,17.46
1992,17.46
1996,17.47
2000,17.47
2004,17.47
2008,17.47
2012,17.48
2016,17.49
2020,17.51
2024,17.52
2028,17.56
2032,17.59
2036,17.62
2040,17.65
2044,17.66
2048,17.68
2052,17.69
2056,17.69
2060,17.7
2064,17.71
2068,17.71
2072,17.72
2076,17.73
2080,17.76
2084,17.8
2088,17.86
2092,17.9
2096,17.95
2100,17.99
2104,18.03
2108,18.07
2112,18.11
2116,18.15
2120,18.18
2124,18.2
2128,18.22
2132,18.22
2136,18.23
2140,18.23
2144,18.21
2148,18.21
2152,18.18
2156,18.15
2160,18.13
2164,18.08
2168,18.03
2172,17.99
2176,17.93
2180,17.89
2184,17.85
2188,17.82
2192,17.8
2196,17.78
2200,17.76
2204,17.76
2208,17.76
2212,17.76
2216,17.76
2220,17.76
2224,17.75
2228,17.76
2232,17.76
2236,17.77
2240,17.78
2244,17.8
2248,17.81
2252,17.82
2256,17.84
2260,17.85
2264,17.87
2268,17.87
2272,17.88
2276,17.89
2280,17.89
2284,17.92
2288,17.94
2292,17.96
2296,17.99
2300,18
2304,18
2308,18.01
2312,18.01
2316,18.01
2320,18.03
2324,18.02
