Wavelength (nm),Reflectance (%)
448,21.89
452,23.26
456,24.43
460,25.07
464,25.43
468,26.16
472,27.34
476,28.25
480,28.95
484,29.8
488,30.73
492,31.64
496,32.47
500,33.18
504,33.95
508,34.73
512,35.93
516,36.6
520,37.07
524,37.89
528,38.62
532,39.57
536,40.53
540,41.75
544,42.74
548,43.53
552,44.48
556,45.63
560,46.69
564,47.84
568,48.67
572,49.3
576,49.78
580,50.62
584,51.36
588,51.84
592,52.52
596,53.14
600,53.56
604,53.83
608,54.19
612,54.58
616,54.77
620,54.83
624,54.97
628,55.27
632,55.52
636,55.59
640,55.83
644,56.17
648,56.47
652,56.56
656,56.39
660,56.33
664,56.64
668,56.71
672,57.17
676,57.25
680,57.56
684,57.75
688,57.89
692,58.01
696,58.17
700,58.45
704,58.68
708,58.71
712,58.77
716,59.16
720,59.63
724,59.86
728,60.14
732,60.13
736,60.22
740,60.61
744,60.75
748,60.78
752,60.87
756,61.18
760,61.4
764,61.57
768,61.83
772,62.13
776,62.51
780,62.78
784,62.89
788,63.25
792,63.62
796,63.94
800,64.14
804,64.24
808,64.32
812,64.36
816,64.42
820,64.43
824,64.26
828,64.26
832,64.22
836,64.19
840,64.01
844,63.68
848,63.68
852,63.87
856,64
860,63.88
864,63.58
868,63.32
872,63.08
876,62.89
880,62.82
884,62.69
888,62.46
892,62.3
896,62.24
900,62.28
904,62.33
908,62.34
912,62.32
916,62.34
920,62.56
924,62.77
928,63.03
932,63.32
936,63.55
940,63.81
944,64.01
948,64.11
952,64.03
956,63.95
960,64.04
964,64.24
968,64.62
972,65.17
976,65.74
980,66.11
984,66.45
988,66.74
992,67.05
996,67.35
1000,67.71
1004,68.12
1008,68.5
1012,68.85
1016,69.14
1020,69.4
1024,69.57
1028,69.65
1032,69.76
1036,69.85
1040,69.98
1044,70.15
1048,70.35
1052,70.57
1056,70.74
1060,70.76
1064,70.78
1068,70.97
1072,71.37
1076,71.75
1080,71.99
1084,72.2
1088,72.36
1092,72.61
1096,72.84
1100,73.02
1104,73.15
1108,73.27
1112,73.41
1116,73.54
1120,73.76
1124,74.05
1128,74.3
1132,74.57
1136,74.84
1140,74.96
1144,75
1148,75.08
1152,75.25
1156,75.5
1160,75.8
1164,76.21
1168,76.73
1172,77.23
1176,77.69
1180,78.08
1184,78.51
1188,79.01
1192,79.5
1196,79.83
1200,80.16
1204,80.59
1208,81.15
1212,81.73
1216,82.23
1220,82.66
1224,83.08
1228,83.53
1232,83.98
1236,84.36
1240,84.63
1244,84.98
1248,85.41
1252,85.88
1256,86.27
1260,86.68
1264,87.13
1268,87.57
1272,87.86
1276,88.1
1280,88.34
1284,88.63
1288,88.77
1292,88.82
1296,88.99
1300,89.32
1304,89.7
1308,89.99
1312,90.21
1316,90.35
1320,90.38
1324,90.32
1328,90.29
1332,90.38
1336,90.46
1340,90.52
1344,90.51
1348,90.43
1352,90.13
1356,89.87
1360,89.62
1364,89.2
1368,88.43
1372,87.08
1376,84.96
1380,81.88
1384,77.59
1388,71.7
1392,64.23
1396,56.38
1400,49.1
