Wavelength (nm),Reflectance (%)
448,28.15
452,28.24
456,28.22
460,28.13
464,28.17
468,28.15
472,28.15
476,28.23
480,28.3
484,28.22
488,28.07
492,28
496,27.95
500,27.94
504,27.96
508,27.99
512,28.05
516,28.08
520,27.96
524,27.81
528,27.71
532,27.65
536,27.6
540,27.56
544,27.46
548,27.38
552,27.26
556,27.2
560,27.14
564,27.03
568,26.95
572,26.9
576,26.79
580,26.66
584,26.52
588,26.43
592,26.35
596,26.25
600,26.18
604,26.16
608,26.08
612,25.94
616,25.85
620,25.76
624,25.67
628,25.57
632,25.51
636,25.47
640,25.4
644,25.29
648,25.16
652,25.12
656,25.03
660,24.96
664,24.9
668,24.82
672,24.69
676,24.58
680,24.51
684,24.45
688,24.38
692,24.33
696,24.28
700,24.19
704,24.1
708,24.07
712,23.98
716,23.94
720,23.94
724,23.92
728,23.85
732,23.83
736,23.84
740,23.77
744,23.76
748,23.75
752,23.76
756,23.76
760,23.72
764,23.66
768,23.64
772,23.65
776,23.6
780,23.51
784,23.41
788,23.35
792,23.31
796,23.22
800,23.12
804,23.14
808,23.19
812,23.19
816,23.19
820,23.14
824,23.16
828,23.15
832,23.11
836,22.91
840,22.71
844,22.61
848,22.6
852,22.55
856,22.46
860,22.3
864,22.2
868,22.12
872,22.02
876,21.9
880,21.87
884,21.81
888,21.74
892,21.67
896,21.65
900,21.55
904,21.41
908,21.36
912,21.4
916,21.37
920,21.32
924,21.29
928,21.24
932,21.18
936,21.19
940,21.18
944,21.19
948,21.16
952,21.1
956,21.08
960,21.05
964,20.97
968,20.95
972,20.94
976,20.93
980,20.88
984,20.82
988,20.77
992,20.72
996,20.66
1000,20.62
1004,20.59
1008,20.56
1012,20.54
1016,20.52
1020,20.48
1024,20.43
1028,20.41
1032,20.42
1036,20.36
1040,20.33
1044,20.29
1048,20.28
1052,20.27
1056,20.27
1060,20.25
1064,20.25
1068,20.21
1072,20.16
1076,20.12
1080,20.08
1084,20.08
1088,20.06
1092,20.03
1096,20
1100,19.99
1104,19.99
1108,20.01
1112,20.02
1116,20.01
1120,20.01
1124,20
1128,19.99
1132,19.99
1136,19.99
1140,20
1144,20
1148,19.97
1152,19.95
1156,19.92
1160,19.92
1164,19.99
1168,20
1172,20
1176,20
1180,20
1184,20.03
1188,20.07
1192,20.11
1196,20.12
1200,20.11
1204,20.12
1208,20.13
1212,20.12
1216,20.11
1220,20.12
1224,20.15
1228,20.22
1232,20.28
1236,20.3
1240,20.32
1244,20.35
1248,20.4
1252,20.43
1256,20.47
1260,20.53
1264,20.57
1268,20.6
1272,20.58
1276,20.59
1280,20.63
1284,20.7
1288,20.77
1292,20.85
1296,20.9
1300,20.91
1304,20.94
1308,21.01
1312,21.02
1316,21
1320,20.98
1324,21.02
1328,21.1
1332,21.15
1336,21.2
1340,21.24
1344,21.32
1348,21.3
1352,21.37
1356,21.42
1360,21.39
1364,21.47
1368,21.49
1372,21.46
1376,21.46
1380,21.38
1384,21.23
1388,20.85
1392,20.33
1396,19.87
1400,19.65
1404,19.6
1408,19.66
1412,19.85
1416,20.23
1420,20.71
1424,21.15
1428,21.44
1432,21.59
1436,21.66
1440,21.66
1444,21.78
1448,21.75
1452,21.78
1456,21.77
1460,21.73
1464,21.78
1468,21.54
1472,21.21
1476,20.91
1480,20.87
1484,21.06
1488,21.46
1492,21.81
1496,22.05
1500,22.14
1504,22.18
1508,22.26
1512,22.26
1516,22.3
1520,22.31
1524,22.29
1528,22.34
1532,22.39
1536,22.35
1540,22.36
1544,22.36
1548,22.3
1552,22.32
1556,22.32
1560,22.25
1564,22.31
1568,22.28
1572,22.25
1576,22.26
1580,22.23
1584,22.27
1588,22.21
1592,22.29
1596,22.29
1600,22.26
1604,22.31
1608,22.29
1612,22.28
1616,22.31
1620,22.35
1624,22.3
1628,22.28
1632,22.33
1636,22.42
1640,22.41
1644,22.42
1648,22.48
1652,22.45
1656,22.45
1660,22.41
1664,22.42
1668,22.42
1672,22.45
1676,22.48
1680,22.44
1684,22.44
1688,22.49
1692,22.52
1696,22.5
1700,22.49
1704,22.5
1708,22.56
1712,22.59
1716,22.53
1720,22.53
1724,22.54
1728,22.53
1732,22.57
1736,22.57
1740,22.51
1744,22.53
1748,22.58
1752,22.59
1756,22.62
1760,22.63
1764,22.6
1768,22.62
1772,22.59
1776,22.55
1780,22.52
1784,22.53
1788,22.54
1792,22.53
1796,22.52
1800,22.48
1804,22.4
1808,22.39
1812,22.34
1816,22.28
1820,22.24
1824,22.24
1828,22.2
1832,22.11
1836,22.07
1840,22.09
1844,22.07
1848,22.05
1852,22.04
1856,22.01
1860,21.97
1864,21.89
1868,21.77
1872,21.7
1876,21.68
1880,21.64
1884,21.56
1888,21.5
1892,21.42
1896,21.36
1900,21.29
1904,21.23
1908,21.16
1912,21.13
1916,21.08
1920,21.02
1924,20.97
1928,20.99
1932,20.96
1936,20.99
1940,21.02
1944,20.95
1948,20.9
1952,20.92
1956,20.89
1960,20.85
1964,20.83
1968,20.75
1972,20.71
1976,20.71
1980,20.69
1984,20.6
1988,20.56
1992,20.51
1996,20.44
2000,20.39
2004,20.4
2008,20.35
2012,20.32
2016,20.36
2020,20.34
2024,20.34
2028,20.4
2032,20.4
2036,20.38
2040,20.37
2044,20.3
2048,20.29
2052,20.23
2056,20.2
2060,20.15
2064,20.1
2068,20.1
2072,20.1
2076,20.08
2080,19.97
2084,19.82
2088,19.68
2092,19.55
2096,19.43
2100,19.31
2104,19.15
2108,19.01
2112,18.87
2116,18.74
2120,18.68
2124,18.68
2128,18.66
2132,18.61
2136,18.58
2140,18.55
2144,18.5
2148,18.37
2152,18.26
2156,18.1
2160,17.94
2164,17.73
