Wavelength (nm),Reflectance (%)
448,19.86
452,19.82
456,19.84
460,19.89
464,19.9
468,19.99
472,20.11
476,20.13
480,20.12
484,20.13
488,20.12
492,20.03
496,20.01
500,20.04
504,20.08
508,20.16
512,20.17
516,20.16
520,20.14
524,20.06
528,20.01
532,19.99
536,19.91
540,19.84
544,19.81
548,19.76
552,19.68
556,19.6
560,19.47
564,19.43
568,19.4
572,19.32
576,19.24
580,19.17
584,19.05
588,18.92
592,18.88
596,18.81
600,18.79
604,18.72
608,18.64
612,18.52
616,18.47
620,18.43
624,18.4
628,18.32
632,18.17
636,18.06
640,18.02
644,17.98
648,17.87
652,17.79
656,17.83
660,17.79
664,17.72
668,17.74
672,17.69
676,17.65
680,17.59
684,17.51
688,17.47
692,17.47
696,17.41
700,17.31
704,17.26
708,17.27
712,17.27
716,17.26
720,17.29
724,17.28
728,17.22
732,17.2
736,17.18
740,17.15
744,17.11
748,17.12
752,17.19
756,17.21
760,17.14
764,17.1
768,17.07
772,17.07
776,17.07
780,17.07
784,17.06
788,17.03
792,17.01
796,16.99
800,16.98
804,16.97
808,16.92
812,16.89
816,16.89
820,16.81
824,16.77
828,16.71
832,16.63
836,16.57
840,16.51
844,16.43
848,16.38
852,16.34
856,16.27
860,16.21
864,16.18
868,16.14
872,16.12
876,16.1
880,16.08
884,16.03
888,15.99
892,15.96
896,15.9
900,15.82
904,15.75
908,15.71
912,15.69
916,15.66
920,15.68
924,15.7
928,15.74
932,15.69
936,15.67
940,15.7
944,15.74
948,15.74
952,15.75
956,15.76
960,15.8
964,15.83
968,15.85
972,15.89
976,15.89
980,15.9
984,15.92
988,15.93
992,15.94
996,15.94
1000,15.94
1004,15.96
1008,15.96
1012,15.97
1016,15.98
1020,15.99
1024,16.02
1028,16.03
1032,16.04
1036,16.03
1040,16.04
1044,16.07
1048,16.04
1052,16.01
1056,15.96
1060,15.95
1064,15.95
1068,15.95
1072,15.95
1076,15.89
1080,15.87
1084,15.86
1088,15.85
1092,15.82
1096,15.83
1100,15.81
1104,15.8
1108,15.78
1112,15.77
1116,15.8
