Wavelength (nm),Reflectance (%)
448,73.23
452,72.34
456,71.82
460,72.76
464,73.85
468,75.05
472,76.56
476,77.7
480,78.73
484,80.05
488,80.88
492,80.84
496,81.89
500,82.75
504,83.56
508,84.65
512,86.45
516,88.19
520,89.14
524,89.52
528,89.72
532,90.24
536,91.11
540,91.35
544,92.45
548,92.92
552,93.64
556,94.4
560,94.89
564,95.21
568,95.69
572,96.4
576,97.21
580,97.98
584,98.62
588,99.39
592,99.78
596,100
600,99.48
604,99.39
608,99.24
612,99.15
616,99.12
620,99.07
624,98.97
628,98.66
632,98.54
636,98.01
640,97.63
644,97.35
648,97.13
652,96.93
656,96.21
660,95.52
664,95.69
668,96.43
672,95.9
676,95.56
680,95.01
684,94.26
688,93.35
692,92.52
696,92.01
700,91.62
704,90.98
708,89.99
712,89.57
716,89.43
720,89.36
724,89.52
728,89.52
732,89.28
736,89.49
740,89.08
744,88.89
748,88.41
752,87.95
756,88.19
760,88.64
764,88.89
768,88.53
772,88.76
776,89.2
780,89.55
784,89.33
788,88.57
792,88.09
796,87.84
800,87.7
804,87.22
808,86.72
812,86.17
816,84.58
820,82.48
824,82.48
828,82.46
832,81.26
836,79.04
840,77.44
844,76.6
848,74.93
852,74.45
856,73.53
860,71.97
864,70.69
868,69.14
872,67.45
876,67.95
880,68.72
884,67.47
888,66.57
892,65.91
896,64.94
900,64.77
904,64.44
908,65.05
912,64.85
916,65.27
920,66.16
924,65.31
928,65.21
932,64.77
936,63.9
940,63.33
944,64.11
948,63.61
952,63.6
956,63.73
960,63.08
964,63.31
968,63.64
972,63.38
976,62.89
980,62.96
984,62.11
988,61.6
992,61.39
996,60.92
1000,59.97
1004,58.86
1008,57.75
1012,56.99
1016,56.17
1020,55.14
1024,54.7
1028,54.67
1032,54.23
1036,53.64
1040,53.02
1044,52.53
1048,52.07
1052,50.96
1056,49.34
1060,47.97
1064,46.64
1068,45.76
1072,45.38
1076,45.01
1080,44.51
1084,43.85
1088,43.26
1092,43
1096,42.51
1100,41.48
1104,40.55
1108,39.98
1112,39.29
1116,38.87
1120,38.73
1124,38.31
1128,37.23
1132,35.93
1136,35
1140,35.02
1144,35.1
1148,35.33
1152,35.21
1156,34.64
1160,34.28
1164,33.66
1168,33.14
1172,32.93
1176,33.1
1180,33.09
1184,33.05
1188,32.65
1192,32.16
1196,32.2
1200,31.88
1204,31.94
1208,31.97
1212,32.11
1216,32.23
1220,32.31
1224,32.16
1228,31.84
1232,31.59
1236,31.34
1240,31.23
1244,31.18
1248,31.49
1252,31.86
1256,32.04
1260,31.95
1264,32
1268,32.12
1272,32.61
1276,33.64
1280,34.51
1284,34.62
1288,34.36
1292,34.05
1296,34.17
1300,34.96
1304,35.68
1308,36.01
1312,35.64
1316,35.14
1320,35.04
1324,35.5
1328,36.05
1332,36.37
1336,36.33
1340,36.16
1344,36.08
1348,35.39
1352,34.58
1356,34.6
1360,34.79
1364,34.8
1368,34.26
1372,32.27
1376,30.07
1380,29.13
1384,29.72
1388,31.36
1392,33.38
1396,35.85
1400,38.67
1404,41.08
1408,42.51
1412,42.87
1416,42.83
1420,42.68
1424,42.54
1428,42.49
1432,42.2
1436,41.93
1440,41.78
1444,41.87
1448,42.25
1452,42.67
1456,42.56
1460,42.35
1464,42.44
1468,42.54
1472,42.5
1476,42.66
1480,43.07
1484,43.84
1488,44.65
1492,45.21
1496,45.12
1500,44.51
1504,44.29
1508,44.39
1512,44.27
1516,44.44
1520,44.54
1524,44.47
1528,44.71
1532,44.98
1536,45.3
1540,46
1544,46.64
1548,46.76
1552,46.88
1556,47.25
1560,47.95
1564,48.68
1568,49.06
1572,48.94
1576,48.51
1580,48.22
1584,47.86
1588,48.5
1592,49.6
1596,50.91
1600,51.24
1604,50.95
1608,50.82
1612,51.14
1616,51.48
1620,51.68
1624,51.7
1628,51.79
1632,51.79
1636,51.96
1640,51.88
1644,51.26
1648,50.79
1652,51.09
1656,51.38
1660,51.53
1664,51.44
1668,51.62
1672,52.09
1676,52.36
1680,52.71
1684,52.81
1688,52.66
1692,52.68
1696,53.08
1700,53.13
1704,52.91
1708,52.96
1712,53.22
1716,53.49
1720,53.65
1724,53.68
1728,54.32
1732,55.01
1736,55.19
1740,54.76
1744,54.46
1748,54.55
1752,54.75
1756,54.76
1760,54.93
1764,55.06
1768,55.41
