Wavelength (nm),Reflectance (%)
452,16.65
456,16.88
460,17.19
464,17.47
468,17.67
472,17.84
476,17.89
480,18.08
484,18.32
488,18.53
492,18.72
496,19.02
500,19.34
504,19.68
508,20.07
512,20.43
516,20.74
520,21.06
524,21.32
528,21.73
532,22.03
536,22.5
540,22.91
544,23.38
548,23.85
552,24.24
556,24.73
560,25.18
564,25.62
568,26.04
572,26.49
576,26.75
580,27.22
584,27.47
588,27.79
592,28.18
596,28.49
600,28.77
604,28.94
608,29.21
612,29.42
616,29.61
620,29.75
624,30.06
628,30.3
632,30.48
636,30.66
640,30.83
644,31.07
648,31.29
652,31.56
656,31.69
660,31.81
664,32.02
668,32.26
672,32.51
676,32.72
680,32.89
684,33.11
688,33.24
692,33.51
696,33.62
700,33.79
704,33.96
708,34.15
712,34.39
716,34.57
720,34.7
724,34.88
728,35.09
732,35.33
736,35.47
740,35.58
744,35.7
748,35.9
752,36.09
756,36.2
760,36.34
764,36.48
768,36.6
772,36.71
776,36.87
780,36.89
784,37.05
788,37.12
792,37.13
796,37.16
800,37.27
804,37.3
808,37.29
812,37.31
816,37.25
820,37.25
824,37.14
828,37.13
832,37.16
836,37.02
840,36.96
844,36.93
848,36.89
852,36.83
856,36.93
860,36.84
864,36.8
868,36.66
872,36.66
876,36.58
880,36.66
884,36.67
888,36.59
892,36.49
896,36.76
900,36.61
904,36.82
908,36.76
912,36.62
916,36.68
920,36.73
924,36.61
928,36.72
932,36.69
936,36.92
940,36.93
944,36.97
948,37.09
952,36.93
956,36.93
960,37.09
964,37.11
968,37.02
972,37.09
976,37.21
980,37.53
984,37.42
988,37.46
992,37.49
996,37.66
1000,37.58
1004,37.67
1008,37.73
1012,37.85
1016,37.64
1020,37.9
1024,37.98
1028,38.22
1032,38.13
1036,38.17
1040,38.44
1044,38.55
1048,38.51
1052,38.61
1056,38.73
1060,38.86
1064,38.9
1068,39.13
1072,39.48
1076,39.51
1080,39.59
1084,39.73
1088,39.84
1092,40.06
1096,39.91
1100,40.26
1104,40.48
1108,40.4
1112,40.83
1116,40.71
1120,40.9
1124,41.02
1128,41.22
1132,41.07
1136,41.25
1140,41.46
1144,41.48
1148,41.33
1152,41.75
1156,41.89
1160,42.03
1164,42.01
1168,42.24
1172,42.38
1176,42.15
1180,42.25
1184,42.44
1188,42.54
1192,42.47
1196,42.53
1200,42.49
1204,42.81
1208,42.8
1212,42.87
1216,42.66
1220,42.77
1224,42.92
1228,42.85
1232,42.78
1236,43.11
1240,43.21
1244,43.1
1248,43.17
1252,43.18
1256,43.19
1260,43.19
1264,43.45
1268,43.48
1272,43.44
1276,43.63
1280,43.55
1284,43.58
1288,43.71
1292,43.79
1296,43.67
1300,43.69
1304,43.72
1308,43.9
1312,43.59
1316,43.83
1320,43.85
1324,43.85
1328,43.85
1332,43.87
1336,43.91
1340,43.92
1344,43.93
1348,44.07
1352,43.9
1356,44.03
1360,43.8
1364,44
1368,44.03
1372,43.87
1376,43.87
1380,43.86
1384,43.61
1388,43.56
1392,43.41
1396,43.33
1400,42.97
1404,42.6
1408,42.19
1412,42
1416,41.49
1420,41.53
1424,41.67
1428,41.79
1432,41.99
1436,42.33
1440,42.45
1444,42.37
1448,42.69
1452,42.76
1456,42.77
1460,42.67
1464,42.72
1468,42.9
1472,42.95
1476,43.08
1480,43.21
1484,43.32
1488,43.55
1492,43.6
1496,43.56
1500,43.76
1504,43.63
1508,43.83
1512,43.95
1516,43.99
1520,44.13
1524,44.17
1528,44.26
1532,44.31
1536,44.33
1540,44.2
1544,44.09
1548,44.16
1552,44.15
1556,44.29
1560,44.56
1564,44.32
1568,44.33
1572,44.49
1576,44.5
1580,44.5
1584,44.57
1588,44.56
1592,44.51
1596,44.57
1600,44.59
1604,44.55
1608,44.55
1612,44.52
1616,44.43
1620,44.42
1624,44.48
1628,44.48
1632,44.44
1636,44.39
1640,44.33
1644,44.33
1648,44.3
1652,44.31
1656,44.33
1660,44.33
1664,44.35
1668,44.32
1672,44.25
1676,44.22
1680,44.29
1684,44.28
1688,44.17
1692,44.09
1696,43.99
1700,43.96
1704,44.03
1708,44.06
1712,43.99
1716,43.92
1720,43.83
1724,43.71
1728,43.66
1732,43.61
1736,43.52
1740,43.54
1744,43.54
1748,43.48
1752,43.46
1756,43.38
1760,43.27
1764,43.27
1768,43.21
1772,43.15
1776,43.09
1780,43.11
1784,43.12
1788,43.06
1792,43.02
1796,43
1800,43.02
1804,42.99
1808,42.87
1812,42.89
1816,42.83
1820,42.74
1824,42.67
1828,42.66
1832,42.68
1836,42.7
1840,42.55
1844,42.41
1848,42.44
1852,42.49
1856,42.37
1860,42.16
1864,41.95
1868,41.72
1872,41.36
1876,40.86
1880,40.31
1884,39.66
1888,38.92
1892,37.83
1896,36.41
1900,34.96
1904,33.76
1908,33.06
1912,32.82
1916,32.76
1920,32.95
1924,33.23
1928,33.62
1932,34.07
1936,34.46
1940,34.75
1944,34.95
1948,35.14
1952,35.26
1956,35.43
1960,35.64
1964,35.86
1968,35.96
1972,36.05
1976,36.25
1980,36.51
1984,36.71
1988,36.9
1992,37.1
1996,37.29
2000,37.48
2004,37.78
2008,38.07
2012,38.3
2016,38.48
2020,38.68
2024,38.87
2028,39.14
2032,39.36
2036,39.61
2040,39.82
2044,39.89
2048,39.94
2052,40.08
2056,40.27
2060,40.43
2064,40.47
2068,40.57
2072,40.67
2076,40.73
2080,40.88
2084,41.08
2088,41.21
2092,41.3
2096,41.41
2100,41.57
2104,41.61
2108,41.72
2112,41.91
2116,41.95
2120,41.97
2124,41.99
2128,42.02
2132,42.1
2136,42.22
2140,42.18
2144,42.03
2148,41.99
2152,42.06
2156,41.99
2160,41.81
2164,41.68
2168,41.57
2172,41.34
2176,41.12
2180,41.06
2184,40.88
2188,40.66
2192,40.48
2196,40.13
2200,39.9
2204,39.69
2208,39.41
2212,39.21
2216,39.13
2220,39.08
2224,39.03
2228,39.05
2232,39.01
2236,38.8
2240,38.64
2244,38.47
2248,38.42
2252,38.2
2256,38.03
2260,37.93
2264,37.9
2268,37.86
2272,37.67
2276,37.35
2280,37.1
2284,36.81
2288,36.53
2292,36.32
2296,36.03
2300,35.83
2304,35.69
2308,35.52
2312,35.33
2316,35.07
2320,34.9
2324,34.7
2328,34.46
2332,34.22
2336,34.07
2340,34.18
2344,34.4
2348,34.73
2352,35.09
2356,35.51
2360,35.86
2364,36.2
2368,36.49
2372,36.56
2376,36.51
2380,36.39
2384,36.4
2388,36.39
2392,36.33
2396,36.23
2400,36.03
2404,35.91
2408,35.68
2412,35.48
2416,35.34
2420,35.09
2424,34.79
2428,34.61
2432,34.26
2436,33.94
2440,33.7
2444,33.38
2448,33.1
2452,32.85
2456,32.64
2460,32.31
2464,31.96
2468,31.69
2472,31.32
2476,31.01
2480,30.66
2484,30.41
2488,30.2
2492,29.98
2496,29.76
2500,29.69
2504,29.56
2508,29.43
2512,29.4
2516,29.14
2520,28.92
2524,28.87
2528,28.81
2532,28.54
2536,28.59
2540,28.79
2544,29.16
2548,29.85
2552,30.48
2556,30.85
2560,31.46
