Wavelength (nm),Reflectance (%)
452,22.13
454,22.04
456,21.99
458,22.22
460,22.7
462,23.21
464,23.31
466,23.26
468,23.63
470,24.06
472,24.24
474,24.3
476,24.47
478,24.75
480,24.95
482,25.17
484,25.64
486,26.16
488,26.65
490,27.12
492,27.51
494,27.84
496,28.23
498,28.63
500,29.04
502,29.7
504,30.52
506,31.13
508,31.5
510,31.89
512,32.41
514,33.07
516,33.73
518,34.15
520,34.51
522,34.93
524,35.32
526,35.73
528,36.21
530,36.65
532,37.03
534,37.42
536,37.81
538,38.21
540,38.68
542,39.12
544,39.51
546,39.83
548,40.17
550,40.69
552,41.27
554,41.7
556,41.93
558,42.15
560,42.48
562,42.86
564,43.2
566,43.4
568,43.6
570,43.96
572,44.28
574,44.43
576,44.62
578,44.92
580,45.21
582,45.35
584,45.41
586,45.5
588,45.61
590,45.62
592,45.63
594,45.85
596,46.13
598,46.3
600,46.41
602,46.51
604,46.66
606,46.84
608,47.06
610,47.33
612,47.58
614,47.74
616,47.92
618,48.11
620,48.25
622,48.43
624,48.76
626,49.13
628,49.42
630,49.73
632,50.2
634,50.72
636,51.11
638,51.48
640,51.84
642,52.16
644,52.54
646,52.96
648,53.34
650,53.67
652,53.97
654,54.28
656,54.65
658,55.07
660,55.46
662,55.83
664,56.3
666,56.84
668,57.46
670,57.96
672,58.15
674,58.31
676,58.53
678,58.69
680,58.8
682,59.02
684,59.36
686,59.77
688,60.24
690,60.73
692,61.2
694,61.56
696,61.71
698,61.91
700,62.4
702,62.92
704,63.27
706,63.53
708,63.84
710,64.25
712,64.7
714,65.07
716,65.32
718,65.49
720,65.69
722,66.03
724,66.41
726,66.79
728,67.08
730,67.25
732,67.54
734,67.97
736,68.31
738,68.52
740,68.76
742,69.11
744,69.51
746,69.79
748,69.95
750,70.21
752,70.44
754,70.46
756,70.7
758,71.31
760,71.82
762,71.98
764,72.11
766,72.36
768,72.59
770,72.86
772,73.29
774,73.68
776,73.87
778,74.05
780,74.28
782,74.48
784,74.63
786,74.74
788,74.94
790,75.3
792,75.55
794,75.68
796,75.87
798,76.07
800,76.33
802,76.6
804,76.8
806,76.96
808,77.11
810,77.3
812,77.47
814,77.55
816,77.73
818,77.92
820,77.97
822,78.07
824,78.16
826,78.18
828,78.28
830,78.46
832,78.67
834,78.67
836,78.63
838,78.29
840,78.24
842,78.38
844,78.25
846,78.18
848,78.15
850,78.15
852,78.31
854,78.21
856,77.99
858,77.91
860,77.92
862,77.97
864,77.97
866,77.98
868,77.85
870,77.79
872,77.93
874,77.91
876,78.03
878,78.17
880,77.93
882,77.92
884,78.04
886,78.04
888,78.11
890,77.98
892,77.97
894,78.17
896,78.1
898,77.91
900,77.88
902,78.01
904,78.03
906,78.19
908,78.44
910,78.32
912,78.27
914,78.45
916,78.63
918,78.89
920,78.97
922,78.95
924,79.11
926,79.21
928,79.31
930,79.32
932,79.4
934,79.61
936,79.65
938,79.73
940,79.77
942,79.81
944,79.95
946,80.18
948,80.45
950,80.24
952,80.13
954,80.51
956,80.67
958,80.71
960,80.95
962,81.05
964,81
966,80.84
968,80.8
970,81.24
972,81.51
974,81.6
976,81.61
978,81.53
980,81.66
982,81.71
984,81.81
986,82.04
988,82.23
990,82.29
992,82.15
994,82.31
996,82.67
998,82.96
1000,83.17
1002,83.13
1004,83.26
1006,83.58
1008,83.62
1010,83.66
1012,83.78
1014,83.92
1016,84.24
1018,84.29
1020,84.17
1022,84.12
1024,84.14
1026,84.34
1028,84.48
1030,84.67
1032,84.84
1034,84.72
1036,84.78
1038,84.92
1040,85.23
1042,85.66
1044,85.73
1046,86.01
1048,86.36
1050,86.46
1052,86.52
1054,86.38
1056,86.37
1058,86.57
1060,86.74
1062,86.92
1064,87.2
1066,87.49
1068,87.45
1070,87.36
1072,87.44
1074,87.46
1076,87.67
1078,88
1080,88.27
1082,88.71
1084,88.83
1086,88.69
1088,88.95
1090,89.22
1092,89.27
1094,89.34
1096,89.54
1098,89.62
1100,89.58
1102,89.71
1104,89.97
1106,90.39
1108,90.62
1110,90.56
1112,90.77
1114,90.9
1116,90.98
1118,91.13
1120,91.04
1122,91.36
1124,91.89
1126,91.78
1128,91.7
1130,91.84
1132,91.87
1134,91.88
1136,92.03
1138,92.27
1140,92.25
1142,92.04
1144,91.98
1146,91.94
1148,91.83
1150,91.54
1152,91.32
1154,91.35
1156,91.35
1158,91.49
1160,91.8
1162,92.19
1164,92.57
1166,92.52
1168,92.54
1170,92.81
1172,92.91
1174,93.05
1176,93.2
1178,93.3
1180,93.55
1182,93.8
1184,93.7
1186,93.53
1188,93.84
1190,94.02
1192,94
1194,94.07
1196,93.95
1198,94.1
1200,94.76
1202,95.17
1204,95.3
1206,95.32
1208,95.16
1210,95.29
1212,95.49
1214,95.54
1216,95.59
1218,95.56
1220,95.74
1222,95.89
1224,95.95
1226,96.03
1228,96.08
1230,96.28
1232,96.44
1234,96.67
1236,96.91
1238,97.14
1240,97.38
1242,97.52
1244,97.91
1246,98.27
1248,98.13
1250,98.17
1252,98.45
1254,98.71
1256,98.95
1258,98.96
1260,99.02
1262,99.21
1264,99.26
1266,99.19
1268,99.23
1270,99.29
1272,99.25
1274,99.33
1276,99.31
1278,99.25
1280,99.41
1282,99.39
1284,99.54
1286,100
1288,99.98
1290,99.88
1292,99.74
1294,99.41
1296,99.28
1298,99.22
1300,99.5
1302,99.81
1304,99.65
1306,99.41
1308,99.46
1310,99.53
1312,99.31
1314,98.95
1316,98.72
1318,98.94
1320,99.26
1322,99.2
1324,99.1
1326,98.98
1328,98.49
1330,98.13
1332,98.07
1334,97.92
1336,97.85
1338,97.63
1340,97.3
1342,96.95
1344,96.46
1346,96.15
1348,95.99
1350,95.9
1352,95.82
1354,95.43
1356,94.91
1358,94.35
1360,94
1362,93.93
1364,93.73
1366,93.53
1368,93.07
1370,92.25
1372,91.29
1374,90.02
1376,88.8
1378,87.44
1380,85.93
1382,84.47
1384,83
1386,81.56
1388,80.03
1390,78.66
1392,77.37
1394,75.68
1396,73.96
1398,72.22
1400,70.5
1402,68.91
1404,67.16
1406,65.65
1408,64.02
1410,61.84
1412,59.57
1414,57.51
1416,56.64
1418,57.32
1420,58.75
1422,60.24
1424,60.95
1426,61.13
1428,61.44
1430,62.21
1432,63.28
1434,64.04
1436,64.59
1438,65.1
1440,65.7
1442,66.47
1444,66.85
1446,67.26
1448,67.83
1450,68.38
1452,69.06
1454,69.41
1456,69.76
1458,70.27
1460,70.52
1462,70.5
1464,70.48
1466,70.49
1468,70.65
1470,71.14
1472,71.73
1474,72.24
1476,72.8
1478,73.38
1480,74.11
1482,75.13
1484,76.1
1486,77.08
1488,77.75
1490,77.87
1492,78.45
1494,79.18
1496,79.73
1498,80.19
1500,80.34
1502,80.78
1504,81.35
1506,81.65
1508,81.87
1510,82.22
1512,82.66
1514,83.12
1516,83.64
1518,83.95
1520,84.21
1522,84.65
1524,84.96
1526,85.46
1528,86.01
1530,86.07
1532,86.26
1534,86.53
1536,86.75
1538,86.85
1540,86.93
1542,87.25
1544,87.32
1546,87.4
1548,87.73
1550,87.92
1552,87.92
1554,87.92
1556,88.25
1558,88.46
1560,88.45
1562,88.63
1564,88.97
1566,89.67
1568,90.18
1570,90
1572,90
1574,90.1
1576,90.18
1578,90.43
1580,90.54
1582,90.47
1584,90.47
1586,90.54
1588,90.59
1590,90.62
1592,90.64
1594,90.71
1596,90.85
1598,91
1600,91.07
1602,91.09
1604,91.12
1606,91.17
1608,91.26
1610,91.34
1612,91.37
1614,91.35
1616,91.33
1618,91.33
1620,91.38
1622,91.44
1624,91.49
1626,91.49
1628,91.47
1630,91.48
1632,91.53
1634,91.59
1636,91.62
1638,91.6
1640,91.56
1642,91.55
1644,91.54
1646,91.55
1648,91.53
1650,91.52
1652,91.53
1654,91.56
1656,91.58
1658,91.59
1660,91.57
1662,91.54
1664,91.45
1666,91.34
1668,91.19
1670,91.08
1672,90.99
1674,90.86
1676,90.74
1678,90.59
1680,90.38
1682,90.11
1684,89.82
1686,89.56
1688,89.31
1690,89.09
1692,88.92
1694,88.76
1696,88.62
1698,88.48
1700,88.35
1702,88.21
1704,88.02
1706,87.83
1708,87.63
1710,87.49
1712,87.38
1714,87.28
1716,87.14
1718,87
1720,86.86
1722,86.72
1724,86.55
1726,86.37
1728,86.17
1730,85.99
1732,85.82
1734,85.66
1736,85.49
1738,85.33
1740,85.2
1742,85.12
1744,85.08
1746,85.04
1748,84.96
1750,84.83
1752,84.67
1754,84.54
1756,84.4
1758,84.23
1760,84.03
1762,83.81
1764,83.61
1766,83.41
1768,83.22
1770,83.02
1772,82.78
1774,82.54
1776,82.31
1778,82.08
1780,81.82
1782,81.53
1784,81.24
1786,80.98
1788,80.76
1790,80.55
1792,80.35
1794,80.16
1796,79.91
1798,79.65
1800,79.42
1802,79.2
1804,79.02
1806,78.86
1808,78.68
1810,78.49
1812,78.3
1814,78.1
1816,77.85
1818,77.59
1820,77.39
1822,77.22
1824,77.08
1826,76.94
1828,76.8
1830,76.64
1832,76.41
1834,76.08
1836,75.71
1838,75.33
1840,74.95
1842,74.5
1844,74.02
1846,73.54
1848,73.05
1850,72.48
1852,71.8
1854,71.07
1856,70.34
1858,69.68
1860,69.12
1862,68.56
1864,67.98
1866,67.25
1868,66.3
1870,65.12
1872,63.67
1874,61.91
1876,59.91
1878,57.77
1880,55.54
1882,53.26
1884,50.95
1886,48.53
1888,45.93
1890,43.15
1892,40.29
1894,37.44
1896,34.61
1898,31.87
1900,29.31
1902,27.04
1904,25.13
1906,23.66
1908,22.66
1910,22.1
1912,21.84
1914,21.79
1916,21.89
1918,22.11
1920,22.46
1922,22.9
1924,23.5
1926,24.29
1928,25.26
1930,26.39
1932,27.63
1934,28.85
1936,29.99
1938,31.04
1940,31.99
1942,32.8
1944,33.5
1946,34.12
1948,34.69
1950,35.24
1952,35.71
1954,36.06
1956,36.33
1958,36.6
1960,36.88
1962,37.2
1964,37.55
1966,37.88
1968,38.16
1970,38.4
1972,38.61
1974,38.83
1976,39.11
1978,39.48
1980,39.92
1982,40.45
1984,41.04
1986,41.67
1988,42.31
1990,42.97
1992,43.62
1994,44.23
1996,44.83
1998,45.48
2000,46.13
2002,46.75
2004,47.33
2006,47.9
2008,48.42
2010,48.93
2012,49.45
2014,49.94
2016,50.42
2018,50.91
2020,51.43
2022,51.94
2024,52.42
2026,52.84
2028,53.23
2030,53.67
2032,54.15
2034,54.55
2036,54.86
2038,55.14
2040,55.43
2042,55.74
2044,56.06
2046,56.38
2048,56.66
2050,56.9
2052,57.13
2054,57.34
2056,57.57
2058,57.85
2060,58.13
2062,58.38
2064,58.57
2066,58.72
2068,58.9
2070,59.08
2072,59.22
2074,59.29
2076,59.34
2078,59.4
2080,59.47
2082,59.6
2084,59.73
2086,59.82
2088,59.92
2090,60.04
2092,60.2
2094,60.31
2096,60.36
2098,60.42
2100,60.47
2102,60.5
2104,60.48
2106,60.46
2108,60.5
2110,60.6
2112,60.68
2114,60.72
2116,60.69
2118,60.64
2120,60.54
2122,60.41
2124,60.28
2126,60.21
2128,60.17
2130,60.1
2132,59.97
2134,59.85
2136,59.74
2138,59.61
2140,59.51
2142,59.43
2144,59.32
2146,59.13
2148,58.95
2150,58.8
2152,58.68
2154,58.59
2156,58.48
2158,58.27
2160,58.03
2162,57.81
2164,57.6
2166,57.31
2168,56.96
2170,56.56
2172,56.12
2174,55.68
2176,55.22
2178,54.75
2180,54.31
2182,53.89
2184,53.42
2186,52.91
2188,52.34
2190,51.69
2192,50.92
2194,50.11
2196,49.27
2198,48.36
2200,47.35
2202,46.21
2204,45.07
2206,44.08
2208,43.35
2210,42.76
2212,42.08
2214,41.25
2216,40.32
2218,39.56
2220,39.33
2222,39.7
2224,40.39
2226,41.11
2228,41.62
2230,41.77
2232,41.66
2234,41.41
2236,41.01
2238,40.45
2240,39.8
2242,39.08
2244,38.29
2246,37.46
2248,36.62
2250,35.84
2252,35.12
2254,34.41
2256,33.72
2258,33.1
2260,32.55
2262,32.02
2264,31.52
2266,31.1
2268,30.78
2270,30.47
2272,30.18
2274,29.86
2276,29.54
2278,29.21
2280,28.88
2282,28.49
2284,28.12
2286,27.76
2288,27.33
2290,26.83
2292,26.37
2294,25.94
2296,25.52
2298,25.03
2300,24.54
2302,24.09
2304,23.7
2306,23.31
2308,22.94
2310,22.59
2312,22.24
2314,21.9
2316,21.64
2318,21.41
2320,21.2
2322,21.08
2324,21.1
2326,21.25
2328,21.56
2330,22.04
2332,22.71
2334,23.56
2336,24.56
2338,25.59
2340,26.56
2342,27.54
2344,28.54
2346,29.47
2348,30.28
2350,30.9
2352,31.35
2354,31.66
2356,31.82
2358,31.83
2360,31.79
2362,31.73
2364,31.59
2366,31.39
2368,31.19
2370,30.94
2372,30.63
2374,30.34
2376,30.04
2378,29.62
2380,29.1
2382,28.63
2384,28.23
2386,27.9
2388,27.61
2390,27.33
2392,27.06
2394,26.78
2396,26.44
2398,25.98
2400,25.57
2402,25.21
2404,24.79
2406,24.36
2408,23.96
2410,23.52
2412,23.08
2414,22.68
2416,22.16
2418,21.56
2420,20.95
2422,20.34
2424,19.71
2426,19.13
2428,18.58
2430,18.01
2432,17.39
2434,16.72
2436,16.01
2438,15.31
2440,14.65
2442,14.01
2444,13.41
2446,12.84
2448,12.28
2450,11.75
2452,11.28
2454,10.84
2456,10.48
2458,10.11
2460,9.68
2462,9.25
2464,8.83
2466,8.41
2468,8.06
2470,7.85
2472,7.64
2474,7.32
2476,6.97
2478,6.65
2480,6.3
2482,5.95
2484,5.51
2486,4.92
2488,4.28
2490,3.67
2492,3.15
2494,2.65
2496,2.22
2498,1.92
2500,1.64
2502,1.39
2504,1.11
2506,0.77
2508,0.46
2510,0.31
2512,0.2
2514,0.05
2516,0
2518,0.04
2520,0.22
2522,0.56
2524,0.96
2526,1.47
2528,2.05
2530,2.67
2532,3.29
2534,4.06
2536,4.86
2538,5.76
2540,6.75
2542,7.67
2544,8.4
2546,9.19
2548,9.86
2550,10.24
2552,10.53
2554,11.06
2556,11.41
2558,11.57
2560,11.75
