Wavelength (nm),Reflectance (%)
452,0
454,1.25
456,2.03
458,2.12
460,2.22
462,2.64
464,3.13
466,3.52
468,3.86
470,4.17
472,4.32
474,4.42
476,4.92
478,5.7
480,6.3
482,6.52
484,6.71
486,7.3
488,8.23
490,9.05
492,9.67
494,10.31
496,11.19
498,12.34
500,13.45
502,14.38
504,15.56
506,17.18
508,18.68
510,19.72
512,20.68
514,21.86
516,23.23
518,24.51
520,25.65
522,26.92
524,28.15
526,29.02
528,29.82
530,30.81
532,32.06
534,33.46
536,34.6
538,35.63
540,36.87
542,38.18
544,39.32
546,40.37
548,41.5
550,42.52
552,43.44
554,44.61
556,45.96
558,47.15
560,48.06
562,48.89
564,49.8
566,50.84
568,51.94
570,52.79
572,53.41
574,54.08
576,54.92
578,55.83
580,56.77
582,57.59
584,58.31
586,59.05
588,59.77
590,60.47
592,61.12
594,61.61
596,62.09
598,62.75
600,63.23
602,63.36
604,63.51
606,63.93
608,64.62
610,65.4
612,65.98
614,66.28
616,66.49
618,66.7
620,67.06
622,67.52
624,67.95
626,68.41
628,68.79
630,69.02
632,69.32
634,69.79
636,70.26
638,70.51
640,70.63
642,70.82
644,71
646,71.13
648,71.38
650,71.82
652,72.29
654,72.61
656,72.94
658,73.27
660,73.48
662,73.8
664,74.48
666,75.24
668,75.7
670,75.99
672,76.29
674,76.56
676,76.92
678,77.36
680,77.9
682,78.54
684,79.14
686,79.72
688,80.2
690,80.52
692,80.85
694,81.21
696,81.4
698,81.62
700,82.17
702,82.61
704,82.73
706,83.08
708,83.66
710,84.18
712,84.63
714,84.89
716,85.14
718,85.59
720,85.98
722,86.29
724,86.64
726,86.86
728,86.95
730,87.07
732,87.29
734,87.46
736,87.51
738,87.59
740,87.96
742,88.41
744,88.6
746,88.61
748,88.51
750,88.65
752,89.23
754,89.67
756,89.89
758,89.99
760,90
762,90.29
764,90.82
766,91.12
768,91.43
770,91.9
772,92.17
774,92.28
776,92.4
778,92.66
780,92.98
782,93.08
784,93.11
786,93.19
788,93.38
790,93.87
792,94.39
794,94.72
796,94.9
798,94.99
800,95.21
802,95.47
804,95.65
806,95.81
808,95.89
810,96.28
812,96.77
814,96.5
816,96.22
818,96.74
820,97.11
822,97.03
824,96.92
826,96.83
828,97.04
830,97.25
832,97.09
834,97.09
836,97.43
838,96.83
840,96.85
842,97.35
844,96.85
846,96.18
848,95.77
850,95.47
852,95.87
854,96.08
856,95.54
858,94.94
860,94.91
862,95.35
864,95.36
866,94.96
868,94.62
870,94.64
872,94.79
874,94.53
876,94.46
878,94.53
880,94.21
882,94.29
884,94.21
886,93.92
888,94.04
890,93.76
892,93.51
894,93.74
896,93.68
898,93.28
900,92.96
902,93.11
904,93.41
906,93.71
908,93.64
910,93.11
912,93.24
914,93.64
916,93.86
918,94.2
920,94.01
922,93.9
924,94.11
926,93.74
928,93.44
930,93.36
932,93.49
934,93.79
936,93.68
938,93.42
940,93.08
942,93.22
944,93.66
946,93.92
948,94.17
950,93.66
952,93.22
954,93.73
956,94.05
958,94.25
960,94.61
962,94.58
964,94.46
966,94.32
968,94.28
970,94.81
972,95.11
974,95.17
976,94.9
978,94.31
980,94.21
982,94.1
984,94.29
986,94.67
988,94.76
990,94.77
992,94.51
994,94.59
996,94.97
998,95.22
1000,95.27
1002,94.93
1004,95.03
1006,95.55
1008,95.37
1010,95.22
1012,95.54
1014,95.85
1016,96.27
1018,95.95
1020,95.4
1022,95.36
1024,95.57
1026,95.93
1028,95.82
1030,95.75
1032,95.92
1034,95.82
1036,95.76
1038,95.68
1040,96.01
1042,96.6
1044,96.4
1046,96.66
1048,97.23
1050,97.38
1052,97.5
1054,97.13
1056,97.02
1058,97.17
1060,97.06
1062,97
1064,97.13
1066,97.33
1068,97.15
1070,96.98
1072,96.96
1074,96.58
1076,96.48
1078,96.71
1080,97.04
1082,97.79
1084,97.82
1086,97.45
1088,97.78
1090,97.91
1092,97.71
1094,97.8
1096,98.08
1098,98.02
1100,97.88
1102,97.92
1104,97.8
1106,97.98
1108,98.06
1110,97.73
1112,97.84
1114,97.99
1116,98.5
1118,99.07
1120,98.77
1122,99.19
1124,100
1126,99.64
1128,99.37
1130,99.16
1132,98.61
1134,98.37
1136,98.46
1138,98.85
1140,98.82
1142,98.39
1144,98.29
1146,98.31
1148,98.29
1150,98
1152,97.66
1154,97.6
1156,97.43
1158,97.4
1160,97.72
1162,98.35
1164,98.91
1166,98.47
1168,98.24
1170,98.37
1172,98.02
1174,98.13
1176,98.26
1178,98.13
1180,98.26
1182,98.31
1184,97.76
1186,97.15
1188,97.46
1190,97.55
1192,97.33
1194,97.38
1196,97.01
1198,97.18
1200,98.26
1202,98.73
1204,98.56
1206,98.18
1208,97.66
1210,97.75
1212,97.75
1214,97.38
1216,97.16
1218,96.82
1220,96.89
1222,97.11
1224,96.8
1226,96.38
1228,96.25
1230,96.59
1232,96.54
1234,96.38
1236,96.21
1238,96.12
1240,96.41
1242,96.42
1244,96.66
1246,97.07
1248,96.79
1250,96.88
1252,97.07
1254,97.08
1256,97.27
1258,96.89
1260,96.39
1262,96.32
1264,96.15
1266,95.7
1268,95.6
1270,95.76
1272,95.68
1274,95.73
1276,95.65
1278,95.5
1280,95.73
1282,95.66
1284,95.81
1286,96.46
1288,96.54
1290,96.67
1292,96.54
1294,95.81
1296,95.58
1298,95.43
1300,95.64
1302,95.89
1304,95.46
1306,95.26
1308,95.71
1310,95.94
1312,95.61
1314,95.28
1316,95.02
1318,94.98
1320,95.53
1322,95.71
1324,95.79
1326,95.97
1328,95.35
1330,95.01
1332,95.25
1334,95.27
1336,95.59
1338,95.47
1340,95.07
1342,95.16
1344,94.93
1346,94.53
1348,94.28
1350,94.52
1352,95
1354,94.85
1356,94.53
1358,94.37
1360,94.3
1362,94.51
1364,94.64
1366,94.99
1368,95.19
1370,95.17
1372,95.19
1374,94.69
1376,94.34
1378,94.35
1380,94.07
1382,93.77
1384,93.67
1386,93.33
1388,92.83
1390,92.95
1392,93.28
1394,92.97
1396,92.48
1398,92.07
1400,92.15
1402,92.47
1404,92.31
1406,92.45
1408,92.51
1410,91.96
1412,91.77
1414,91.6
1416,91.48
1418,91.46
1420,91.18
1422,91.15
1424,91.17
1426,90.87
1428,90.42
1430,90.29
1432,90.72
1434,90.95
1436,90.76
1438,90.5
1440,90.3
1442,90.43
1444,90.52
1446,90.86
1448,91.12
1450,91.17
1452,91.78
1454,91.88
1456,91.81
1458,92.38
1460,92.58
1462,92.2
1464,91.88
1466,91.53
1468,91.16
1470,91.16
1472,91.48
1474,91.72
1476,91.85
1478,91.76
1480,91.84
1482,92.63
1484,93.11
1486,93.5
1488,93.88
1490,93.32
1492,93.29
1494,93.47
1496,93.21
1498,93.23
1500,93.06
1502,92.94
1504,92.84
1506,92.55
1508,92.32
1510,92.48
1512,92.89
1514,93.11
1516,93.46
1518,93.66
1520,93.63
1522,93.84
1524,93.82
1526,93.91
1528,94.17
1530,93.93
1532,94.08
1534,94.13
1536,93.78
1538,93.63
1540,93.62
1542,93.98
1544,94.16
1546,94.05
1548,94.21
1550,94.29
1552,94.28
1554,94.13
1556,94.15
1558,94.15
1560,93.92
1562,94.07
1564,94.3
1566,94.85
1568,95.23
1570,94.92
1572,95.08
1574,95.29
1576,95.08
1578,95.3
1580,95.41
1582,95.3
1584,95.3
1586,95.2
1588,95.12
1590,95.11
1592,95.16
1594,95.16
1596,95.08
1598,94.99
1600,94.97
1602,95.04
1604,95.15
1606,95.27
1608,95.38
1610,95.45
1612,95.51
1614,95.53
1616,95.57
1618,95.61
1620,95.57
1622,95.52
1624,95.5
1626,95.58
1628,95.67
1630,95.77
1632,95.84
1634,95.85
1636,95.81
1638,95.75
1640,95.7
1642,95.69
1644,95.68
1646,95.69
1648,95.71
1650,95.78
1652,95.89
1654,95.99
1656,95.99
1658,95.99
1660,96.03
1662,96.09
1664,96.14
1666,96.16
1668,96.11
1670,96.06
1672,96.01
1674,95.92
1676,95.82
1678,95.78
1680,95.8
1682,95.79
1684,95.76
1686,95.73
1688,95.68
1690,95.64
1692,95.6
1694,95.57
1696,95.53
1698,95.46
1700,95.46
1702,95.45
1704,95.47
1706,95.5
1708,95.53
1710,95.64
1712,95.74
1714,95.8
1716,95.72
1718,95.61
1720,95.59
1722,95.54
1724,95.5
1726,95.56
1728,95.67
1730,95.76
1732,95.79
1734,95.85
1736,95.95
1738,96.03
1740,96.12
1742,96.2
1744,96.27
1746,96.25
1748,96.16
1750,96.13
1752,96.12
1754,96.17
1756,96.17
1758,96.15
1760,96.12
1762,95.99
1764,95.84
1766,95.72
1768,95.62
1770,95.51
1772,95.37
1774,95.33
1776,95.35
1778,95.39
1780,95.47
1782,95.53
1784,95.53
1786,95.47
1788,95.44
1790,95.45
1792,95.39
1794,95.3
1796,95.17
1798,95.14
1800,95.27
1802,95.39
1804,95.4
1806,95.25
1808,95.01
1810,94.8
1812,94.59
1814,94.48
1816,94.42
1818,94.41
1820,94.37
1822,94.24
1824,94.13
1826,94.08
1828,94.05
1830,93.96
1832,93.78
1834,93.61
1836,93.46
1838,93.33
1840,93.22
1842,93.1
1844,92.98
1846,92.91
1848,92.97
1850,93.1
1852,93.26
1854,93.52
1856,93.86
1858,94.25
1860,94.63
1862,94.87
1864,94.97
1866,94.92
1868,94.79
1870,94.7
1872,94.77
1874,94.99
1876,95.06
1878,94.87
1880,94.43
1882,93.86
1884,93.37
1886,93.01
1888,92.67
1890,92.17
1892,91.41
1894,90.49
1896,89.55
1898,88.63
1900,87.73
1902,86.83
1904,85.93
1906,84.98
1908,84.06
1910,83.4
1912,83.02
1914,82.74
1916,82.4
1918,82.05
1920,81.88
1922,81.9
1924,81.95
1926,82.03
1928,82.25
1930,82.56
1932,82.88
1934,83.24
1936,83.59
1938,83.86
1940,84.08
1942,84.27
1944,84.48
1946,84.65
1948,84.67
1950,84.57
1952,84.44
1954,84.37
1956,84.36
1958,84.37
1960,84.43
1962,84.49
1964,84.55
1966,84.58
1968,84.62
1970,84.64
1972,84.68
1974,84.72
1976,84.8
1978,85
1980,85.37
1982,85.77
1984,86.13
1986,86.48
1988,86.87
1990,87.32
1992,87.79
1994,88.16
1996,88.38
1998,88.53
2000,88.71
2002,88.86
2004,89.01
2006,89.21
2008,89.39
2010,89.57
2012,89.86
2014,90.2
2016,90.43
2018,90.44
2020,90.33
2022,90.25
2024,90.3
2026,90.49
2028,90.68
2030,90.95
2032,91.26
2034,91.52
2036,91.63
2038,91.75
2040,91.92
2042,92.07
2044,92.15
2046,92.23
2048,92.31
2050,92.31
2052,92.26
2054,92.29
2056,92.56
2058,92.95
2060,93.29
2062,93.5
2064,93.58
2066,93.59
2068,93.45
2070,93.14
2072,92.82
2074,92.61
2076,92.64
2078,92.85
2080,93.08
2082,93.29
2084,93.47
2086,93.71
2088,94.09
2090,94.49
2092,94.7
2094,94.62
2096,94.47
2098,94.33
2100,94.24
2102,94.21
2104,94.38
2106,94.6
2108,94.76
2110,94.86
2112,95.02
2114,95.25
2116,95.39
2118,95.44
2120,95.59
2122,96.05
2124,96.54
2126,96.81
2128,96.99
2130,97.15
2132,97.16
2134,97.07
2136,97.07
2138,97.19
2140,97.23
2142,97.2
2144,97.33
2146,97.52
2148,97.65
2150,97.67
2152,97.53
2154,97.14
2156,96.72
2158,96.5
2160,96.45
2162,96.38
2164,96.27
2166,96.15
2168,95.97
2170,95.77
2172,95.42
2174,94.91
2176,94.38
2178,93.94
2180,93.74
2182,93.69
2184,93.67
2186,93.5
2188,93.19
2190,92.81
2192,92.4
2194,91.97
2196,91.48
2198,90.95
2200,90.45
2202,90.08
2204,89.67
2206,89.11
2208,88.54
2210,88.09
2212,87.67
2214,87.17
2216,86.62
2218,86.06
2220,85.52
2222,84.95
2224,84.32
2226,83.68
2228,83.03
2230,82.24
2232,81.37
2234,80.62
2236,79.92
2238,79.1
2240,78.07
2242,76.99
2244,75.95
2246,75.04
2248,74.28
2250,73.51
2252,72.73
2254,72.07
2256,71.59
2258,71.25
2260,70.97
2262,70.66
2264,70.32
2266,70
2268,69.78
2270,69.61
2272,69.42
2274,69.2
2276,69.11
2278,69.22
2280,69.35
2282,69.39
2284,69.2
2286,68.8
2288,68.33
2290,67.99
2292,67.71
2294,67.42
2296,67.11
2298,66.86
2300,66.77
2302,66.9
2304,67.18
2306,67.5
2308,67.83
2310,68.24
2312,68.91
2314,69.96
2316,71.2
2318,72.57
2320,73.99
2322,75.39
2324,76.87
2326,78.52
2328,80.25
2330,81.98
2332,83.71
2334,85.39
2336,86.83
2338,87.93
2340,88.72
2342,89.27
2344,89.59
2346,89.72
2348,89.84
2350,90.05
2352,90.25
2354,90.24
2356,90
2358,89.6
2360,88.92
2362,88.05
2364,87.22
2366,86.69
2368,86.44
2370,86.4
2372,86.3
2374,86.06
2376,85.83
2378,85.64
2380,85.43
2382,85.13
2384,84.71
2386,84.02
2388,83.28
2390,82.71
2392,82.28
2394,81.83
2396,81.27
2398,80.58
2400,79.8
2402,79.1
2404,78.41
2406,77.77
2408,77.15
2410,76.51
2412,75.76
2414,74.93
2416,74.09
2418,73.2
2420,72.17
2422,70.99
2424,69.7
2426,68.3
2428,67.01
2430,65.84
2432,64.77
2434,63.74
2436,62.83
2438,61.88
2440,60.84
2442,59.68
2444,58.54
2446,57.64
2448,57.02
2450,56.46
2452,55.83
2454,55.06
2456,54.19
2458,53.42
2460,52.91
2462,52.49
2464,52.07
2466,51.71
2468,51.25
2470,50.67
2472,50.08
2474,49.42
2476,48.68
2478,48
2480,47.54
2482,47.13
2484,46.66
2486,46.16
2488,45.61
2490,45.03
2492,44.48
2494,43.88
2496,43.2
2498,42.67
2500,42.34
2502,42.25
2504,42.55
2506,43.04
2508,43.64
2510,44.41
2512,45.3
2514,46.32
2516,47.52
2518,49.17
2520,50.95
2522,52.79
2524,54.86
2526,57.05
2528,59.12
2530,61.17
2532,63.39
2534,65.75
2536,68.46
2538,70.96
2540,72.75
2542,74.35
2544,75.74
2546,76.66
2548,77.48
2550,78.37
2552,79.38
2554,80.37
2556,81.42
2558,80.6
2560,78.41
