Wavelength (nm),Reflectance (%)
452,50.94
454,52.01
456,52.85
458,53.7
460,54.53
462,55.17
464,55.74
466,56.24
468,56.62
470,57.04
472,57.56
474,57.88
476,58.15
478,58.74
480,59.36
482,59.82
484,60.3
486,60.83
488,61.48
490,62.27
492,63.08
494,63.86
496,64.64
498,65.45
500,66.3
502,67.06
504,67.74
506,68.36
508,68.89
510,69.42
512,69.96
514,70.54
516,71.18
518,71.79
520,72.21
522,72.55
524,72.95
526,73.43
528,73.96
530,74.35
532,74.66
534,75.09
536,75.59
538,76.03
540,76.45
542,76.85
544,77.19
546,77.49
548,77.72
550,77.96
552,78.38
554,78.85
556,79.26
558,79.69
560,79.99
562,80.17
564,80.48
566,80.82
568,81.08
570,81.34
572,81.56
574,81.65
576,81.69
578,81.82
580,82.02
582,82.24
584,82.38
586,82.49
588,82.62
590,82.71
592,82.71
594,82.8
596,82.97
598,82.96
600,82.79
602,82.8
604,82.89
606,82.82
608,82.69
610,82.63
612,82.65
614,82.67
616,82.54
618,82.21
620,81.8
622,81.47
624,81.37
626,81.38
628,81.26
630,81.08
632,80.87
634,80.52
636,80.12
638,79.79
640,79.52
642,79.24
644,79.01
646,78.75
648,78.21
650,77.41
652,76.6
654,76.04
656,75.77
658,75.61
660,75.37
662,74.92
664,74.4
666,73.9
668,73.28
670,72.55
672,71.81
674,71.19
676,70.85
678,70.84
680,70.98
682,71.27
684,71.69
686,71.92
688,71.9
690,71.8
692,71.5
694,71.1
696,70.81
698,70.68
700,70.6
702,70.53
704,70.44
706,70.44
708,70.49
710,70.4
712,70.29
714,70.15
716,69.85
718,69.56
720,69.29
722,69
724,68.71
726,68.5
728,68.36
730,68.12
732,67.88
734,67.72
736,67.45
738,67.15
740,67
742,66.96
744,66.79
746,66.53
748,66.36
750,66.31
752,66.31
754,66.34
756,66.43
758,66.51
760,66.62
762,66.79
764,66.93
766,67
768,67.1
770,67.34
772,67.63
774,67.93
776,68.2
778,68.36
780,68.63
782,69.08
784,69.58
786,70
788,70.35
790,70.68
792,71.02
794,71.37
796,71.74
798,72.29
800,72.88
802,73.34
804,73.79
806,74.33
808,74.85
810,75.35
812,75.93
814,76.48
816,76.8
818,77.21
820,77.93
822,78.61
824,79.14
826,79.68
828,80.17
830,80.71
832,81.38
834,81.38
836,81.64
838,81.94
840,82.5
842,83.15
844,83.6
846,84.13
848,84.7
850,85.22
852,85.84
854,86.41
856,86.83
858,87.29
860,87.91
862,88.56
864,89.18
866,89.75
868,90.18
870,90.77
872,91.45
874,91.95
876,92.56
878,93.17
880,93.46
882,93.86
884,94.39
886,94.83
888,95.31
890,95.74
892,96.12
894,96.51
896,96.78
898,96.96
900,97.26
902,97.58
904,97.76
906,98.1
908,98.51
910,98.67
912,98.9
914,99.17
916,99.39
918,99.62
920,99.67
922,99.65
924,99.79
926,99.81
928,99.78
930,99.77
932,99.85
934,99.99
936,100
938,99.9
940,99.77
942,99.75
944,99.79
946,99.77
948,99.73
950,99.46
952,99.23
954,99.22
956,99.14
958,99.01
960,98.93
962,98.74
964,98.53
966,98.31
968,98.02
970,97.9
972,97.73
974,97.55
976,97.35
978,97.02
980,96.73
982,96.41
984,96.19
986,96.06
988,95.84
990,95.59
992,95.23
994,94.91
996,94.7
998,94.49
1000,94.22
1002,93.83
1004,93.57
1006,93.43
1008,93.13
1010,92.79
1012,92.55
1014,92.36
1016,92.18
1018,91.8
1020,91.34
1022,90.94
1024,90.59
1026,90.31
