Wavelength (nm),Reflectance (%)
448,36.92
452,37.1
456,37.26
460,37.46
464,37.68
468,38.12
472,38.38
476,38.52
480,38.63
484,38.77
488,38.94
492,39.1
496,39.19
500,39.3
504,39.35
508,39.47
512,39.57
516,39.81
520,39.99
524,40.11
528,40.25
532,40.52
536,40.8
540,40.97
544,41.09
548,41.33
552,41.56
556,41.73
560,41.76
564,41.81
568,41.85
572,41.9
576,41.94
580,41.89
584,41.98
588,42.14
592,42.13
596,42.06
600,42.07
604,42.15
608,42.16
612,42.13
616,42.14
620,42.17
624,42.18
628,42.18
632,42.29
636,42.28
640,42.21
644,42.23
648,42.29
652,42.32
656,42.19
660,42.32
664,42.45
668,42.49
672,42.4
676,42.3
680,42.3
684,42.43
688,42.55
692,42.57
696,42.47
700,42.45
704,42.34
708,42.23
712,42.25
716,42.32
720,42.28
724,42.06
728,42.02
732,42.01
736,41.85
740,41.69
744,41.66
748,41.57
752,41.37
756,41.16
760,40.95
764,40.68
768,40.42
772,40.24
776,39.95
780,39.57
784,39.3
788,39.01
792,38.61
796,38.25
800,37.92
804,37.54
808,37.13
812,36.81
816,36.81
820,36.43
824,35.89
828,35.32
832,34.78
836,34.23
840,33.65
844,33.08
848,32.48
852,31.86
856,31.29
860,30.79
864,30.31
868,29.82
872,29.31
876,28.84
880,28.4
884,27.97
888,27.51
892,27.07
896,26.68
900,26.34
904,25.98
908,25.61
912,25.21
916,24.81
920,24.49
924,24.16
928,23.86
932,23.56
936,23.25
940,22.97
944,22.71
948,22.47
952,22.24
956,22.02
960,21.8
964,21.56
968,21.35
972,21.15
976,20.96
980,20.79
984,20.63
988,20.49
992,20.36
996,20.23
1000,20.11
1004,19.99
1008,19.88
1012,19.77
1016,19.67
1020,19.58
1024,19.51
1028,19.45
1032,19.4
1036,19.35
1040,19.3
1044,19.27
1048,19.25
1052,19.22
1056,19.21
1060,19.21
1064,19.2
1068,19.18
1072,19.16
1076,19.13
1080,19.11
1084,19.09
1088,19.07
1092,19.06
1096,19.07
1100,19.1
1104,19.1
1108,19.1
1112,19.09
1116,19.1
1120,19.09
1124,19.07
1128,19.04
1132,19.01
1136,19.02
1140,19.05
1144,19.08
1148,19.08
1152,19.07
1156,19.07
1160,19.06
1164,19.02
1168,18.97
1172,18.91
1176,18.85
1180,18.81
1184,18.78
1188,18.75
1192,18.71
1196,18.67
1200,18.62
1204,18.56
1208,18.54
1212,18.52
1216,18.49
1220,18.46
1224,18.41
1228,18.38
1232,18.34
1236,18.31
1240,18.28
1244,18.24
1248,18.21
1252,18.16
1256,18.12
1260,18.11
1264,18.09
1268,18.08
1272,18.07
1276,18.02
1280,17.96
1284,17.92
1288,17.91
1292,17.91
1296,17.89
1300,17.88
1304,17.89
1308,17.9
1312,17.9
1316,17.91
1320,17.93
1324,17.96
1328,18.02
1332,18.08
1336,18.1
1340,18.11
1344,18.13
1348,18.18
1352,18.23
1356,18.31
1360,18.36
1364,18.39
1368,18.43
1372,18.52
1376,18.57
1380,18.63
1384,18.68
1388,18.78
1392,18.86
1396,18.96
1400,19.01
1404,19.07
1408,19.17
1412,19.25
1416,19.36
1420,19.46
1424,19.55
1428,19.66
1432,19.8
1436,19.96
1440,20.13
1444,20.27
1448,20.42
1452,20.58
1456,20.76
1460,20.98
1464,21.22
1468,21.46
1472,21.7
1476,21.92
1480,22.17
1484,22.42
1488,22.66
1492,22.89
1496,23.14
1500,23.41
1504,23.69
1508,23.95
1512,24.23
1516,24.48
1520,24.71
1524,24.94
1528,25.22
1532,25.5
1536,25.76
1540,26.05
1544,26.32
1548,26.6
1552,26.87
1556,27.13
1560,27.39
1564,27.64
1568,27.9
1572,28.15
1576,28.37
1580,28.56
1584,28.81
1588,29.01
1592,29.22
1596,29.44
1600,29.67
1604,29.87
1608,30.04
1612,30.21
1616,30.41
1620,30.57
1624,30.75
1628,30.93
1632,31.09
1636,31.17
1640,31.34
1644,31.5
1648,31.64
1652,31.74
1656,31.74
1660,31.81
1664,31.88
1668,32.01
1672,32.11
1676,32.25
1680,32.29
1684,32.37
1688,32.48
1692,32.57
1696,32.69
1700,32.81
1704,32.9
1708,32.98
1712,33.05
1716,33.06
1720,33.07
1724,33.15
1728,33.2
1732,33.17
1736,33.24
1740,33.31
1744,33.33
1748,33.38
1752,33.42
1756,33.38
1760,33.4
1764,33.5
1768,33.52
1772,33.65
1776,33.64
1780,33.65
1784,33.65
1788,33.73
1792,33.79
1796,33.75
1800,33.7
1804,33.73
1808,33.7
1812,33.68
1816,33.69
1820,33.65
1824,33.61
1828,33.71
1832,33.64
1836,33.59
1840,33.59
1844,33.5
1848,33.46
1852,33.34
1856,33.32
1860,33.17
1864,33.15
1868,33.04
1872,32.94
1876,32.85
1880,32.63
1884,32.4
1888,32.2
1892,31.93
1896,31.58
1900,31.25
1904,30.95
1908,30.68
1912,30.42
1916,30.19
1920,30.03
1924,29.91
1928,29.86
1932,29.83
1936,29.81
1940,29.78
1944,29.73
1948,29.72
1952,29.71
1956,29.82
1960,29.91
1964,29.96
1968,29.98
1972,29.97
1976,30.02
1980,30.12
1984,30.22
1988,30.31
1992,30.35
1996,30.41
2000,30.59
2004,30.75
2008,30.82
2012,30.96
2016,31.1
2020,31.13
2024,31.21
2028,31.25
2032,31.33
2036,31.4
2040,31.39
2044,31.37
2048,31.4
2052,31.36
2056,31.26
2060,31.29
2064,31.32
2068,31.28
2072,31.25
2076,31.29
2080,31.3
2084,31.3
2088,31.3
2092,31.26
2096,31.27
2100,31.27
2104,31.17
2108,31.12
2112,31.1
2116,31.14
2120,31.1
2124,30.98
2128,30.82
2132,30.76
2136,30.65
2140,30.6
2144,30.57
2148,30.53
2152,30.51
2156,30.6
2160,30.66
2164,30.63
2168,30.57
2172,30.62
