Wavelength (nm),Reflectance (%)
448,49.61
452,50.63
456,51.5
460,51.98
464,52.46
468,52.96
472,53.54
476,54.01
480,54.49
484,54.88
488,55.17
492,55.32
496,55.45
500,55.59
504,55.86
508,56.14
512,56.37
516,56.62
520,56.82
524,57.06
528,57.23
532,57.36
536,57.53
540,57.64
544,57.74
548,57.85
552,58.03
556,58.12
560,58.21
564,58.29
568,58.37
572,58.51
576,58.54
580,58.53
584,58.56
588,58.62
592,58.65
596,58.65
600,58.65
604,58.68
608,58.66
612,58.61
616,58.57
620,58.55
624,58.48
628,58.46
632,58.45
636,58.41
640,58.44
644,58.42
648,58.34
652,58.31
656,58.28
660,58.24
664,58.21
668,58.15
672,58.07
676,58.01
680,57.97
684,57.93
688,57.89
692,57.87
696,57.82
700,57.75
704,57.66
708,57.47
712,57.39
716,57.33
720,57.28
724,57.22
728,57.22
732,57.12
736,57.04
740,56.98
744,56.97
748,56.94
752,56.89
756,56.83
760,56.75
764,56.65
768,56.52
772,56.45
776,56.33
780,56.18
784,56.03
788,55.85
792,55.71
796,55.59
800,55.49
804,55.38
808,55.19
812,55.01
816,54.85
820,54.7
824,54.6
828,54.6
832,54.55
836,54.38
840,54.2
844,54
848,53.83
852,53.74
856,53.62
860,53.5
864,53.34
868,53.14
872,52.87
876,52.59
880,52.29
884,52
888,51.74
892,51.54
896,51.36
900,51.08
904,50.74
908,50.37
912,50.03
916,49.7
920,49.39
924,49.09
928,48.79
932,48.53
936,48.24
940,47.87
944,47.49
948,47.15
952,46.82
956,46.5
960,46.23
964,45.98
968,45.71
972,45.43
976,45.1
980,44.78
984,44.5
988,44.26
992,44
996,43.7
1000,43.4
1004,43.11
1008,42.85
1012,42.58
1016,42.36
1020,42.13
1024,41.87
1028,41.61
1032,41.36
1036,41.12
1040,40.93
1044,40.71
1048,40.48
1052,40.25
1056,40.08
1060,39.9
1064,39.71
1068,39.53
1072,39.38
1076,39.24
1080,39.08
1084,38.97
1088,38.89
1092,38.76
1096,38.6
1100,38.49
1104,38.4
1108,38.35
1112,38.25
1116,38.16
1120,38.05
1124,37.98
1128,37.9
1132,37.85
1136,37.83
1140,37.84
1144,37.84
1148,37.8
1152,37.79
1156,37.78
1160,37.72
1164,37.67
1168,37.68
1172,37.67
1176,37.64
1180,37.64
1184,37.6
1188,37.56
1192,37.56
1196,37.59
1200,37.63
1204,37.6
1208,37.55
1212,37.63
1216,37.71
1220,37.76
1224,37.76
1228,37.74
1232,37.71
1236,37.71
1240,37.71
1244,37.75
1248,37.77
1252,37.73
1256,37.69
1260,37.65
1264,37.59
1268,37.53
1272,37.48
1276,37.44
1280,37.42
1284,37.34
1288,37.23
1292,37.16
1296,37.17
1300,37.21
1304,37.19
1308,37.17
1312,37.16
1316,37.12
1320,37.03
1324,36.97
1328,36.94
1332,36.92
1336,36.88
1340,36.79
1344,36.72
1348,36.66
1352,36.53
1356,36.44
1360,36.36
1364,36.3
1368,36.26
1372,36.23
1376,36.15
1380,36.08
1384,36.01
1388,35.93
1392,35.84
1396,35.78
1400,35.72
1404,35.65
1408,35.56
1412,35.44
1416,35.38
1420,35.34
1424,35.34
1428,35.41
1432,35.48
1436,35.49
1440,35.48
1444,35.46
1448,35.41
1452,35.43
1456,35.48
1460,35.54
1464,35.57
1468,35.65
1472,35.7
1476,35.78
1480,35.85
1484,35.94
1488,36.05
1492,36.08
1496,36.08
1500,36.13
1504,36.19
1508,36.35
1512,36.53
1516,36.62
1520,36.7
1524,36.75
1528,36.87
