PROF_RAW_Wavelength (nm),PROF_RAW_Reflectance (%)
448,25.05
452,25.12
456,25.4
460,25.61
464,25.75
468,25.72
472,25.78
476,25.84
480,25.93
484,26.04
488,26.12
492,26.18
496,26.26
500,26.27
504,26.29
508,26.41
512,26.48
516,26.44
520,26.38
524,26.42
528,26.5
532,26.54
536,26.51
540,26.48
544,26.44
548,26.48
552,26.39
556,26.31
560,26.28
564,26.22
568,26.19
572,26.17
576,26.15
580,26.06
584,25.96
588,25.87
592,25.89
596,25.89
600,25.87
604,25.79
608,25.72
612,25.63
616,25.6
620,25.56
624,25.49
628,25.45
632,25.42
636,25.34
640,25.23
644,25.13
648,25.11
652,25.09
656,24.98
660,24.86
664,24.84
668,24.81
672,24.77
676,24.69
680,24.62
684,24.61
688,24.51
692,24.43
696,24.38
700,24.33
704,24.26
708,24.23
712,24.18
716,24.2
720,24.18
724,24.16
728,24.11
732,24.05
736,23.99
740,23.99
744,23.93
748,23.95
752,23.92
756,23.89
760,23.9
764,23.91
768,23.84
772,23.79
776,23.81
780,23.8
784,23.78
788,23.79
792,23.77
796,23.71
800,23.66
804,23.61
808,23.57
812,23.53
816,23.53
820,23.41
824,23.29
828,23.21
832,23.16
836,23.09
840,22.95
844,22.8
848,22.66
852,22.61
856,22.56
860,22.48
864,22.38
868,22.29
872,22.23
876,22.16
880,22.1
884,22.04
888,21.99
892,21.94
896,21.91
900,21.86
904,21.81
908,21.78
912,21.75
916,21.72
920,21.72
924,21.71
928,21.7
932,21.69
936,21.67
940,21.65
944,21.61
948,21.6
952,21.58
956,21.57
960,21.58
964,21.61
968,21.59
972,21.57
976,21.58
980,21.61
984,21.64
988,21.63
992,21.64
996,21.63
1000,21.61
1004,21.56
1008,21.53
1012,21.51
1016,21.5
1020,21.47
1024,21.41
1028,21.34
1032,21.3
1036,21.27
1040,21.27
1044,21.27
1048,21.23
1052,21.2
1056,21.14
1060,21.14
1064,21.15
1068,21.15
1072,21.15
1076,21.13
1080,21.1
1084,21.08
1088,21.06
1092,21.08
1096,21.07
1100,21.09
1104,21.06
1108,21.02
1112,21
1116,20.96
1120,20.93
1124,20.96
1128,20.96
1132,20.98
1136,21.01
1140,21.04
1144,21.05
1148,21.05
1152,21.06
1156,21.07
1160,21.08
1164,21.13
1168,21.16
1172,21.18
1176,21.22
1180,21.27
1184,21.28
1188,21.27
1192,21.28
1196,21.33
1200,21.4
1204,21.46
1208,21.49
1212,21.51
1216,21.49
1220,21.53
1224,21.54
1228,21.64
1232,21.74
1236,21.79
1240,21.89
1244,22.02
1248,22.1
1252,22.13
1256,22.17
1260,22.21
1264,22.27
1268,22.32
1272,22.41
1276,22.52
1280,22.61
1284,22.67
1288,22.76
1292,22.85
1296,22.94
1300,22.99
1304,23.05
1308,23.1
1312,23.24
1316,23.33
1320,23.42
1324,23.47
1328,23.56
1332,23.63
1336,23.74
1340,23.81
1344,23.9
1348,23.99
1352,24.09
1356,24.21
1360,24.32
1364,24.38
1368,24.45
1372,24.52
1376,24.54
1380,24.51
1384,24.47
1388,24.37
1392,24.23
1396,24.15
1400,24.14
1404,24.25
1408,24.46
1412,24.7
1416,24.95
1420,25.21
1424,25.45
1428,25.56
1432,25.66
1436,25.69
1440,25.72
1444,25.84
1448,25.94
1452,26.02
1456,26.1
1460,26.16
1464,26.21
1468,26.25
1472,26.3
1476,26.36
1480,26.45
1484,26.52
1488,26.6
1492,26.67
1496,26.73
1500,26.84
1504,26.92
1508,26.98
1512,27.03
1516,27.1
1520,27.18
1524,27.25
1528,27.35
1532,27.41
1536,27.48
1540,27.53
1544,27.6
1548,27.64
1552,27.69
1556,27.72
1560,27.77
1564,27.84
1568,27.87
1572,27.98
1576,28.04
1580,28.12
1584,28.21
1588,28.32
1592,28.38
1596,28.44
1600,28.52
1604,28.56
1608,28.63
1612,28.72
1616,28.77
1620,28.83
1624,28.86
1628,28.9
1632,28.94
1636,28.95
1640,29.01
1644,29.02
1648,29.01
1652,29.02
1656,29.02
1660,29.07
1664,29.16
1668,29.27
1672,29.36
1676,29.45
1680,29.54
1684,29.63
1688,29.7
1692,29.76
1696,29.84
1700,29.93
1704,30.01
1708,30.11
1712,30.23
1716,30.34
1720,30.47
1724,30.55
1728,30.65
1732,30.76
1736,30.87
1740,30.95
1744,31
1748,31.05
1752,31.08
1756,31.12
1760,31.19
1764,31.27
1768,31.37
1772,31.46
1776,31.53
1780,31.63
1784,31.72
1788,31.8
1792,31.89
1796,31.96
1800,32.02
1804,32.08
1808,32.15
1812,32.19
1816,32.22
1820,32.27
1824,32.31
1828,32.39
1832,32.46
1836,32.5
1840,32.51
1844,32.54
1848,32.58
1852,32.62
1856,32.66
1860,32.67
1864,32.67
1868,32.67
1872,32.67
1876,32.68
1880,32.68
1884,32.63
1888,32.54
1892,32.41
1896,32.23
1900,31.99
1904,31.78
1908,31.63
1912,31.59
1916,31.64
1920,31.74
1924,31.85
1928,31.94
1932,32.02
1936,32.08
1940,32.13
1944,32.17
1948,32.22
1952,32.24
1956,32.28
1960,32.3
1964,32.31
1968,32.37
1972,32.41
1976,32.44
1980,32.47
1984,32.48
1988,32.49
1992,32.47
1996,32.5
2000,32.56
2004,32.68
2008,32.81
2012,32.95
2016,33.04
2020,33.15
2024,33.28
2028,33.45
2032,33.64
2036,33.82
2040,33.99
2044,34.13
2048,34.28
2052,34.43
2056,34.58
2060,34.7
2064,34.79
2068,34.87
2072,34.98
2076,35.11
2080,35.21
2084,35.3
2088,35.36
2092,35.35
2096,35.28
2100,35.19
2104,35.09
2108,35.08
2112,35.11
2116,35.12
2120,35.14
2124,35.15
2128,35.18
2132,35.18
2136,35.19
2140,35.24
2144,35.25
2148,35.23
2152,35.21
2156,35.16
2160,35.06
2164,34.91
2168,34.73
2172,34.55
2176,34.39
2180,34.2
2184,34
2188,33.8
2192,33.59
2196,33.4
2200,33.21
2204,33.03
2208,32.85
2212,32.62
2216,32.32
2220,31.92
2224,31.43
2228,30.85
2232,30.19
2236,29.46
2240,28.69
2244,28
2248,27.51
2252,27.32
2256,27.39
2260,27.62
2264,27.9
2268,28.13
2272,28.22
2276,28.17
2280,28
2284,27.7
2288,27.24
2292,26.71
2296,26.16
2300,25.65
2304,25.18
2308,24.72
2312,24.28
2316,23.86
2320,23.48
2324,23.11
2328,22.81
2332,22.61
2336,22.51
2340,22.53
2344,22.61
2348,22.74
2352,22.95
2356,23.21
2360,23.6
2364,23.98
2368,24.3
2372,24.5
2376,24.63
2380,24.7
2384,24.73
2388,24.75
2392,24.78
2396,24.85
2400,24.98
2404,25.18
2408,25.4
2412,25.61
2416,25.77
2420,25.86
2424,25.87
2428,25.82
2432,25.74
2436,25.67
2440,25.62
2444,25.54
2448,25.39
2452,25.21
2456,24.99
2460,24.77
2464,24.57
2468,24.4
2472,24.24
2476,24.09
2480,23.95
2484,23.85
2488,23.76
2492,23.71
2496,23.71
2500,23.7
