Wavelength (nm),Reflectance (%)
444,15.82
448,15.23
452,15.01
456,14.95
460,14.83
464,15.04
468,15.12
472,15.28
476,15.31
480,15.2
484,15.17
488,15.32
492,15.43
496,15.51
500,15.54
504,15.55
508,15.54
512,15.53
516,15.56
520,15.62
524,15.65
528,15.67
532,15.66
536,15.69
540,15.79
544,15.78
548,15.79
552,15.81
556,15.78
560,15.76
564,15.72
568,15.7
572,15.7
576,15.66
580,15.64
584,15.61
588,15.6
592,15.58
596,15.54
600,15.49
604,15.42
608,15.36
612,15.29
616,15.24
620,15.19
624,15.16
628,15.09
632,15.03
636,14.95
640,14.9
644,14.84
648,14.79
652,14.7
656,14.66
660,14.59
664,14.52
668,14.47
672,14.43
676,14.39
680,14.33
684,14.28
688,14.25
692,14.21
696,14.17
700,14.14
704,14.12
708,14.08
712,14.05
716,14.03
720,14.02
724,14.01
728,14.02
732,14.02
736,14.01
740,13.98
744,13.97
748,13.96
752,13.97
756,13.97
760,14
764,14
768,14
772,14.01
776,14.03
780,14.02
784,14.02
788,14.01
792,14.01
796,13.98
800,13.97
804,13.96
808,13.94
812,13.89
816,13.87
820,13.85
824,13.83
828,13.8
832,13.8
836,13.76
840,13.72
844,13.69
848,13.66
852,13.62
856,13.59
860,13.57
864,13.54
868,13.5
872,13.44
876,13.39
880,13.39
884,13.34
888,13.3
892,13.29
896,13.28
900,13.24
904,13.2
908,13.17
912,13.15
916,13.14
920,13.13
924,13.14
928,13.17
932,13.18
936,13.19
940,13.2
944,13.2
948,13.21
952,13.22
956,13.24
960,13.26
964,13.27
968,13.27
972,13.27
976,13.26
980,13.25
984,13.26
988,13.28
992,13.3
996,13.31
1000,13.33
1004,13.34
1008,13.33
1012,13.32
1016,13.32
1020,13.32
1024,13.31
1028,13.31
1032,13.3
1036,13.3
1040,13.29
1044,13.29
1048,13.29
1052,13.29
1056,13.28
1060,13.28
1064,13.28
1068,13.28
1072,13.28
1076,13.29
1080,13.29
1084,13.3
1088,13.3
1092,13.31
1096,13.33
1100,13.33
1104,13.33
1108,13.32
1112,13.31
1116,13.31
1120,13.31
1124,13.31
1128,13.32
1132,13.34
1136,13.37
1140,13.38
1144,13.4
1148,13.41
1152,13.42
1156,13.44
1160,13.45
1164,13.47
1168,13.49
1172,13.51
1176,13.54
1180,13.57
1184,13.6
1188,13.63
1192,13.66
1196,13.68
1200,13.71
1204,13.74
1208,13.77
1212,13.8
1216,13.84
1220,13.88
1224,13.92
1228,13.96
1232,13.99
1236,14.02
1240,14.05
1244,14.07
1248,14.1
1252,14.13
1256,14.17
1260,14.22
1264,14.26
1268,14.3
1272,14.35
1276,14.39
1280,14.42
1284,14.46
1288,14.5
1292,14.55
1296,14.59
1300,14.64
1304,14.68
1308,14.72
1312,14.77
1316,14.81
1320,14.84
1324,14.88
1328,14.91
1332,14.95
1336,15
1340,15.05
1344,15.11
1348,15.16
1352,15.2
1356,15.23
1360,15.26
1364,15.28
1368,15.3
1372,15.32
1376,15.33
1380,15.34
1384,15.31
1388,15.26
1392,15.2
1396,15.14
1400,15.09
1404,15.09
1408,15.12
1412,15.18
1416,15.27
1420,15.38
1424,15.49
1428,15.58
1432,15.65
1436,15.7
1440,15.73
1444,15.77
1448,15.8
1452,15.85
1456,15.9
1460,15.96
1464,16.01
1468,16.06
1472,16.09
1476,16.14
1480,16.18
1484,16.23
1488,16.27
1492,16.29
1496,16.32
1500,16.34
1504,16.36
1508,16.4
1512,16.44
1516,16.48
1520,16.52
1524,16.54
1528,16.58
1532,16.62
1536,16.66
1540,16.7
1544,16.73
1548,16.77
1552,16.8
1556,16.83
1560,16.86
1564,16.89
1568,16.92
1572,16.95
1576,16.97
1580,17.01
1584,17.05
1588,17.08
1592,17.12
1596,17.17
1600,17.2
1604,17.23
1608,17.27
1612,17.32
1616,17.37
1620,17.42
1624,17.47
1628,17.53
1632,17.53
1636,17.56
1640,17.59
1644,17.61
1648,17.65
1652,17.68
1656,17.71
1660,17.75
1664,17.78
1668,17.82
1672,17.85
1676,17.89
1680,17.93
1684,17.98
1688,18.02
1692,18.05
1696,18.06
1700,18.08
1704,18.1
1708,18.13
1712,18.16
1716,18.19
1720,18.23
1724,18.25
1728,18.28
1732,18.31
1736,18.33
1740,18.34
1744,18.35
1748,18.33
1752,18.32
1756,18.32
1760,18.32
1764,18.33
1768,18.35
1772,18.38
1776,18.41
1780,18.42
1784,18.42
1788,18.44
1792,18.45
1796,18.47
1800,18.48
1804,18.5
1808,18.51
1812,18.51
1816,18.52
1820,18.53
1824,18.54
1828,18.53
1832,18.51
1836,18.51
1840,18.51
1844,18.49
1848,18.47
1852,18.44
1856,18.44
1860,18.43
1864,18.39
1868,18.36
1872,18.32
1876,18.27
1880,18.18
1884,18.11
1888,18.04
1892,17.93
1896,17.8
1900,17.68
1904,17.59
1908,17.53
1912,17.48
1916,17.45
1920,17.44
1924,17.42
1928,17.4
1932,17.39
1936,17.39
1940,17.42
1944,17.43
1948,17.46
1952,17.49
1956,17.53
1960,17.56
1964,17.58
1968,17.58
1972,17.59
1976,17.6
1980,17.61
1984,17.62
1988,17.65
1992,17.68
1996,17.71
2000,17.74
2004,17.78
2008,17.84
2012,17.89
2016,17.96
2020,18.04
2024,18.13
2028,18.24
2032,18.34
2036,18.44
2040,18.53
2044,18.62
2048,18.69
2052,18.76
2056,18.82
2060,18.88
2064,18.94
2068,18.98
2072,19.02
2076,19.04
2080,19.07
2084,19.09
2088,19.12
2092,19.13
2096,19.13
2100,19.13
2104,19.12
2108,19.1
2112,19.09
2116,19.09
2120,19.09
2124,19.09
2128,19.09
2132,19.08
2136,19.04
2140,18.99
2144,18.92
2148,18.83
2152,18.73
2156,18.63
2160,18.56
2164,18.48
2168,18.42
2172,18.36
2176,18.28
2180,18.18
2184,18.06
2188,17.93
2192,17.78
2196,17.6
2200,17.44
2204,17.33
2208,17.25
2212,17.21
2216,17.18
2220,17.11
2224,16.98
2228,16.73
2232,16.42
2236,16.08
2240,15.72
2244,15.4
2248,15.17
2252,15.05
2256,15.03
2260,15.09
2264,15.2
2268,15.3
2272,15.37
2276,15.4
2280,15.39
2284,15.35
2288,15.27
2292,15.17
2296,15.06
2300,14.93
2304,14.8
2308,14.66
2312,14.53
2316,14.4
2320,14.27
2324,14.16
2328,14.07
2332,13.99
2336,13.95
2340,13.92
2344,13.91
2348,13.92
2352,13.95
2356,14
2360,14.07
2364,14.16
2368,14.27
2372,14.36
2376,14.45
2380,14.53
2384,14.6
2388,14.67
2392,14.72
2396,14.78
2400,14.83
2404,14.84
2408,14.86
2412,14.86
2416,14.85
2420,14.84
2424,14.82
2428,14.8
2432,14.76
2436,14.72
2440,14.68
2444,14.62
2448,14.57
2452,14.51
2456,14.43
2460,14.36
2464,14.27
2468,14.21
2472,14.17
2476,14.13
