Wavelength (nm),Reflectance (%)
448,79.91
452,81.4
456,82.97
460,84.32
464,85.52
468,86.47
472,87.26
476,87.96
480,88.74
484,89.43
488,90.06
492,90.65
496,91.14
500,91.6
504,92.07
508,92.48
512,92.84
516,93.2
520,93.5
524,93.75
528,93.97
532,94.12
536,94.17
540,94.21
544,94.35
548,94.61
552,94.83
556,94.91
560,94.94
564,95.08
568,95.26
572,95.35
576,95.37
580,95.35
584,95.43
588,95.5
592,95.64
596,95.81
600,95.93
604,95.98
608,96.12
612,96.31
616,96.55
620,96.74
624,96.83
628,96.95
632,97.07
636,97.15
640,97.27
644,97.42
648,97.58
652,97.75
656,97.89
660,98.07
664,98.19
668,98.31
672,98.45
676,98.53
680,98.65
684,98.85
688,99.05
692,99.16
696,99.2
700,99.23
704,99.25
708,99.32
712,99.46
716,99.52
720,99.47
724,99.42
728,99.41
732,99.34
736,99.07
740,99.02
744,99.23
748,99.44
752,99.73
756,99.83
760,99.87
764,99.91
768,99.98
772,100
776,99.88
780,99.77
784,99.7
788,99.7
792,99.63
796,99.45
800,99.29
804,99.25
808,99.25
812,99.21
816,99.08
820,98.92
824,98.75
828,98.75
832,98.82
836,98.89
840,99.08
844,99.24
848,99.3
852,99.36
856,99.39
860,99.27
864,99.27
868,99.24
872,99.22
876,99.24
880,99.12
884,98.9
888,98.6
892,98.47
896,98.34
900,98.01
904,97.48
908,96.71
912,95.96
916,95.53
920,95.42
924,95.34
928,94.97
932,93.99
936,92.08
940,89.65
944,88.21
948,88.97
952,90.66
956,91.57
960,89.45
964,86.19
968,85.13
972,88.47
976,92.81
980,95.93
984,97.73
988,98.74
992,99.31
996,99.57
1000,99.69
1004,99.83
1008,99.95
1012,99.95
1016,99.92
1020,99.88
1024,99.83
1028,99.8
1032,99.79
1036,99.82
1040,99.8
1044,99.78
1048,99.69
1052,99.64
1056,99.57
1060,99.47
1064,99.37
1068,99.3
1072,99.25
1076,99.21
1080,99.15
1084,99.09
1088,98.93
1092,98.72
1096,98.53
1100,98.39
1104,98.26
1108,98.09
1112,97.96
1116,97.83
1120,97.82
1124,97.83
1128,97.86
1132,97.82
1136,97.77
1140,97.67
1144,97.5
1148,97.38
1152,97.17
1156,96.97
1160,96.75
1164,96.59
1168,96.49
1172,96.33
1176,96.1
1180,95.85
1184,95.5
1188,95.1
1192,94.63
1196,94.14
1200,93.61
1204,93.02
1208,92.3
1212,91.36
1216,90.25
1220,89.04
1224,87.7
1228,86.18
1232,84.64
1236,83.04
1240,81.58
1244,81.05
1248,81.54
1252,82.46
1256,83.43
1260,84.26
1264,84.47
1268,83.92
1272,82.89
1276,81.59
1280,79.89
1284,77.75
1288,75.44
1292,73.06
1296,70.36
1300,67.56
1304,65.66
1308,65.32
1312,65.47
1316,65.29
1320,64.6
1324,63.98
1328,63.6
1332,63.09
1336,62.14
1340,60.62
1344,58.43
1348,55.32
1352,51.26
1356,47.44
1360,45.55
1364,43.71
1368,39.38
1372,31.83
1376,24.26
1380,21.42
1384,24.83
1388,31.36
1392,37.42
