wavelength,reflectance
0.21,0.17
0.22,0.18
0.23,0.19
0.24,0.2
0.24,0.2
0.25,0.21
0.25,0.21
0.26,0.22
0.26,0.22
0.27,0.22
0.27,0.23
0.28,0.23
0.28,0.23
0.29,0.23
0.29,0.24
0.29,0.24
0.3,0.25
0.3,0.26
0.31,0.27
0.31,0.28
0.31,0.28
0.32,0.29
0.32,0.3
0.33,0.32
0.33,0.33
0.33,0.34
0.34,0.35
0.34,0.36
0.35,0.38
0.35,0.39
0.35,0.41
0.36,0.42
0.36,0.44
0.36,0.45
0.37,0.47
0.37,0.48
0.37,0.49
0.38,0.5
0.38,0.51
0.38,0.52
0.38,0.53
0.39,0.54
0.39,0.54
0.39,0.55
0.39,0.56
0.39,0.56
0.4,0.57
0.4,0.58
0.4,0.58
0.4,0.59
0.4,0.59
0.41,0.6
0.41,0.6
0.41,0.61
0.41,0.61
0.41,0.61
0.42,0.62
0.42,0.62
0.42,0.63
0.42,0.63
0.43,0.63
0.43,0.64
0.43,0.64
0.44,0.64
0.44,0.65
0.44,0.65
0.45,0.66
0.45,0.66
0.45,0.66
0.45,0.67
0.46,0.67
0.46,0.67
0.46,0.67
0.46,0.68
0.46,0.68
0.47,0.68
0.47,0.68
0.47,0.68
0.47,0.69
0.47,0.69
0.48,0.69
0.48,0.69
0.48,0.7
0.48,0.7
0.48,0.7
0.49,0.7
0.49,0.7
0.49,0.71
0.49,0.71
0.49,0.71
0.5,0.71
0.5,0.71
0.5,0.71
0.5,0.72
0.5,0.72
0.51,0.72
0.51,0.72
0.51,0.72
0.51,0.72
0.51,0.73
0.52,0.73
0.52,0.73
0.52,0.73
0.52,0.73
0.52,0.74
0.53,0.74
0.53,0.74
0.53,0.74
0.53,0.74
0.53,0.74
0.54,0.75
0.54,0.75
0.54,0.75
0.54,0.75
0.54,0.75
0.55,0.75
0.55,0.75
0.55,0.75
0.55,0.76
0.55,0.76
0.56,0.76
0.56,0.76
0.56,0.76
0.56,0.76
0.56,0.77
0.57,0.77
0.57,0.77
0.57,0.77
0.57,0.77
0.57,0.77
0.58,0.77
0.58,0.78
0.58,0.78
0.58,0.78
0.58,0.78
0.59,0.78
0.59,0.78
0.59,0.78
0.59,0.78
0.59,0.78
0.6,0.79
0.6,0.79
0.6,0.79
0.6,0.79
0.6,0.79
0.6,0.79
0.61,0.79
0.61,0.79
0.61,0.79
0.61,0.79
0.61,0.79
0.61,0.79
0.62,0.79
0.62,0.8
0.62,0.8
0.62,0.8
0.62,0.8
0.62,0.8
0.63,0.8
0.63,0.8
0.63,0.8
0.63,0.8
0.63,0.8
0.63,0.8
0.64,0.8
0.64,0.81
0.64,0.81
0.64,0.81
0.64,0.81
0.65,0.81
0.65,0.81
0.65,0.81
0.65,0.81
0.65,0.81
0.66,0.81
0.66,0.82
0.66,0.82
0.66,0.82
0.66,0.82
0.67,0.82
0.67,0.82
0.67,0.82
0.67,0.82
0.68,0.82
0.68,0.82
0.68,0.82
0.69,0.83
0.69,0.83
0.69,0.83
0.69,0.83
0.7,0.83
0.7,0.83
0.7,0.83
0.7,0.83
0.71,0.83
0.71,0.83
0.71,0.83
0.71,0.83
0.71,0.83
0.72,0.83
0.72,0.84
0.72,0.83
0.72,0.83
0.72,0.84
0.73,0.84
0.73,0.84
0.73,0.84
0.73,0.84
0.73,0.84
0.74,0.84
0.74,0.84
0.74,0.84
0.74,0.84
0.74,0.84
0.75,0.84
0.75,0.84
0.75,0.84
0.75,0.84
0.76,0.84
0.76,0.84
0.76,0.84
0.77,0.84
0.77,0.85
0.77,0.84
0.77,0.85
0.78,0.85
0.78,0.85
0.78,0.85
0.79,0.85
0.79,0.85
0.8,0.85
0.8,0.85
0.81,0.85
0.81,0.85
0.82,0.85
0.82,0.85
0.83,0.85
0.83,0.85
0.84,0.85
0.85,0.85
0.86,0.86
0.87,0.85
0.88,0.85
0.89,0.85
0.9,0.85
0.91,0.84
0.92,0.84
0.93,0.84
0.94,0.82
0.95,0.82
0.96,0.83
0.96,0.81
0.97,0.8
0.98,0.83
0.98,0.85
0.99,0.85
0.99,0.85
1,0.86
1.01,0.86
1.01,0.86
1.02,0.86
1.02,0.86
1.03,0.86
1.03,0.86
1.04,0.86
1.04,0.86
1.05,0.86
1.05,0.86
1.06,0.86
