Wavelength (nm),Reflectance (%)
448,34.87
452,34.85
456,34.88
460,34.93
464,35.04
468,35.18
472,35.5
476,36.03
480,36.69
484,37.35
488,37.99
492,38.58
496,39.03
500,39.37
504,39.71
508,40.08
512,40.35
516,40.64
520,40.88
524,41.08
528,41.23
532,41.44
536,41.6
540,41.7
544,41.88
548,42.07
552,42.23
556,42.28
560,42.31
564,42.36
568,42.4
572,42.4
576,42.42
580,42.41
584,42.35
588,42.34
592,42.33
596,42.3
600,42.29
604,42.27
608,42.25
612,42.24
616,42.23
620,42.22
624,42.2
628,42.21
632,42.29
636,42.37
640,42.43
644,42.48
648,42.56
652,42.67
656,42.75
660,42.86
664,42.91
668,43.01
672,43.12
676,43.21
680,43.32
684,43.46
688,43.58
692,43.68
696,43.75
700,43.83
704,43.91
708,43.98
712,44.08
716,44.19
720,44.25
724,44.29
728,44.3
732,44.29
736,44.26
740,44.26
744,44.24
748,44.26
752,44.19
756,44.14
760,44.12
764,44.1
768,44.05
772,44.01
776,43.95
780,43.88
784,43.83
788,43.81
792,43.78
796,43.67
800,43.54
804,43.44
808,43.41
812,43.34
816,43.26
820,43.21
824,43.19
828,43.19
832,43.16
836,43.06
840,42.93
844,42.78
848,42.71
852,42.73
856,42.73
860,42.67
864,42.55
868,42.42
872,42.34
876,42.39
880,42.49
884,42.54
888,42.52
892,42.36
896,42.27
900,42.2
904,42.08
908,41.99
912,41.97
916,41.89
920,41.79
924,41.65
928,41.55
932,41.48
936,41.38
940,41.24
944,41.09
948,40.97
952,40.86
956,40.69
960,40.55
964,40.43
968,40.23
972,40.09
976,39.92
980,39.77
984,39.61
988,39.45
992,39.31
996,39.17
1000,39.04
1004,38.88
1008,38.66
1012,38.55
1016,38.48
1020,38.32
1024,38.23
1028,38.09
1032,38.01
1036,37.92
1040,37.85
1044,37.77
1048,37.67
1052,37.59
1056,37.54
1060,37.52
1064,37.49
1068,37.46
1072,37.47
1076,37.51
1080,37.47
1084,37.48
1088,37.47
1092,37.56
1096,37.63
1100,37.67
1104,37.73
1108,37.82
1112,37.92
1116,38.01
1120,38.15
1124,38.27
1128,38.41
1132,38.57
1136,38.73
1140,38.89
1144,39.03
1148,39.18
1152,39.37
1156,39.58
1160,39.8
1164,40.01
1168,40.2
1172,40.4
1176,40.6
1180,40.82
1184,41.07
1188,41.32
1192,41.56
1196,41.8
1200,42.05
1204,42.34
1208,42.68
1212,42.98
1216,43.19
1220,43.38
1224,43.61
1228,43.85
1232,44.08
1236,44.27
1240,44.45
1244,44.65
1248,44.85
1252,45.04
1256,45.2
1260,45.35
1264,45.51
1268,45.64
1272,45.74
1276,45.82
1280,45.91
1284,45.94
1288,46.02
1292,46.13
1296,46.2
1300,46.28
1304,46.37
1308,46.41
1312,46.39
1316,46.37
1320,46.39
1324,46.45
1328,46.56
1332,46.64
1336,46.71
1340,46.73
1344,46.75
1348,46.8
1352,46.87
1356,46.95
1360,47.03
1364,47.1
1368,47.18
1372,47.22
1376,47.19
1380,47.12
1384,47
1388,46.81
1392,46.55
1396,46.24
1400,45.9
1404,45.6
1408,45.33
1412,45.13
1416,45.12
1420,45.36
1424,45.65
1428,45.92
1432,46.13
1436,46.24
1440,46.31
1444,46.34
1448,46.29
1452,46.19
1456,46.09
1460,46.04
1464,46.03
1468,45.98
1472,45.92
1476,45.81
1480,45.7
1484,45.55
1488,45.35
1492,45.17
1496,44.96
1500,44.71
1504,44.43
1508,44.09
1512,43.76
1516,43.44
1520,43.11
1524,42.76
1528,42.38
1532,41.99
1536,41.61
1540,41.28
1544,41.02
1548,40.82
1552,40.73
1556,40.79
1560,40.99
1564,41.3
1568,41.64
1572,41.96
1576,42.2
1580,42.44
1584,42.7
1588,42.94
1592,43.17
1596,43.34
1600,43.51
1604,43.69
1608,43.84
1612,43.96
1616,44.02
1620,44.09
1624,44.12
1628,44.12
1632,44.19
1636,44.26
1640,44.3
1644,44.35
1648,44.44
1652,44.58
1656,44.72
1660,44.8
1664,44.85
1668,44.89
1672,44.92
1676,44.96
1680,45
1684,45.12
1688,45.24
1692,45.36
1696,45.44
1700,45.5
1704,45.55
1708,45.61
1712,45.69
1716,45.78
1720,45.88
1724,45.97
1728,46.06
1732,46.17
1736,46.25
1740,46.3
1744,46.31
1748,46.33
1752,46.36
1756,46.4
1760,46.5
1764,46.61
1768,46.74
1772,46.9
1776,47.09
1780,47.25
1784,47.33
1788,47.4
1792,47.46
1796,47.5
1800,47.48
1804,47.43
1808,47.35
1812,47.14
1816,46.73
1820,46.2
1824,45.72
1828,45.54
1832,45.7
1836,46.2
1840,46.74
1844,47.23
1848,47.63
1852,47.92
1856,48.1
1860,48.16
1864,48.12
1868,47.89
1872,47.46
1876,46.93
1880,46.43
1884,46
1888,45.51
1892,44.98
1896,44.27
1900,43.53
1904,42.89
1908,42.54
1912,42.44
1916,42.47
1920,42.56
1924,42.65
1928,42.66
1932,42.63
1936,42.55
1940,42.43
1944,42.38
1948,42.53
1952,42.73
1956,43.04
1960,43.39
1964,43.8
1968,44.24
1972,44.69
1976,45.11
1980,45.51
1984,45.83
1988,46.1
1992,46.36
1996,46.6
2000,46.85
2004,47.09
2008,47.3
2012,47.5
2016,47.68
2020,47.94
2024,48.18
2028,48.48
2032,48.79
2036,49.11
2040,49.37
2044,49.58
2048,49.72
2052,49.84
2056,50
2060,50.17
2064,50.34
2068,50.48
2072,50.62
2076,50.75
2080,50.88
2084,51.02
2088,51.12
2092,51.14
2096,51.11
2100,51.07
