Wavelength (nm),Reflectance (%)
448,25.45
452,25.51
456,25.62
460,25.68
464,25.8
468,25.86
472,26.02
476,26.16
480,26.23
484,26.23
488,26.22
492,26.2
496,26.19
500,26.24
504,26.29
508,26.29
512,26.22
516,26.13
520,26.03
524,26
528,25.99
532,26
536,25.96
540,25.9
544,25.85
548,25.85
552,25.86
556,25.85
560,25.77
564,25.72
568,25.67
572,25.64
576,25.6
580,25.59
584,25.53
588,25.46
592,25.37
596,25.34
600,25.31
604,25.29
608,25.24
612,25.18
616,25.14
620,25.12
624,25.12
628,25.11
632,25.05
636,24.97
640,24.92
644,24.92
648,24.91
652,24.84
656,24.8
660,24.76
664,24.7
668,24.64
672,24.57
676,24.5
680,24.45
684,24.44
688,24.43
692,24.38
696,24.34
700,24.29
704,24.23
708,24.17
712,24.11
716,24.07
720,24.02
724,23.99
728,23.99
732,23.97
736,23.9
740,23.85
744,23.8
748,23.74
752,23.66
756,23.6
760,23.59
764,23.58
768,23.54
772,23.5
776,23.46
780,23.37
784,23.3
788,23.21
792,23.15
796,23.14
800,23.14
804,23.13
808,23.08
812,23.03
816,22.97
820,22.9
824,22.89
828,22.88
832,22.82
836,22.76
840,22.67
844,22.59
848,22.59
852,22.59
856,22.56
860,22.56
864,22.53
868,22.49
872,22.32
876,22.2
880,22.08
884,21.99
888,22.01
892,22.01
896,22
900,21.91
904,21.86
908,21.82
912,21.78
916,21.74
920,21.73
924,21.69
928,21.62
932,21.61
936,21.55
940,21.48
944,21.41
948,21.34
952,21.32
956,21.35
960,21.3
964,21.25
968,21.23
972,21.16
976,21.14
980,21.13
984,21.07
988,21.02
992,20.93
996,20.85
1000,20.79
1004,20.76
1008,20.77
1012,20.73
1016,20.68
1020,20.62
1024,20.53
1028,20.47
1032,20.48
1036,20.43
1040,20.37
1044,20.32
1048,20.24
1052,20.22
1056,20.22
1060,20.19
1064,20.09
1068,19.97
1072,19.97
1076,19.94
1080,19.87
1084,19.86
1088,19.87
1092,19.81
1096,19.76
1100,19.69
