Wavelength (nm),Reflectance (%)
448,38.49
452,38.72
456,38.93
460,39.22
464,39.56
468,40.02
472,40.16
476,40.28
480,40.52
484,40.78
488,41
492,41.17
496,41.43
500,41.48
504,41.69
508,42.03
512,42.3
516,42.44
520,42.51
524,42.67
528,43
532,43.19
536,43.23
540,43.28
544,43.42
548,43.71
552,44.04
556,44.16
560,44.25
564,44.54
568,44.82
572,44.87
576,44.84
580,44.88
584,45.31
588,45.36
592,45.41
596,45.47
600,45.64
604,45.93
608,46.07
612,46.08
616,46.12
620,46.24
624,46.22
628,46.46
632,46.68
636,47.02
640,46.99
644,47.05
648,47.07
652,47.19
656,47.26
660,47.37
664,47.51
668,47.56
672,47.56
676,47.63
680,47.76
684,47.75
688,47.98
692,47.91
696,48.07
700,48.07
704,48.43
708,48.34
712,48.36
716,48.4
720,48.52
724,48.76
728,48.86
732,48.78
736,48.76
740,48.82
744,48.8
748,48.95
752,49.07
756,49.09
760,49.19
764,49.31
768,49.4
772,49.31
776,49.45
780,49.64
784,49.61
788,49.47
792,49.48
796,49.66
800,49.64
804,49.64
808,49.59
812,49.53
816,49.49
820,49.47
824,49.42
828,49.47
832,49.67
836,49.59
840,49.63
844,49.75
848,49.96
852,49.77
856,49.61
860,49.77
864,50.03
868,49.86
872,49.76
876,49.77
880,49.71
884,49.9
888,49.87
892,49.97
896,50.13
900,50.37
904,50.23
908,50.16
912,50.4
916,50.39
920,50.74
924,50.61
928,50.89
932,50.81
936,50.72
940,50.8
944,50.79
948,50.87
952,50.94
956,51.03
960,50.96
964,50.98
968,51.04
972,51.26
976,51.21
980,51.03
984,51.05
988,51.21
992,51.23
996,51.06
1000,51.13
1004,51.21
1008,51.31
1012,51.55
1016,51.54
1020,51.82
1024,51.77
1028,51.84
1032,51.95
1036,52.2
1040,52.06
1044,52.24
1048,52.43
1052,52.31
1056,52.3
1060,52.34
1064,52.55
1068,52.65
1072,52.48
1076,52.48
1080,52.51
1084,52.57
1088,52.75
1092,52.71
1096,52.92
1100,53.01
1104,52.85
1108,52.85
1112,53.12
1116,52.97
1120,53.14
1124,53.04
1128,52.94
1132,53.06
1136,53.02
1140,53.03
1144,52.98
1148,52.87
1152,52.8
1156,52.71
1160,52.57
1164,52.37
1168,52.14
1172,51.96
1176,51.82
1180,51.72
1184,51.7
1188,51.7
1192,51.7
1196,51.68
1200,51.68
1204,51.71
1208,51.79
1212,51.92
1216,52.05
1220,52.21
1224,52.34
1228,52.42
1232,52.51
1236,52.62
1240,52.79
1244,53.05
1248,53.31
1252,53.4
1256,53.39
1260,53.38
1264,53.42
1268,53.48
1272,53.54
1276,53.59
1280,53.63
1284,53.7
1288,53.76
1292,53.78
1296,53.79
1300,53.78
1304,53.77
1308,53.73
1312,53.7
1316,53.62
1320,53.57
1324,53.48
1328,53.39
1332,53.26
1336,53.09
1340,52.88
1344,52.68
1348,52.44
1352,52.15
1356,51.88
1360,51.64
1364,51.43
1368,51.22
1372,50.97
1376,50.74
1380,50.54
1384,50.39
1388,50.23
1392,50.01
1396,49.66
1400,49.18
1404,48.55
1408,47.8
1412,46.89
1416,45.85
1420,44.7
1424,43.64
1428,42.69
1432,41.61
1436,40
1440,38.04
1444,36.44
1448,36.12
1452,37.03
1456,38.34
1460,39.42
1464,40.08
1468,40.5
1472,40.81
1476,40.97
1480,40.89
1484,40.58
1488,40.21
1492,40.13
1496,40.61
1500,41.58
1504,42.59
1508,43.38
1512,43.89
1516,44.15
1520,44.26
1524,44.2
1528,43.95
1532,43.74
1536,43.61
1540,43.64
1544,44.05
1548,44.77
1552,45.61
1556,46.39
1560,47.1
1564,47.7
1568,48.27
1572,48.8
1576,49.23
1580,49.56
1584,49.87
1588,50.17
1592,50.48
1596,50.79
1600,51.07
1604,51.35
1608,51.63
1612,51.92
1616,52.19
1620,52.42
1624,52.58
1628,52.75
1632,52.87
1636,52.98
1640,53.12
1644,53.26
1648,53.33
1652,53.38
1656,53.43
1660,53.46
1664,53.46
1668,53.46
1672,53.39
1676,53.29
1680,53.15
1684,52.95
1688,52.7
1692,52.36
1696,51.91
1700,51.37
1704,50.72
1708,49.95
1712,48.99
1716,47.9
1720,46.75
1724,45.61
1728,44.54
1732,43.58
1736,42.75
1740,42.1
1744,41.75
1748,41.66
1752,41.8
1756,42.15
1760,42.55
