Wavelength (nm),Reflectance (%)
448,91.12
452,91.78
456,92.37
460,92.89
464,93.34
468,93.72
472,94.02
476,94.25
480,94.6
484,94.89
488,95.04
492,95.16
496,95.24
500,95.5
504,95.82
508,96.06
512,96.31
516,96.55
520,96.8
524,97.13
528,97.38
532,97.66
536,97.91
540,98.14
544,98.23
548,98.33
552,98.47
556,98.58
560,98.64
564,98.71
568,98.78
572,98.84
576,98.9
580,99.02
584,99.15
588,99.28
592,99.34
596,99.35
600,99.37
604,99.36
608,99.41
612,99.44
616,99.51
620,99.55
624,99.57
628,99.6
632,99.64
636,99.69
640,99.79
644,99.83
648,99.9
652,99.93
656,99.96
660,99.99
664,99.99
668,100
672,99.99
676,99.98
680,99.96
684,99.94
688,99.91
692,99.87
696,99.81
700,99.72
704,99.65
708,99.57
712,99.47
716,99.39
720,99.27
724,99.16
728,99.01
732,98.86
736,98.69
740,98.52
744,98.4
748,98.27
752,98.13
756,98.01
760,97.88
764,97.73
768,97.57
772,97.45
776,97.33
780,97.2
784,97.07
788,96.93
792,96.77
796,96.58
800,96.43
804,96.25
808,96.07
812,95.87
816,95.69
820,95.49
824,95.31
828,95.12
832,94.9
836,94.65
840,94.41
844,94.2
848,94.02
852,93.86
856,93.74
860,93.57
864,93.38
868,93.19
872,92.98
876,92.79
880,92.61
884,92.42
888,92.23
892,92.09
896,91.97
900,91.8
904,91.56
908,91.29
912,90.92
916,90.62
920,90.44
924,90.44
928,90.09
932,89.73
936,89.36
940,88.85
944,88.06
948,87.39
952,86.73
956,86.09
960,85.61
964,85.24
968,84.93
972,84.75
976,84.62
980,84.52
984,84.46
988,84.45
992,84.49
996,84.49
1000,84.5
1004,84.51
1008,84.5
1012,84.5
1016,84.52
1020,84.54
1024,84.57
1028,84.6
1032,84.62
1036,84.61
1040,84.59
1044,84.54
1048,84.48
1052,84.43
1056,84.36
1060,84.27
1064,84.15
1068,84.03
1072,83.88
1076,83.7
1080,83.51
1084,83.28
1088,83.03
1092,82.78
1096,82.51
1100,82.23
1104,81.94
1108,81.62
1112,81.28
1116,80.89
1120,80.45
1124,79.92
1128,79.25
1132,78.41
1136,77.39
1140,76.25
1144,75.09
1148,74.02
1152,73.15
1156,72.55
1160,72.15
1164,71.91
1168,71.75
1172,71.62
1176,71.5
1180,71.35
1184,71.21
1188,71.07
1192,70.92
1196,70.8
1200,70.68
1204,70.61
1208,70.56
1212,70.48
1216,70.42
1220,70.37
1224,70.31
1228,70.23
1232,70.13
1236,70.02
1240,69.9
1244,69.78
1248,69.66
1252,69.57
1256,69.48
1260,69.36
1264,69.21
1268,69.02
1272,68.81
1276,68.57
