Wavelength (nm),Reflectance (%)
448,3.6
452,3.64
456,3.4
460,3.1
464,2.5
468,1.68
472,1.43
476,1.37
480,0.78
484,0.3
488,0.25
492,0.26
496,0
500,0.36
504,0.54
508,0.98
512,1.39
516,1.87
520,2.81
524,4.09
528,5.55
532,7.13
536,9.03
540,10.95
544,12.9
548,14.88
552,16.89
556,19.02
560,20.98
564,22.77
568,24.38
572,25.8
576,27.05
580,28.15
584,29.12
588,29.9
592,30.55
596,31.05
600,31.49
604,31.9
608,32.23
612,32.47
616,32.77
620,33.07
624,33.34
628,33.58
632,33.82
636,34.1
640,34.41
644,34.76
648,35.09
652,35.56
656,36.09
660,36.63
664,37.21
668,37.85
672,38.56
676,39.31
680,40.1
684,40.99
688,41.9
692,42.88
696,43.9
700,44.92
704,45.95
708,47.01
712,48.09
716,49.13
720,50.17
724,51.18
728,52.15
732,53.12
736,54
740,54.8
744,55.5
748,56.14
752,56.7
756,57.13
760,57.45
764,57.63
768,57.72
772,57.69
776,57.55
780,57.33
784,57.05
788,56.74
792,56.32
796,55.81
800,55.24
804,54.62
808,53.97
812,53.3
816,52.63
820,51.99
824,51.37
828,50.74
832,50.11
836,49.51
840,48.98
844,48.46
848,47.97
852,47.5
856,47.04
860,46.6
864,46.16
868,45.73
872,45.41
876,45.09
880,44.81
884,44.57
888,44.37
892,44.17
896,43.99
900,43.85
904,43.77
908,43.73
912,43.68
916,43.66
920,43.64
924,43.64
928,43.71
932,43.81
936,43.89
940,44.06
944,44.24
948,44.43
952,44.61
956,44.85
960,45.11
964,45.4
968,45.7
972,46.02
976,46.35
980,46.69
984,47.04
988,47.4
992,47.78
996,48.19
1000,48.61
1004,49.05
1008,49.52
1012,50.01
1016,50.52
1020,51.06
1024,51.61
1028,52.17
1032,52.74
1036,53.34
1040,53.95
1044,54.58
1048,55.22
1052,55.9
1056,56.6
1060,57.31
1064,58.04
1068,58.78
1072,59.53
1076,60.31
1080,61.12
1084,61.97
1088,62.82
1092,63.7
1096,64.57
1100,65.44
1104,66.31
1108,67.18
1112,68.06
1116,68.96
1120,69.88
1124,70.82
1128,71.77
1132,72.72
1136,73.66
1140,74.57
1144,75.48
1148,76.37
1152,77.24
1156,78.08
1160,78.89
1164,79.67
1168,80.43
1172,81.2
1176,81.95
1180,82.71
1184,83.45
1188,84.14
1192,84.78
1196,85.4
1200,86
1204,86.57
1208,87.14
1212,87.71
1216,88.24
1220,88.73
1224,89.2
1228,89.65
1232,90.07
1236,90.47
1240,90.87
1244,91.23
1248,91.55
1252,91.85
1256,92.13
1260,92.38
1264,92.62
1268,92.85
1272,93.07
1276,93.26
1280,93.46
1284,93.64
1288,93.81
1292,93.96
1296,94.1
1300,94.24
1304,94.38
1308,94.51
1312,94.65
1316,94.78
1320,94.91
1324,95.05
1328,95.18
1332,95.3
1336,95.38
1340,95.43
1344,95.45
1348,95.43
1352,95.38
1356,95.38
1360,95.43
1364,95.49
1368,95.51
1372,95.54
1376,95.58
1380,95.61
1384,95.62
1388,95.64
1392,95.7
1396,95.76
1400,95.76
1404,95.74
1408,95.72
1412,95.7
1416,95.69
1420,95.7
1424,95.7
1428,95.78
1432,95.84
1436,95.87
1440,95.9
1444,95.97
1448,96.05
1452,96.15
1456,96.25
1460,96.42
1464,96.58
1468,96.76
1472,96.94
1476,97.13
1480,97.31
1484,97.42
1488,97.49
1492,97.56
1496,97.63
1500,97.69
1504,97.76
1508,97.83
1512,97.96
1516,98.08
1520,98.2
1524,98.32
1528,98.42
1532,98.5
1536,98.53
1540,98.56
