Wavelength (nm),Reflectance (%)
448,13.8
452,12.21
456,10.9
460,9.89
464,9.16
468,8.73
472,8.6
476,8.6
480,8.49
484,8.37
488,8.31
492,8.3
496,8.36
500,8.33
504,8.33
508,8.41
512,8.43
516,8.38
520,8.44
524,8.55
528,8.65
532,8.77
536,8.89
540,9.08
544,9.23
548,9.43
552,9.66
556,9.89
560,10.14
564,10.42
568,10.7
572,10.98
576,11.29
580,11.62
584,11.93
588,12.22
592,12.48
596,12.71
600,12.93
604,13.1
608,13.27
612,13.42
616,13.53
620,13.63
624,13.69
628,13.76
632,13.84
636,13.9
640,13.98
644,14.04
648,14.11
652,14.19
656,14.26
660,14.34
664,14.43
668,14.54
672,14.66
676,14.81
680,14.96
684,15.12
688,15.27
692,15.44
696,15.63
700,15.81
704,16.01
708,16.22
712,16.44
716,16.65
720,16.87
724,17.1
728,17.32
732,17.53
736,17.73
740,17.9
744,18.04
748,18.17
752,18.27
756,18.36
760,18.42
764,18.44
768,18.43
772,18.38
776,18.33
780,18.26
784,18.18
788,18.08
792,17.96
796,17.85
800,17.72
804,17.59
808,17.45
812,17.29
816,17.13
820,16.97
824,16.83
828,16.68
832,16.53
836,16.39
840,16.25
844,16.12
848,16.01
852,15.91
856,15.83
860,15.75
864,15.69
868,15.62
872,15.57
876,15.51
880,15.45
884,15.41
888,15.4
892,15.41
896,15.38
900,15.41
904,15.41
908,15.46
912,15.5
916,15.57
920,15.61
924,15.61
928,15.7
932,15.77
936,15.81
940,15.87
944,15.99
948,16.08
952,16.17
956,16.26
960,16.37
964,16.48
968,16.59
972,16.7
976,16.82
980,16.92
984,17.02
988,17.14
992,17.25
996,17.37
1000,17.5
1004,17.61
1008,17.71
1012,17.8
1016,17.89
1020,17.99
1024,18.07
1028,18.15
1032,18.24
1036,18.32
1040,18.41
1044,18.5
1048,18.6
1052,18.68
1056,18.76
1060,18.84
1064,18.91
1068,19.01
1072,19.11
1076,19.23
1080,19.34
1084,19.43
1088,19.53
1092,19.63
1096,19.74
1100,19.86
1104,19.98
1108,20.12
1112,20.2
1116,20.29
1120,20.38
1124,20.47
1128,20.57
1132,20.68
1136,20.79
1140,20.91
1144,21
1148,21.11
1152,21.19
1156,21.27
1160,21.35
1164,21.43
1168,21.5
1172,21.57
1176,21.63
1180,21.68
1184,21.73
1188,21.77
1192,21.81
1196,21.86
1200,21.91
1204,21.96
1208,21.99
1212,22.02
1216,22.03
1220,22.05
1224,22.07
1228,22.08
1232,22.1
1236,22.1
1240,22.09
1244,22.09
1248,22.07
1252,22.06
1256,22.04
1260,22.03
1264,22.01
1268,21.99
1272,21.98
1276,21.97
1280,21.94
1284,21.92
1288,21.9
1292,21.88
1296,21.86
1300,21.84
1304,21.83
1308,21.81
1312,21.77
1316,21.74
1320,21.7
1324,21.67
1328,21.64
1332,21.6
1336,21.58
1340,21.55
1344,21.51
1348,21.46
1352,21.41
1356,21.37
1360,21.34
1364,21.3
1368,21.29
1372,21.25
1376,21.23
1380,21.21
1384,21.19
1388,21.15
1392,21.12
1396,21.09
1400,21.08
1404,21.05
1408,21.03
1412,21.01
1416,20.97
1420,20.93
1424,20.89
1428,20.85
1432,20.81
1436,20.79
1440,20.78
1444,20.77
1448,20.77
1452,20.77
1456,20.76
1460,20.75
1464,20.73
1468,20.71
1472,20.69
1476,20.67
1480,20.65
1484,20.63
1488,20.63
1492,20.62
1496,20.61
1500,20.6
1504,20.59
1508,20.59
1512,20.58
1516,20.55
1520,20.54
1524,20.53
1528,20.51
1532,20.5
1536,20.49
1540,20.48
1544,20.46
1548,20.42
1552,20.41
1556,20.39
1560,20.37
1564,20.35
1568,20.34
1572,20.33
1576,20.32
1580,20.3
1584,20.3
1588,20.3
1592,20.28
1596,20.25
1600,20.23
1604,20.2
1608,20.17
1612,20.13
1616,20.11
1620,20.09
1624,20.05
1628,20.05
1632,20.03
1636,20.01
1640,20
1644,20.01
1648,20.01
1652,20.01
1656,20
1660,19.99
1664,19.94
1668,19.88
1672,19.86
1676,19.86
1680,19.86
1684,19.86
1688,19.87
1692,19.89
1696,19.88
1700,19.87
1704,19.89
1708,19.91
1712,19.91
1716,19.89
1720,19.87
1724,19.86
1728,19.84
1732,19.82
1736,19.83
1740,19.83
1744,19.8
1748,19.76
1752,19.73
1756,19.7
1760,19.68
1764,19.67
1768,19.68
1772,19.68
1776,19.68
1780,19.68
1784,19.67
1788,19.66
1792,19.68
1796,19.68
1800,19.68
1804,19.69
1808,19.69
1812,19.7
1816,19.68
1820,19.67
1824,19.65
1828,19.61
1832,19.59
1836,19.58
1840,19.6
1844,19.61
1848,19.63
1852,19.64
1856,19.62
1860,19.59
1864,19.6
1868,19.57
1872,19.57
1876,19.55
1880,19.53
1884,19.5
1888,19.42
1892,19.36
1896,19.31
1900,19.23
1904,19.18
1908,19.14
1912,19.09
1916,19.03
1920,18.97
1924,18.91
1928,18.87
1932,18.82
1936,18.82
1940,18.83
1944,18.84
1948,18.86
1952,18.89
1956,18.92
1960,18.96
1964,18.99
1968,19.03
1972,19.07
1976,19.08
1980,19.11
1984,19.12
1988,19.13
1992,19.15
1996,19.17
2000,19.19
2004,19.21
2008,19.21
2012,19.24
2016,19.26
2020,19.28
2024,19.3
2028,19.33
2032,19.37
2036,19.41
2040,19.44
2044,19.48
2048,19.53
2052,19.56
2056,19.59
2060,19.61
2064,19.63
2068,19.65
2072,19.67
2076,19.67
2080,19.67
2084,19.66
2088,19.68
2092,19.68
2096,19.69
2100,19.71
2104,19.73
2108,19.74
2112,19.76
2116,19.78
2120,19.81
2124,19.83
2128,19.84
2132,19.83
2136,19.82
2140,19.79
2144,19.76
2148,19.73
2152,19.7
2156,19.68
2160,19.66
2164,19.63
2168,19.58
2172,19.53
2176,19.47
2180,19.44
2184,19.39
2188,19.36
2192,19.34
2196,19.33
2200,19.32
2204,19.31
2208,19.3
2212,19.3
2216,19.3
2220,19.26
2224,19.24
2228,19.2
2232,19.17
2236,19.15
2240,19.14
2244,19.11
2248,19.08
2252,19.05
2256,19.01
2260,18.98
2264,18.96
2268,18.96
2272,18.96
2276,18.98
2280,18.97
2284,18.97
2288,18.95
2292,18.92
2296,18.89
2300,18.86
2304,18.85
2308,18.83
2312,18.82
2316,18.82
2320,18.82
2324,18.83
2328,18.82
2332,18.81
2336,18.81
2340,18.79
2344,18.77
2348,18.75
2352,18.73
2356,18.72
2360,18.71
2364,18.7
2368,18.69
2372,18.68
2376,18.67
2380,18.67
2384,18.65
2388,18.63
2392,18.6
2396,18.57
2400,18.55
2404,18.53
2408,18.51
2412,18.51
2416,18.51
2420,18.5
2424,18.5
2428,18.5
2432,18.5
2436,18.5
2440,18.5
2444,18.5
2448,18.51
