Wavelength (nm),Reflectance (%)
448,48.56
452,48.79
456,49.02
460,49.24
464,49.45
468,49.58
472,49.61
476,49.6
480,49.61
484,49.72
488,49.89
492,50.13
496,50.28
500,50.21
504,50.16
508,50.25
512,50.38
516,50.45
520,50.54
524,50.49
528,50.37
532,50.3
536,50.3
540,50.45
544,50.36
548,50.21
552,50.11
556,50.09
560,50.05
564,50.01
568,49.89
572,49.72
576,49.64
580,49.52
584,49.35
588,49.34
592,49.39
596,49.31
600,49.12
604,48.94
608,48.91
612,48.89
616,48.78
620,48.65
624,48.66
628,48.62
632,48.48
636,48.4
640,48.37
644,48.28
648,48.16
652,48.11
656,48.13
660,48.08
664,47.94
668,47.88
672,47.92
676,47.92
680,47.94
684,47.83
688,47.74
692,47.8
696,47.83
700,47.72
704,47.73
708,47.67
712,47.71
716,47.65
720,47.55
724,47.61
728,47.59
732,47.59
736,47.61
740,47.56
744,47.55
748,47.58
752,47.56
756,47.64
760,47.75
764,47.76
768,47.69
772,47.76
776,47.87
780,47.84
784,47.81
788,47.87
792,47.89
796,47.9
800,48.04
804,48.04
808,47.95
812,48.02
816,48.12
820,48.18
824,48.18
828,48.16
832,48.11
836,48.05
840,47.99
844,47.98
848,47.94
852,47.9
856,47.82
860,47.78
864,47.8
868,47.81
872,47.78
876,47.76
880,47.7
884,47.69
888,47.7
892,47.74
896,47.8
900,47.8
904,47.82
908,47.87
912,47.87
916,47.86
920,47.9
924,47.92
928,48
932,48.08
936,48.12
940,48.17
944,48.27
948,48.38
952,48.46
956,48.52
960,48.59
964,48.65
968,48.68
972,48.84
976,49
980,49.17
984,49.32
988,49.41
992,49.51
996,49.63
1000,49.73
1004,49.77
1008,49.85
1012,49.91
1016,50.01
1020,50.02
1024,50.09
1028,50.17
1032,50.17
1036,50.16
1040,50.16
1044,50.2
1048,50.25
1052,50.26
1056,50.29
1060,50.31
1064,50.36
1068,50.38
1072,50.38
1076,50.45
1080,50.45
1084,50.48
1088,50.49
1092,50.52
1096,50.51
1100,50.5
1104,50.52
1108,50.57
1112,50.61
1116,50.59
1120,50.61
1124,50.68
1128,50.67
1132,50.66
1136,50.69
1140,50.69
1144,50.68
1148,50.71
1152,50.7
1156,50.69
1160,50.7
1164,50.68
1168,50.69
1172,50.74
1176,50.73
1180,50.74
1184,50.78
1188,50.84
1192,50.9
1196,50.88
1200,50.87
1204,50.88
1208,50.92
1212,51
1216,51.03
1220,51.04
1224,51.08
1228,51.12
1232,51.1
1236,51.07
1240,51.14
1244,51.16
1248,51.19
1252,51.24
1256,51.25
1260,51.24
1264,51.29
1268,51.37
1272,51.38
1276,51.38
1280,51.35
1284,51.29
1288,51.24
1292,51.14
1296,51.12
1300,51.04
1304,50.98
1308,50.93
1312,50.85
1316,50.81
1320,50.77
1324,50.73
1328,50.74
1332,50.72
1336,50.6
1340,50.53
1344,50.47
1348,50.31
1352,49.99
1356,49.6
1360,49.33
1364,49.09
1368,48.86
1372,48.5
1376,47.84
1380,46.81
1384,45.49
1388,44.09
1392,42.82
1396,41.82
1400,41.07
1404,40.37
1408,39.47
1412,38.41
1416,38.13
1420,39.62
1424,42.04
