Wavelength (nm),Reflectance (%)
448,22.24
452,22.25
456,22.33
460,22.59
464,22.84
468,23.09
472,23.3
476,23.48
480,23.65
484,23.84
488,24.08
492,24.31
496,24.58
500,24.81
504,25.07
508,25.34
512,25.57
516,25.77
520,25.99
524,26.17
528,26.36
532,26.63
536,26.85
540,27.06
544,27.27
548,27.45
552,27.65
556,27.85
560,28.02
564,28.13
568,28.22
572,28.34
576,28.41
580,28.4
584,28.4
588,28.44
592,28.49
596,28.5
600,28.47
604,28.4
608,28.32
612,28.25
616,28.2
620,28.15
624,28.07
628,27.98
632,27.94
636,27.94
640,27.86
644,27.83
648,27.76
652,27.65
656,27.55
660,27.5
664,27.43
668,27.32
672,27.28
676,27.26
680,27.23
684,27.2
688,27.17
692,27.11
696,27.07
700,27.05
704,27.04
708,27.06
712,27.06
716,27.09
720,27.12
724,27.16
728,27.17
732,27.24
736,27.32
740,27.35
744,27.44
748,27.45
752,27.46
756,27.52
760,27.6
764,27.64
768,27.72
772,27.71
776,27.71
780,27.74
784,27.73
788,27.72
792,27.77
796,27.81
800,27.73
804,27.71
808,27.69
812,27.64
816,27.53
820,27.45
824,27.45
828,27.36
832,27.27
836,27.08
840,26.94
844,26.86
848,26.72
852,26.63
856,26.52
860,26.43
864,26.33
868,26.23
872,26.12
876,25.92
880,25.77
884,25.62
888,25.55
892,25.47
896,25.38
900,25.42
904,25.5
908,25.54
912,25.49
916,25.45
920,25.49
924,25.49
928,25.57
932,25.62
936,25.75
940,25.79
944,25.76
948,25.75
952,25.81
956,25.82
960,25.81
964,25.84
968,25.92
972,25.93
976,25.97
980,25.98
984,26.05
988,26.09
992,26.13
996,26.12
1000,26.15
1004,26.2
1008,26.22
1012,26.18
1016,26.18
1020,26.13
1024,26.1
1028,26.12
1032,26.08
1036,26.17
1040,26.15
1044,26.17
1048,26.22
1052,26.21
1056,26.2
1060,26.2
1064,26.19
1068,26.24
1072,26.26
1076,26.23
1080,26.26
1084,26.26
1088,26.23
1092,26.19
1096,26.21
1100,26.22
1104,26.21
1108,26.23
1112,26.28
1116,26.35
1120,26.36
1124,26.4
1128,26.48
1132,26.54
1136,26.57
1140,26.65
1144,26.72
1148,26.79
1152,26.82
1156,26.86
1160,26.93
1164,27.02
1168,27.07
1172,27.16
1176,27.29
1180,27.38
1184,27.41
1188,27.49
1192,27.55
1196,27.64
1200,27.72
1204,27.77
1208,27.89
1212,27.95
1216,28.03
1220,28.13
1224,28.24
1228,28.32
1232,28.43
1236,28.5
1240,28.54
1244,28.69
1248,28.86
1252,28.98
1256,29.06
1260,29.19
1264,29.26
1268,29.31
1272,29.42
1276,29.52
1280,29.59
1284,29.7
1288,29.84
1292,29.95
1296,30.05
1300,30.12
1304,30.22
1308,30.37
1312,30.48
1316,30.57
1320,30.64
1324,30.72
1328,30.86
1332,31
1336,31.11
1340,31.18
1344,31.2
1348,31.21
1352,31.27
1356,31.32
1360,31.41
1364,31.52
1368,31.6
1372,31.69
1376,31.72
1380,31.69
1384,31.48
1388,31.19
1392,30.77
1396,30.4
1400,30.16
1404,30.06
1408,30.1
1412,30.33
1416,30.76
1420,31.24
1424,31.6
1428,31.77
1432,31.97
1436,32.03
1440,32.17
1444,32.32
1448,32.4
1452,32.5
1456,32.6
1460,32.68
1464,32.77
1468,32.84
1472,32.89
1476,33.04
1480,33.12
1484,33.21
1488,33.36
1492,33.49
1496,33.55
1500,33.59
1504,33.65
1508,33.67
1512,33.68
1516,33.77
1520,33.79
1524,33.81
1528,33.81
1532,33.85
1536,33.94
1540,34
1544,33.99
1548,33.99
1552,34.04
1556,34.07
1560,34.08
1564,34.09
1568,34.14
1572,34.18
1576,34.15
1580,34.18
1584,34.26
1588,34.29
1592,34.36
1596,34.43
1600,34.45
1604,34.51
1608,34.56
1612,34.55
1616,34.61
1620,34.65
1624,34.67
1628,34.64
1632,34.64
1636,34.62
1640,34.59
1644,34.61
1648,34.71
1652,34.78
1656,34.82
1660,34.86
1664,34.9
1668,34.92
1672,35.01
1676,35.12
1680,35.14
1684,35.19
1688,35.2
1692,35.23
1696,35.26
1700,35.25
1704,35.22
1708,35.28
1712,35.31
1716,35.33
1720,35.42
1724,35.48
1728,35.48
1732,35.55
1736,35.6
1740,35.65
1744,35.69
1748,35.7
1752,35.66
1756,35.64
1760,35.7
1764,35.73
1768,35.61
1772,35.76
1776,35.86
1780,35.92
1784,35.92
1788,35.9
1792,35.87
1796,35.8
1800,35.82
1804,35.81
1808,35.8
1812,35.82
1816,35.77
1820,35.72
1824,35.7
1828,35.68
1832,35.65
1836,35.58
1840,35.51
1844,35.5
1848,35.51
1852,35.46
1856,35.4
1860,35.17
1864,34.93
1868,34.7
1872,34.49
1876,34.23
1880,33.87
1884,33.35
1888,32.7
1892,31.99
1896,31.32
1900,30.96
1904,30.84
1908,30.92
1912,31.07
1916,31.32
1920,31.52
1924,31.66
1928,31.72
1932,31.77
1936,31.87
1940,31.97
1944,32.07
1948,32.15
1952,32.22
1956,32.31
1960,32.35
1964,32.36
1968,32.35
1972,32.36
1976,32.36
1980,32.44
1984,32.54
1988,32.62
1992,32.72
1996,32.86
2000,33.03
2004,33.2
2008,33.34
2012,33.52
2016,33.66
2020,33.85
2024,34.03
2028,34.21
2032,34.37
2036,34.49
2040,34.63
2044,34.73
2048,34.84
2052,34.88
2056,34.96
2060,34.98
2064,35.02
2068,35.1
2072,35.15
2076,35.14
2080,35.16
2084,35.12
2088,35.07
2092,35.04
2096,35
2100,34.9
2104,34.85
2108,34.8
2112,34.75
2116,34.7
2120,34.66
2124,34.65
2128,34.51
2132,34.47
2136,34.41
2140,34.24
2144,34.01
2148,33.84
2152,33.64
2156,33.45
2160,33.23
2164,32.99
2168,32.71
2172,32.35
2176,31.91
2180,31.41
2184,30.88
2188,30.4
2192,30.02
2196,29.63
2200,29.29
2204,29.13
2208,29.24
2212,29.5
2216,29.77
2220,29.9
2224,29.93
2228,29.78
2232,29.37
2236,28.8
2240,28.21
2244,27.76
2248,27.55
2252,27.62
2256,27.89
2260,28.17
2264,28.39
2268,28.56
2272,28.62
2276,28.58
2280,28.5
2284,28.34
2288,28.09
2292,27.81
2296,27.52
2300,27.24
2304,26.97
2308,26.66
2312,26.37
2316,26.1
2320,25.86
2324,25.6
2328,25.3
2332,25.08
2336,24.84
2340,24.73
2344,24.65
2348,24.73
2352,24.84
2356,25.02
2360,25.23
2364,25.5
2368,25.72
2372,25.92
2376,26.04
2380,26.1
2384,26.13
2388,26.16
2392,26.21
2396,26.26
2400,26.28
2404,26.21
2408,26.13
2412,26.04
2416,25.95
2420,25.83
2424,25.69
2428,25.63
2432,25.49
2436,25.3
2440,25.13
2444,25.03
2448,24.9
2452,24.75
2456,24.67
2460,24.59
2464,24.51
2468,24.46
2472,24.47
2476,24.45
2480,24.38
2484,24.32
2488,24.24
2492,24.21
2496,24.29
2500,24.32
