PROF_MERGED_Wavelength (nm),PROF_MERGED_Reflectance (%)
448,5.56
452,4.97
456,4.16
460,3.04
464,2.07
468,1.2
472,0.86
476,0.21
480,0.16
484,0
488,0.42
492,0.97
496,1.22
500,1.37
504,1.5
508,2.11
512,3.31
516,4.67
520,6.13
524,7.88
528,9.51
532,11.36
536,13.18
540,15.15
544,17.28
548,19.81
552,22.39
556,24.84
560,27.16
564,29.34
568,31.6
572,33.64
576,35.53
580,37.72
584,39.5
588,41.15
592,42.81
596,44.19
600,45.45
604,46.03
608,46.42
612,46.99
616,47.43
620,47.76
624,48.08
628,48.38
632,48.8
636,49.33
640,49.53
644,49.83
648,50.07
652,50.4
656,50.99
660,51.33
664,51.64
668,52.19
672,52.81
676,53.09
680,53.6
684,54.42
688,55.16
692,56.05
696,56.57
700,57.05
704,57.75
708,58.78
712,59.57
716,60.35
720,61.14
724,61.98
728,62.84
732,63.55
736,63.89
740,64.13
744,64.78
748,65.46
752,65.89
756,66.24
760,66.46
764,66.57
768,67.09
772,67.87
776,67.93
780,67.69
784,67.64
788,67.61
792,66.98
796,66.69
800,66.68
804,66.36
808,66.13
812,65.79
816,65.3
820,64.69
824,64.16
828,63.72
832,63.49
836,63.15
840,62.75
844,62.18
848,61.73
852,61.23
856,60.91
860,60.43
864,60.43
868,60.52
872,60.54
876,60.45
880,59.76
884,58.96
888,58.65
892,58.72
896,58.75
900,58.54
904,58.62
908,58.77
912,58.95
916,59.2
920,59.11
924,59.16
928,59.18
932,59.39
936,59.73
940,59.97
944,60.18
948,60.4
952,60.71
956,60.82
960,61.54
964,62.53
968,63.34
972,63.59
976,63.66
980,63.86
984,64.06
988,64.33
992,64.81
996,65.18
1000,65.55
1004,65.84
1008,66.27
1012,66.83
1016,67.33
1020,67.56
1024,67.73
1028,67.96
1032,68.36
1036,68.83
1040,69.12
1044,69.37
1048,69.8
1052,70.47
1056,71.15
1060,71.52
1064,71.75
1068,71.98
1072,72.4
1076,73.04
1080,73.77
1084,74.43
1088,75.09
1092,75.79
1096,76.38
1100,77.01
1104,77.64
1108,78.29
1112,78.96
1116,79.68
1120,80.24
1124,80.74
1128,81.36
1132,82.1
1136,82.69
1140,82.86
1144,82.9
1148,83.12
1152,83.6
1156,84.21
1160,84.65
1164,85.06
1168,85.74
1172,86.32
1176,86.5
1180,86.45
1184,86.46
1188,86.49
1192,86.77
1196,87.39
1200,88.08
1204,88.77
1208,89.18
1212,89.36
1216,89.76
1220,90.58
1224,91.51
1228,92.3
1232,93.08
1236,93.56
1240,93.99
1244,94.6
1248,95.3
1252,95.64
1256,95.95
1260,96.09
1264,96.27
1268,96.72
1272,97.06
1276,97.2
1280,97.28
1284,97.48
1288,97.78
1292,98.03
1296,98.4
1300,98.52
1304,98.42
1308,98.4
1312,98.76
1316,99.14
1320,99.52
1324,99.88
1328,100
1332,99.99
1336,99.83
1340,99.53
1344,99.73
1348,99.77
1352,99.41
1356,98.81
1360,98.43
1364,98.52
1368,98.41
1372,98.48
1376,98.15
1380,97.52
1384,96.65
1388,95.16
1392,93.05
1396,90.64
1400,88.2
1404,86.08
1408,84.38
1412,83.38
1416,83.76
1420,85.9
1424,88.55
1428,90.8
1432,92.25
1436,92.9
1440,93.43
1444,94
1448,94.46
1452,94.82
1456,95.49
1460,95.99
1464,96.18
1468,96.23
1472,96.28
1476,96.34
1480,96.52
1484,96.64
1488,96.88
1492,97.22
1496,97.23
1500,97.6
1504,97.79
1508,98
1512,98.23
1516,98.28
1520,98.26
1524,98.07
1528,97.81
1532,97.68
1536,98.22
1540,98.55
1544,98.78
1548,99.06
1552,99.12
1556,99.04
1560,98.78
1564,98.6
1568,98.19
1572,98.21
1576,98.2
1580,97.99
1584,97.66
1588,97.25
1592,96.93
1596,96.64
1600,96.7
1604,96.7
1608,96.39
1612,96.45
1616,96.75
1620,96.91
1624,96.64
1628,96.27
1632,96.07
1636,95.93
1640,95.83
1644,95.63
1648,95.6
1652,95.75
1656,95.89
1660,95.83
1664,95.53
1668,95.24
1672,94.94
1676,94.37
1680,93.69
1684,93.08
1688,92.67
1692,92.24
1696,91.8
1700,91.44
1704,91.37
1708,91.42
1712,91.34
1716,90.93
1720,90.47
1724,90.16
1728,89.99
1732,89.93
1736,90.15
1740,90.57
1744,90.87
1748,90.97
1752,90.94
1756,90.61
1760,90.15
1764,89.82
1768,89.84
1772,89.93
1776,89.97
1780,90.17
1784,90.44
1788,90.69
1792,90.8
1796,90.72
1800,90.51
1804,90.16
1808,89.98
1812,90
1816,89.99
1820,89.77
1824,89.64
1828,89.67
1832,89.76
1836,89.83
1840,89.89
1844,89.9
1848,89.82
1852,89.71
1856,89.5
1860,89.15
1864,88.46
1868,87.52
1872,86.42
1876,85.21
1880,83.86
1884,82.14
1888,80.14
1892,77.96
1896,75.86
1900,74.13
1904,73.05
1908,72.51
1912,72.34
1916,72.51
1920,72.93
1924,73.38
1928,73.78
1932,74.1
1936,74.32
1940,74.55
1944,74.78
1948,74.85
1952,74.75
1956,74.7
1960,74.86
1964,75.04
1968,75.13
1972,75.15
1976,75.12
1980,75.05
1984,75.08
1988,75.12
1992,75.23
1996,75.21
2000,75.33
2004,75.86
2008,76.56
2012,77.24
2016,77.62
2020,77.86
2024,78.08
2028,78.42
2032,78.8
2036,79.13
2040,79.33
2044,79.37
2048,79.32
2052,79.31
2056,79.39
2060,79.47
2064,79.5
2068,79.49
2072,79.31
2076,78.94
2080,78.63
2084,78.36
2088,78.06
2092,77.65
2096,77.36
2100,77.28
2104,77.17
2108,76.89
2112,76.5
2116,75.98
2120,75.5
2124,75.04
2128,74.9
2132,74.86
2136,74.76
2140,74.35
2144,73.98
2148,73.59
2152,73.16
2156,72.47
2160,71.64
2164,70.64
2168,69.21
2172,67.26
2176,64.92
2180,62.44
2184,59.99
2188,57.8
2192,55.96
2196,54.45
2200,53.36
2204,52.91
2208,53.17
2212,53.78
2216,54.42
2220,54.95
2224,55.4
2228,55.87
2232,56.35
2236,56.69
2240,56.71
2244,56.67
2248,56.9
2252,57.25
2256,57.38
2260,57.42
2264,57.52
2268,57.66
2272,57.42
2276,57.06
2280,56.62
2284,56.07
2288,55.36
2292,54.53
2296,53.57
2300,52.52
2304,51.43
2308,50.23
2312,49.07
2316,47.9
2320,46.77
2324,45.51
2328,44.32
2332,43.26
2336,42.28
2340,41.46
2344,40.76
2348,40.66
2352,40.91
2356,41.38
2360,41.98
2364,42.52
2368,43.06
2372,43.5
2376,43.83
2380,43.95
2384,44.01
2388,43.8
2392,43.66
2396,43.51
2400,43.62
2404,43.61
2408,43.27
2412,42.88
2416,42.59
2420,42.56
2424,42.53
2428,42.46
2432,42.28
2436,42
2440,41.61
2444,41.48
2448,41.83
2452,42.17
2456,42.52
2460,42.99
2464,43.46
2468,43.83
2472,44.13
2476,44.51
2480,45.08
2484,45.73
2488,46.4
2492,47.48
2496,48.76
2500,50.04
