TEMP_2_Wavelength (nm),TEMP_2_Reflectance (%)
448,13.62
452,13.73
456,13.8
460,13.79
464,13.76
468,13.81
472,13.91
476,14.03
480,14.12
484,14.22
488,14.3
492,14.33
496,14.34
500,14.31
504,14.31
508,14.45
512,14.51
516,14.5
520,14.5
524,14.54
528,14.62
532,14.67
536,14.72
540,14.83
544,14.85
548,14.84
552,14.91
556,14.94
560,14.97
564,14.98
568,15
572,15.06
576,15.1
580,15.07
584,15.06
588,15.04
592,14.96
596,15.02
600,15.1
604,15.12
608,15.08
612,15.04
616,15.07
620,15.11
624,15.13
628,15.08
632,15.04
636,15.05
640,15.07
644,15.12
648,15.12
652,15.19
656,15.16
660,15.14
664,15.13
668,15.1
672,15.1
676,15.07
680,15.06
684,15.09
688,15.11
692,15.11
696,15.1
700,15.03
704,14.96
708,15.01
712,15.05
716,15.02
720,14.98
724,14.99
728,15.04
732,15.05
736,15.04
740,15.04
744,15
748,15.01
752,14.99
756,14.92
760,14.9
764,14.89
768,14.88
772,14.88
776,14.88
780,14.88
784,14.83
788,14.74
792,14.68
796,14.63
800,14.59
804,14.52
808,14.45
812,14.38
816,14.38
820,14.34
824,14.26
828,14.24
832,14.2
836,14.09
840,14.11
844,14.05
848,14.02
852,14.06
856,13.97
860,13.92
864,13.93
868,13.88
872,13.83
876,13.76
880,13.71
884,13.65
888,13.53
892,13.5
896,13.49
900,13.47
904,13.44
908,13.4
912,13.35
916,13.32
920,13.28
924,13.24
928,13.21
932,13.16
936,13.09
940,13.04
944,13.02
948,13
952,12.99
956,12.93
960,12.91
964,12.91
968,12.89
972,12.87
976,12.87
980,12.85
984,12.81
988,12.76
992,12.71
996,12.69
1000,12.67
1004,12.66
1008,12.62
1012,12.6
1016,12.55
1020,12.5
1024,12.48
1028,12.45
1032,12.44
1036,12.45
1040,12.44
1044,12.42
1048,12.37
1052,12.35
1056,12.33
1060,12.32
1064,12.34
1068,12.35
1072,12.36
1076,12.33
1080,12.28
1084,12.25
1088,12.25
1092,12.28
1096,12.24
1100,12.21
1104,12.21
1108,12.21
1112,12.23
1116,12.26
1120,12.26
1124,12.29
1128,12.31
1132,12.29
1136,12.27
1140,12.25
1144,12.27
1148,12.26
1152,12.24
1156,12.23
1160,12.24
1164,12.24
1168,12.26
1172,12.3
1176,12.29
1180,12.3
1184,12.33
1188,12.38
1192,12.39
1196,12.42
1200,12.4
1204,12.44
1208,12.45
1212,12.41
1216,12.43
1220,12.43
1224,12.43
1228,12.45
1232,12.48
1236,12.48
1240,12.47
1244,12.47
1248,12.47
1252,12.48
1256,12.55
1260,12.61
1264,12.62
1268,12.62
1272,12.62
1276,12.65
1280,12.67
1284,12.7
1288,12.7
1292,12.68
1296,12.73
1300,12.79
1304,12.84
1308,12.9
1312,12.96
1316,13
1320,13.06
1324,13.12
1328,13.13
1332,13.14
1336,13.17
1340,13.18
1344,13.25
1348,13.29
1352,13.32
1356,13.36
1360,13.4
1364,13.39
1368,13.4
1372,13.4
1376,13.43
1380,13.44
1384,13.42
1388,13.35
1392,13.12
1396,12.79
1400,12.46
1404,12.13
1408,11.94
1412,11.98
1416,12.25
1420,12.66
1424,13.06
1428,13.38
1432,13.62
1436,13.78
1440,13.9
1444,14
1448,14.11
1452,14.2
1456,14.27
1460,14.36
1464,14.47
1468,14.55
1472,14.59
1476,14.62
1480,14.67
1484,14.73
1488,14.81
1492,14.87
1496,14.96
1500,15.02
1504,15.08
1508,15.17
1512,15.25
1516,15.29
1520,15.35
1524,15.38
1528,15.4
1532,15.44
1536,15.48
1540,15.55
1544,15.62
1548,15.7
1552,15.78
1556,15.84
1560,15.9
1564,15.97
1568,15.97
1572,15.97
1576,15.99
1580,16.02
1584,16.08
1588,16.15
1592,16.2
1596,16.27
1600,16.31
1604,16.35
1608,16.38
1612,16.44
1616,16.48
1620,16.49
1624,16.5
1628,16.52
1632,16.52
1636,16.53
1640,16.53
1644,16.54
1648,16.56
1652,16.55
1656,16.55
1660,16.57
1664,16.6
1668,16.65
1672,16.69
1676,16.75
1680,16.79
1684,16.83
1688,16.85
1692,16.86
1696,16.88
1700,16.92
1704,16.97
1708,17.02
1712,17.09
1716,17.16
1720,17.2
1724,17.21
1728,17.2
1732,17.22
1736,17.21
1740,17.18
1744,17.18
1748,17.2
1752,17.23
1756,17.24
1760,17.23
1764,17.28
1768,17.33
1772,17.36
1776,17.41
1780,17.42
1784,17.41
1788,17.41
1792,17.39
1796,17.37
1800,17.34
1804,17.32
1808,17.3
1812,17.27
1816,17.24
1820,17.25
1824,17.24
1828,17.21
1832,17.18
1836,17.15
1840,17.13
1844,17.12
1848,17.12
1852,17.13
1856,17.13
1860,17.1
1864,17.06
1868,17.03
1872,17.01
1876,16.96
1880,16.94
1884,16.93
1888,16.92
1892,16.87
1896,16.82
1900,16.79
1904,16.79
1908,16.8
1912,16.79
1916,16.75
1920,16.7
1924,16.64
1928,16.64
1932,16.65
1936,16.62
1940,16.55
1944,16.49
1948,16.49
1952,16.49
1956,16.47
1960,16.42
1964,16.38
1968,16.33
1972,16.28
1976,16.2
1980,16.11
1984,16.04
1988,15.93
1992,15.83
1996,15.73
2000,15.68
2004,15.63
2008,15.59
2012,15.61
2016,15.67
2020,15.73
2024,15.73
2028,15.71
2032,15.76
2036,15.84
2040,15.88
2044,15.9
2048,15.92
2052,15.93
2056,15.93
2060,15.95
2064,15.93
2068,15.88
2072,15.82
2076,15.75
2080,15.69
2084,15.62
2088,15.55
2092,15.46
2096,15.33
2100,15.16
2104,15.02
2108,14.89
2112,14.8
2116,14.69
2120,14.65
2124,14.63
2128,14.64
2132,14.65
2136,14.67
2140,14.65
2144,14.54
2148,14.44
2152,14.35
2156,14.26
2160,14.14
2164,14
2168,13.8
2172,13.56
2176,13.21
2180,12.76
2184,12.3
2188,11.85
2192,11.48
2196,11.22
2200,11.04
2204,10.92
2208,10.9
2212,11.03
2216,11.25
2220,11.53
2224,11.83
2228,12.07
2232,12.23
2236,12.31
2240,12.3
2244,12.3
2248,12.3
2252,12.26
2256,12.28
2260,12.34
2264,12.42
2268,12.53
2272,12.58
2276,12.64
2280,12.69
2284,12.7
2288,12.69
2292,12.63
2296,12.5
2300,12.31
2304,12.06
2308,11.82
2312,11.61
2316,11.43
2320,11.24
2324,11.11
2328,10.99
2332,10.86
2336,10.7
2340,10.54
2344,10.41
2348,10.37
2352,10.37
2356,10.39
2360,10.44
2364,10.53
2368,10.61
2372,10.65
2376,10.72
2380,10.81
2384,10.86
2388,10.85
2392,10.84
2396,10.83
2400,10.86
2404,10.85
2408,10.84
2412,10.78
2416,10.72
2420,10.66
2424,10.58
2428,10.49
2432,10.48
2436,10.48
2440,10.42
2444,10.33
2448,10.28
2452,10.25
2456,10.26
2460,10.31
2464,10.41
2468,10.46
2472,10.44
2476,10.42
2480,10.49
2484,10.56
2488,10.57
2492,10.54
2496,10.51
2500,10.56
