Wavelength (nm),Reflectance (%)
400,74.45
401,74.9
402,74.96
403,75.21
404,75.28
405,75.43
406,75.65
407,75.71
408,76.02
409,76.08
410,76.12
411,76.34
412,76.4
413,76.65
414,76.72
415,76.88
416,77.04
417,77.16
418,77.34
419,77.43
420,77.56
421,77.78
422,77.84
423,78.04
424,78.3
425,78.32
426,78.47
427,78.66
428,78.73
429,78.98
430,79.11
431,79.25
432,79.32
433,79.47
434,79.62
435,79.52
436,79.83
437,79.95
438,80.07
439,80.32
440,80.39
441,80.58
442,80.67
443,80.85
444,80.89
445,81.03
446,81.2
447,81.37
448,81.36
449,81.53
450,81.63
451,81.76
452,81.8
453,81.84
454,81.87
455,82.03
456,81.95
457,82.04
458,82.14
459,82.28
460,82.23
461,82.16
462,82.27
463,82.28
464,82.39
465,82.46
466,82.57
467,82.51
468,82.6
469,82.71
470,82.84
471,82.79
472,82.79
473,82.82
474,82.99
475,83.02
476,83.02
477,83.1
478,83.18
479,83.23
480,83.22
481,83.26
482,83.34
483,83.31
484,83.37
485,83.43
486,83.45
487,83.46
488,83.49
489,83.49
490,83.66
491,83.63
492,83.71
493,83.75
494,83.82
495,83.95
496,83.97
497,84.03
498,84.05
499,84.24
500,84.25
501,84.26
502,84.44
503,84.46
504,84.51
505,84.46
506,84.57
507,84.69
508,84.68
509,84.73
510,85.02
511,85.02
512,85.02
513,85.08
514,85.15
515,85.33
516,85.4
517,85.44
518,85.33
519,85.4
520,85.67
521,85.68
522,85.81
523,85.76
524,85.83
525,85.95
526,85.96
527,85.96
528,86.03
529,86.23
530,86.28
531,86.17
532,86.29
533,86.37
534,86.37
535,86.49
536,86.47
537,86.42
538,86.65
539,86.7
540,86.81
541,86.75
542,86.71
543,86.83
544,86.9
545,87.03
546,86.98
547,87.06
548,87.13
549,87.2
550,87.27
551,87.39
552,87.4
553,87.59
554,87.67
555,87.67
556,87.65
557,87.53
558,87.67
559,87.7
560,87.74
561,88.33
562,88.21
563,88.28
564,88.46
565,88.4
566,88.45
567,88.39
568,88.44
569,88.61
570,88.49
571,88.5
572,88.39
573,88.49
574,88.56
575,88.52
576,88.55
577,88.47
578,88.46
579,88.66
580,88.61
581,88.66
582,88.6
583,88.55
584,88.73
585,88.73
586,88.79
587,88.78
588,88.66
589,88.96
590,88.84
591,88.96
592,88.96
593,88.89
594,88.95
595,89.02
596,89.14
597,89.09
598,89.04
599,89.3
600,89.21
601,89.31
602,89.39
603,89.35
604,89.47
605,89.42
606,89.49
607,89.61
608,89.49
609,89.5
610,89.45
611,89.51
612,89.56
613,89.5
614,89.68
615,89.56
616,89.57
617,89.5
618,89.45
619,89.56
620,89.55
621,89.56
622,89.63
623,89.56
624,89.68
625,89.74
626,89.62
627,89.69
628,89.68
629,89.68
630,89.84
631,89.72
632,89.73
633,89.73
634,89.73
635,89.91
636,89.8
637,89.84
638,89.8
639,89.8
640,89.85
641,89.85
642,89.96
643,89.95
644,89.9
645,90.08
646,90.03
647,90.04
648,90.2
649,90.03
650,90.08
651,90.09
652,90.15
653,90.2
654,90.2
655,90.3
656,90.19
657,90.29
658,90.3
659,90.26
660,90.2
661,90.2
662,90.26
663,90.47
