Wavelength (nm),Reflectance (%)
448,40.68
452,40.77
456,41.02
460,41.5
464,41.63
468,41.66
472,41.86
476,42.08
480,42.35
484,42.8
488,43.28
492,43.84
496,44.16
500,44.59
504,45.18
508,45.84
512,46.51
516,47.16
520,47.8
524,48.5
528,49.11
532,49.83
536,50.4
540,51.02
544,51.69
548,52.28
552,52.79
556,53.31
560,53.83
564,54.36
568,54.88
572,55.27
576,55.63
580,55.88
584,56.16
588,56.42
592,56.78
596,57.07
600,57.2
604,57.37
608,57.59
612,57.75
616,57.87
620,58.03
624,58.19
628,58.25
632,58.23
636,58.27
640,58.35
644,58.46
648,58.55
652,58.61
656,58.63
660,58.77
664,58.99
668,59.03
672,59.03
676,59.09
680,59.21
684,59.38
688,59.55
692,59.61
696,59.62
700,59.83
704,60.07
708,60.21
712,60.34
716,60.48
720,60.62
724,60.74
728,60.87
732,60.92
736,60.97
740,61.03
744,61.14
748,61.31
752,61.41
756,61.5
760,61.35
764,61.38
768,61.49
772,61.6
776,61.63
780,61.62
784,61.58
788,61.51
792,61.51
796,61.57
800,61.49
804,61.25
808,61.04
812,60.97
816,60.94
820,60.97
824,60.97
828,60.97
832,60.9
836,60.65
840,60.64
844,60.53
848,60.38
852,60.34
856,60.17
860,59.93
864,59.63
868,59.49
872,59.48
876,59.63
880,59.58
884,59.54
888,59.58
892,59.46
896,59.33
900,59.36
904,59.39
908,59.47
912,59.38
916,59.35
920,59.47
924,59.35
928,59.41
932,59.36
936,59.19
940,59.21
944,59.34
948,59.34
952,59.25
956,59.37
960,59.27
964,59.27
968,59.44
972,59.48
976,59.59
980,59.67
984,59.91
988,59.94
992,59.98
996,60.07
1000,60.17
1004,60.27
1008,60.35
1012,60.42
1016,60.59
1020,60.65
1024,60.8
1028,60.81
1032,60.9
1036,61.01
1040,61.11
1044,61.15
1048,61.33
1052,61.38
1056,61.48
1060,61.7
1064,61.71
1068,61.71
1072,61.83
1076,61.96
1080,62.07
1084,62.16
1088,62.21
1092,62.26
1096,62.46
1100,62.51
1104,62.58
1108,62.66
1112,62.73
1116,62.81
1120,62.89
1124,62.96
1128,63.05
1132,63.12
1136,63.16
1140,63.2
1144,63.26
1148,63.19
1152,63.25
1156,63.31
1160,63.4
1164,63.46
1168,63.55
1172,63.58
1176,63.76
1180,63.77
1184,63.86
1188,63.94
1192,63.99
1196,64.17
1200,64.08
1204,64.17
1208,64.18
1212,64.24
1216,64.29
1220,64.41
1224,64.3
1228,64.38
1232,64.55
1236,64.51
1240,64.46
1244,64.63
1248,64.68
1252,64.61
1256,64.66
1260,64.76
1264,64.79
1268,64.88
1272,64.66
1276,64.68
1280,64.77
1284,64.65
1288,64.53
1292,64.62
1296,64.46
1300,64.49
1304,64.53
1308,64.35
1312,64.37
1316,64.5
1320,64.34
1324,64.24
1328,64.17
1332,64.15
1336,64
1340,63.9
1344,63.75
1348,63.66
1352,63.59
1356,63.28
1360,63.04
1364,62.83
1368,62.56
1372,62.1
1376,61.38
1380,60.45
1384,59.4
1388,58.34
1392,57.31
1396,56.32
1400,55.39
1404,54.48
1408,53.55
1412,52.99
1416,53.39
1420,54.51
1424,55.82
1428,56.95
1432,57.84
1436,58.59
1440,59.22
1444,59.67
1448,59.93
1452,60.07
1456,60.21
1460,60.23
1464,60.4
1468,60.44
1472,60.65
1476,60.91
1480,61.18
1484,61.49
1488,61.65
1492,61.83
1496,61.97
1500,62.28
1504,62.34
1508,62.63
1512,62.68
1516,62.68
1520,62.73
1524,62.87
1528,63.03
1532,62.97
1536,62.98
1540,63.05
1544,63.12
1548,63.26
1552,63.36
1556,63.36
1560,63.33
1564,63.42
1568,63.46
1572,63.38
1576,63.41
1580,63.44
1584,63.6
1588,63.61
1592,63.57
1596,63.7
1600,63.69
1604,63.58
1608,63.56
1612,63.67
1616,63.64
1620,63.45
1624,63.46
1628,63.46
1632,63.46
1636,63.51
1640,63.54
1644,63.52
1648,63.46
1652,63.47
1656,63.44
1660,63.45
1664,63.47
1668,63.42
1672,63.3
1676,63.32
1680,63.31
1684,63.37
1688,63.37
1692,63.3
1696,63.27
1700,63.17
1704,63.13
1708,63.09
1712,63.02
1716,62.94
1720,62.85
1724,62.85
1728,62.82
1732,62.75
1736,62.67
1740,62.59
1744,62.52
1748,62.47
1752,62.43
1756,62.31
1760,62.21
1764,62.12
1768,62.03
1772,61.94
1776,61.89
1780,61.84
1784,61.73
1788,61.63
1792,61.53
1796,61.41
1800,61.41
1804,61.41
1808,61.42
1812,61.49
1816,61.42
1820,61.3
1824,61.19
1828,61.09
1832,60.97
1836,60.88
1840,60.76
1844,60.6
1848,60.47
1852,60.23
1856,59.85
1860,59.29
1864,58.57
1868,57.67
1872,56.47
1876,54.95
1880,53.06
1884,50.86
1888,48.48
1892,46.16
1896,44.25
1900,43.1
1904,42.84
1908,43.22
1912,43.93
1916,44.81
1920,45.64
1924,46.34
1928,46.9
1932,47.39
1936,47.83
1940,48.18
1944,48.47
1948,48.67
1952,48.87
1956,49.12
1960,49.36
1964,49.66
1968,49.95
1972,50.26
1976,50.58
1980,50.91
1984,51.25
1988,51.57
1992,51.89
1996,52.21
2000,52.52
2004,52.83
2008,53.14
2012,53.46
2016,53.77
2020,54.07
2024,54.36
2028,54.59
2032,54.79
2036,54.95
2040,55.11
2044,55.27
2048,55.41
2052,55.55
2056,55.57
2060,55.55
2064,55.55
2068,55.51
2072,55.52
2076,55.53
2080,55.49
2084,55.46
2088,55.42
2092,55.4
2096,55.37
2100,55.27
2104,55.17
2108,55.15
2112,55.09
2116,55.08
2120,55.02
2124,54.9
2128,54.71
2132,54.42
2136,53.96
2140,53.28
2144,52.45
2148,51.6
2152,50.85
2156,50.24
2160,49.76
2164,49.34
2168,48.91
2172,48.4
2176,47.73
2180,46.9
2184,45.99
2188,45.12
2192,44.24
2196,43.32
2200,42.61
2204,42.6
2208,43.46
2212,44.68
2216,45.85
2220,46.68
2224,47.23
2228,47.58
2232,47.82
2236,48.02
2240,48.26
2244,48.52
2248,48.81
2252,49.11
2256,49.3
2260,49.39
2264,49.38
2268,49.23
2272,49.05
2276,48.87
2280,48.66
2284,48.5
2288,48.35
2292,48.17
2296,47.94
2300,47.63
2304,47.3
2308,46.96
2312,46.63
2316,46.31
2320,45.99
2324,45.69
2328,45.37
2332,45.08
2336,44.76
2340,44.39
2344,44.03
2348,43.71
2352,43.51
2356,43.39
2360,43.29
2364,43.23
2368,43.1
2372,42.93
2376,42.73
2380,42.53
2384,42.42
2388,42.35
2392,42.31
2396,42.27
2400,42.18
2404,42.08
2408,41.95
2412,41.76
2416,41.55
2420,41.37
2424,41.19
2428,40.97
2432,40.71
2436,40.46
2440,40.36
2444,40.29
2448,40.26
2452,40.26
2456,40.26
2460,40.3
2464,40.33
2468,40.33
2472,40.34
2476,40.39
2480,40.46
2484,40.57
2488,40.69
2492,40.82
2496,41
2500,41.18
