Wavelength (nm),Reflectance (%)
448,68.67
452,68.18
456,68.26
460,69.82
464,69.93
468,70.65
472,70.57
476,71.55
480,70.65
484,70.97
488,71.69
492,73.57
496,73.45
500,73.03
504,74.33
508,74.84
512,74.89
516,74.46
520,74.72
524,75.3
528,75.14
532,75.65
536,76.62
540,76.75
544,77.29
548,77.26
552,77.49
556,76.87
560,76.3
564,78.71
568,78.52
572,79.34
576,78.87
580,79.65
584,80.07
588,80.29
592,80.73
596,81.02
600,81.63
604,81.11
608,81.3
612,82.12
616,82.67
620,83.33
624,82.67
628,83.19
632,83.96
636,83.53
640,83.76
644,84.2
648,84.79
652,84.71
656,84.87
660,86.22
664,85.7
668,85.54
672,85.77
676,87.2
680,86.24
684,87.23
688,86.5
692,87.35
696,87.41
700,87.68
704,87.11
708,88.11
712,88.59
716,88.32
720,88.35
724,87.94
728,88.64
732,89.35
736,89.48
740,89.17
744,88.55
748,89.46
752,89.95
756,89.33
760,89.32
764,91.18
768,90.04
772,89.97
776,90.39
780,90.33
784,90.39
788,89.96
792,91.09
796,91.38
800,90.59
804,91.54
808,91.63
812,90.96
816,91.15
820,91.65
824,91.47
828,91.22
832,92.05
836,91.85
840,91.42
844,91.51
848,91.58
852,91.28
856,92.87
860,91.86
864,93.49
868,92.83
872,92.68
876,93.06
880,92.92
884,92.63
888,93.65
892,93.5
896,93.12
900,94.24
904,94.49
908,94.3
912,93.6
916,93.42
920,94.48
924,93.54
928,93.92
932,94.04
936,94.22
940,94.71
944,95.18
948,94.46
952,94.92
956,95.58
960,95.02
964,94.75
968,94.7
972,95.43
976,96.12
980,96.35
984,95.75
988,95.93
992,96.31
996,96
1000,96.96
1004,96.67
1008,96.54
1012,97.72
1016,96.15
1020,96.36
1024,95.98
1028,98.49
1032,96.36
1036,97.08
1040,97.22
1044,98.12
1048,96.67
1052,96.34
1056,99.85
1060,97.51
1064,96.76
1068,96.78
1072,97.5
1076,97.53
1080,97.09
1084,96.79
1088,97.05
1092,100
1096,98.16
1100,97.56
1104,97.28
1108,98.15
1112,97.37
1116,96.26
1120,96.97
1124,95.72
1128,93.26
1132,93.58
1136,92.69
1140,91.42
1144,88.49
1148,87.6
1152,86.05
1156,84.33
1160,83.89
1164,81.18
1168,80.72
1172,78.53
1176,79.67
1180,79.34
1184,79.4
1188,79.23
1192,78.18
1196,78.62
1200,78.06
1204,77.88
1208,77.52
1212,76.87
1216,76.86
1220,77.74
1224,77.35
1228,76.95
1232,77.55
1236,78.83
1240,78.67
1244,79.56
1248,80.76
1252,81.71
1256,83.44
1260,83.94
1264,85.3
1268,86.7
1272,87.54
1276,88.95
1280,89.03
1284,90
1288,91.14
1292,91.29
1296,92.47
1300,92.3
1304,93.04
1308,93.09
1312,93.75
1316,94.85
1320,94.54
1324,94.61
1328,94.87
1332,94.85
1336,95.59
1340,95.18
1344,95.6
1348,95.64
1352,96.12
1356,96.29
1360,96.17
1364,96.29
1368,96.33
1372,96.73
1376,97.44
1380,96.51
1384,97.59
1388,97.37
1392,96.9
1396,97.33
1400,97.85
1404,97.61
1408,97.36
1412,97.59
1416,96.73
1420,96.63
1424,97.14
1428,97.55
1432,97.86
1436,97.89
1440,97.51
1444,97.94
1448,98.2
1452,97.88
1456,97.91
1460,97.42
1464,97.97
1468,97.86
1472,97.97
1476,97.88
1480,98.25
1484,97.74
1488,97.52
1492,96.99
1496,94.37
1500,91.48
1504,89.19
1508,86.85
1512,50.23
1516,40.36
1520,81.67
1524,92.95
1528,94.05
1532,95.34
1536,96.31
1540,96.35
1544,96.47
1548,96.62
1552,97.75
1556,97.36
1560,97.25
1564,98.06
1568,97.39
1572,98.25
1576,97.74
1580,98.25
1584,98.35
1588,97.92
1592,98.62
1596,98.19
1600,99.17
1604,98.4
1608,97.57
1612,98.02
1616,98.07
1620,98.55
1624,98.62
1628,98.17
1632,97.82
1636,98.56
1640,98.46
1644,98.89
1648,98.62
1652,98.64
1656,98.14
1660,98.75
1664,99.22
1668,98.99
1672,99.11
1676,98.27
1680,98.28
1684,97.9
1688,98.2
1692,98.78
1696,98.83
1700,98.52
1704,98.27
1708,98.21
1712,97.86
1716,98.39
1720,98.37
1724,97.92
1728,98.54
1732,98.42
1736,98.5
1740,98.8
1744,98.89
1748,98.06
1752,96.99
1756,98.24
1760,97.64
1764,97.56
1768,97.77
1772,97.13
1776,96.27
1780,96.27
1784,96.7
1788,95.18
1792,95.07
1796,94.19
1800,94.73
1804,94.39
1808,92.46
1812,90.94
1816,88.12
1820,88.08
1824,88.24
1828,89.12
1832,88.8
1836,88.65
1840,89.39
1844,88.99
1848,87.82
1852,87.11
1856,87.61
1860,87.9
1864,89.68
1868,89.41
1872,87.41
1876,87.69
1880,85.34
1884,84.59
1888,83.44
1892,83.52
1896,79.31
1900,76.33
1904,77.93
1908,79.49
1912,81.44
1916,81.67
1920,81.98
1924,80.37
1928,81.8
1932,81.82
1936,80.53
1940,79.79
1944,78.32
1948,74.24
1952,69.41
1956,66.39
1960,51.12
1964,37.68
1968,21.75
1972,3.91
1976,0
1980,1.46
1984,33.45
1988,56.44
1992,59.19
1996,53.6
2000,44.51
2004,24.91
2008,16.45
2012,36.44
2016,47.68
2020,46.2
2024,41.11
2028,45.53
