Wavelength (nm),Reflectance (%)
448,80.51
452,80.97
456,81.37
460,82.08
464,82.97
468,83.85
472,84.56
476,84.97
480,85.55
484,86.31
488,87.02
492,87.43
496,88.06
500,88.94
504,89.6
508,90.3
512,90.97
516,91.14
520,91.32
524,91.78
528,92.22
532,92.77
536,93.4
540,93.64
544,93.73
548,93.61
552,93.79
556,94.09
560,94.25
564,94.28
568,94.05
572,93.89
576,93.63
580,93.69
584,93.77
588,93.78
592,93.98
596,94.37
600,94.55
604,94.46
608,94.37
612,94.26
616,94.23
620,94.13
624,94.4
628,94.57
632,94.35
636,94.08
640,94.04
644,94.6
648,94.64
652,94.8
656,95.33
660,95.36
664,95.44
668,95.83
672,96.26
676,96.38
680,96.02
684,95.86
688,95.74
692,95.87
696,95.82
700,95.98
704,96.25
708,96.66
712,96.7
716,96.52
720,96.84
724,96.61
728,97.02
732,96.76
736,96.71
740,97.36
744,97.43
748,97.44
752,97.59
756,97.59
760,97.33
764,97.3
768,97.92
772,98.44
776,98.57
780,98.55
784,98.8
788,98.79
792,98.87
796,98.64
800,98.71
804,98.96
808,99.28
812,99.75
816,100
820,99.94
824,99.97
828,99.96
832,99.9
836,99.84
840,99.87
844,99.72
848,99.42
852,99.33
856,99.52
860,99.5
864,99.42
868,99.42
872,99.41
876,99.45
880,99.4
884,99.02
888,98.55
892,98.23
896,98.18
900,98.39
904,98.36
908,98.33
912,98.09
916,98.22
920,98.01
924,97.94
928,97.9
932,97.76
936,97.61
940,97.4
944,96.93
948,96.47
952,95.98
956,95.62
960,95.51
964,95.8
968,96.27
972,96.65
976,96.8
980,97.05
984,97.12
988,97.14
992,97.33
996,97.47
1000,97.04
1004,96.91
1008,97.05
1012,96.96
1016,97.01
1020,97.21
1024,96.82
1028,97.04
1032,96.91
1036,96.54
1040,96.65
1044,96.71
1048,96.84
1052,97.09
1056,96.84
1060,96.74
1064,96.76
1068,96.6
1072,96.55
1076,96.52
1080,96.35
1084,96.5
1088,96.66
1092,96.24
1096,96.27
1100,96.56
1104,96.32
1108,96.4
1112,96.35
1116,96.6
1120,96.35
1124,96.15
1128,96.49
1132,96.21
1136,96.37
1140,96.35
1144,96.78
1148,97.02
1152,96.86
1156,96.77
1160,96.93
1164,96.88
1168,96.48
1172,96.49
1176,96.52
1180,96.8
1184,96.81
1188,96.67
1192,96.9
1196,97.22
1200,97.09
1204,96.87
1208,96.96
1212,96.95
1216,97.1
1220,97.26
1224,96.94
1228,97.24
1232,97.18
1236,97.09
1240,97.1
1244,96.91
1248,97.2
1252,97.41
1256,97.79
1260,98
1264,97.86
1268,98.09
1272,98.17
1276,97.84
1280,98.03
1284,98.12
1288,97.71
1292,97.48
1296,97.33
1300,97.3
1304,97.18
1308,97.21
1312,97.22
1316,96.97
1320,96.91
1324,96.9
1328,96.64
1332,96.92
1336,97.29
1340,97.54
1344,97.62
1348,97.65
1352,97.52
1356,97.02
1360,96.75
1364,96.75
1368,96.39
1372,96.04
1376,95.37
1380,94.03
1384,91.61
1388,87.17
1392,79.52
1396,69.28
1400,59.01
1404,50.88
1408,46.46
1412,47.31
1416,54.11
1420,65.36
1424,76.49
1428,84.64
1432,89.43
1436,91.97
1440,93.25
1444,93.9
1448,94.67
1452,95.2
1456,95.67
1460,96
1464,95.9
1468,96.03
1472,96.01
1476,96.08
1480,96.11
1484,96.27
1488,96.45
1492,96.77
1496,97.13
1500,97.4
1504,97.67
1508,97.81
1512,97.75
1516,97.98
1520,98.28
1524,98.46
1528,98.6
1532,98.6
1536,98.59
1540,98.86
1544,98.89
1548,98.65
1552,98.66
1556,98.71
1560,98.8
1564,98.93
1568,98.97
1572,99.16
1576,99.3
1580,99.3
1584,99.34
1588,99.28
1592,99.16
1596,99.04
1600,99
1604,99.11
1608,99.21
1612,99.23
1616,99.22
1620,99.32
1624,99.38
1628,99.29
1632,99.23
1636,99.19
1640,99.12
1644,98.92
1648,98.82
1652,98.9
1656,98.97
1660,99.06
1664,99.2
1668,99.34
1672,99.38
1676,99.25
1680,99.09
1684,99.03
1688,99.01
1692,99
1696,99.07
1700,99.17
1704,99.38
1708,99.39
1712,99.15
1716,99.06
1720,99.03
1724,99.13
1728,99.2
1732,99.2
1736,99.29
1740,99.57
1744,99.88
1748,99.85
1752,99.65
1756,99.43
1760,99.39
1764,99.46
1768,99.57
1772,99.64
1776,99.56
1780,99.48
1784,99.61
1788,99.75
1792,99.64
1796,99.46
1800,99.36
1804,99.29
1808,99.15
1812,98.84
1816,98.5
1820,97.98
1824,97.52
1828,97.11
1832,96.83
1836,96.75
1840,96.84
1844,97.11
1848,97.52
1852,97.87
1856,97.86
1860,97.61
1864,97.2
1868,96.68
1872,96.12
1876,95.31
1880,94.28
1884,92.86
1888,90.86
1892,88.42
1896,85.41
1900,82.34
1904,79.75
1908,78.48
1912,78.21
1916,78.26
1920,78.3
1924,78.14
1928,77.92
1932,77.85
1936,77.89
1940,78.11
1944,78.49
1948,78.71
1952,78.66
1956,78.63
1960,78.67
1964,79.08
1968,79.68
1972,80.07
1976,80.41
1980,80.7
1984,81.15
1988,81.44
1992,81.68
1996,81.92
2000,82.17
2004,82.41
2008,82.66
2012,83.01
2016,83.46
2020,84.01
2024,84.25
2028,84.14
2032,84.04
2036,83.92
2040,83.97
2044,84.56
2048,84.62
2052,84.7
2056,84.86
2060,84.91
2064,85.12
2068,84.89
2072,84.55
2076,84.46
2080,84.12
2084,83.47
2088,82.42
2092,81.33
2096,80.37
2100,79.31
2104,78.26
2108,77.47
2112,77.18
2116,77.25
2120,77.4
2124,77.56
2128,77.41
2132,77.07
2136,76.27
2140,75.21
2144,73.74
2148,71.42
2152,68.17
2156,64.16
2160,59.44
2164,53.86
2168,47.39
2172,40.04
2176,31.97
2180,23.49
2184,15.2
2188,8.03
2192,2.88
2196,0.22
2200,0
2204,2.4
2208,7.52
2212,14.88
2216,23.44
2220,32.15
2224,40.25
2228,46.69
2232,50.97
2236,53.35
2240,54.69
2244,55.68
2248,56.53
2252,57.59
2256,58.94
2260,60.22
2264,61.34
2268,61.86
2272,61.81
2276,61.42
2280,60.57
2284,59.02
2288,57.09
2292,54.82
2296,52.28
2300,49.58
2304,46.62
2308,43.59
2312,40.54
2316,37.67
2320,34.75
2324,31.46
2328,27.86
2332,24.48
2336,21.62
2340,19.21
2344,17.3
2348,16.19
2352,16.08
2356,16.94
2360,18.23
2364,19.58
2368,20.7
2372,21.64
2376,22.11
2380,22.22
2384,22.36
2388,22.43
2392,22.47
2396,22.37
2400,22.02
2404,21.32
2408,20.31
2412,18.72
2416,16.7
2420,14.71
2424,12.92
2428,11.34
2432,10.25
2436,9.66
2440,9.61
2444,10.14
2448,11.04
2452,12.52
2456,14
2460,15.63
2464,17.11
2468,18.42
2472,19.76
2476,20.82
