Wavelength (nm),Reflectance (%)
448,95.96
452,94.34
456,93.58
460,93.37
464,93.19
468,93.63
472,94.77
476,95.82
480,96.76
484,97.08
488,96.93
492,97.17
496,96.8
500,97.61
504,98.9
508,100
512,99.56
516,99.26
520,99.41
524,99.37
528,98.75
532,97.96
536,97.88
540,98.63
544,99.23
548,98.78
552,98.43
556,98.3
560,97.98
564,97.43
568,96.74
572,96.02
576,95.32
580,94.88
584,94.58
588,93.73
592,92.83
596,92.07
600,92.11
604,91.12
608,89.86
612,89.14
616,88.63
620,87.74
624,86.54
628,85.94
632,85.66
636,85.41
640,84.9
644,83.95
648,83.03
652,82.11
656,81.31
660,80
664,78.72
668,78.74
672,78.53
676,77.39
680,76.4
684,75.86
688,75.39
692,74.71
696,73.99
700,74.44
704,75.1
708,74.82
712,73.91
716,74.17
720,72.51
724,72.62
728,72.34
732,72.62
736,73.15
740,72.8
744,72.36
748,72.35
752,73.06
756,73.01
760,72.8
764,72.46
768,72.23
772,71.93
776,71.98
780,72.51
784,72.93
788,73.44
792,73.95
796,74.32
800,74.76
804,74.86
808,74.92
812,74.63
816,74.63
820,71.54
824,71.65
828,71.64
832,70.62
836,70.7
840,68.34
844,68.19
848,67.96
852,68.39
856,66.89
860,65.69
864,64.25
868,63.62
872,62.33
876,61.43
880,60.26
884,59.31
888,58.94
892,58.01
896,57.37
900,56.18
904,55.36
908,54.28
912,53.96
916,53
920,52.27
924,51.89
928,50.67
932,50.26
936,49.14
940,48.12
944,47.6
948,47.17
952,46.8
956,45.71
960,45.16
964,43.91
968,43.16
972,42.39
976,42.22
980,41.63
984,40.92
988,39.69
992,38.89
996,38.71
1000,37.94
1004,37.06
1008,36.59
1012,36.23
1016,35.49
1020,35.47
1024,34.87
1028,34.46
1032,34.45
1036,34.73
1040,34.46
1044,34.65
1048,35.07
1052,34.66
1056,34.85
1060,35.7
1064,36.59
1068,37.25
1072,37.66
1076,38.42
1080,38.93
1084,40.18
1088,40.39
1092,40.87
1096,41.24
1100,41.59
1104,41.64
1108,41.85
1112,42.42
1116,42.26
1120,42.71
1124,42.6
1128,43.32
1132,43.63
1136,43.33
1140,43.98
1144,44.03
1148,44.51
1152,45.32
1156,45.31
1160,45.54
1164,45.87
1168,45.61
1172,46.06
1176,46.29
1180,45.91
1184,46.14
1188,46.57
1192,47.27
1196,47.6
1200,47.98
1204,48.24
1208,48.91
1212,48.86
1216,48.63
1220,49.19
1224,49.23
1228,49.54
1232,49.8
1236,49.4
1240,49.64
1244,49.99
1248,50.34
1252,51.33
1256,51.75
1260,51.77
1264,52.25
1268,52.92
1272,52.83
1276,53.27
1280,53.66
1284,53.82
1288,54.12
1292,54.53
1296,54.17
1300,54.4
1304,55.13
1308,54.89
1312,54.73
1316,55.25
1320,55.8
1324,56.07
1328,56.24
1332,56.71
1336,56.67
1340,56.74
1344,57.21
1348,57.36
1352,57.86
1356,58.63
1360,58.54
1364,58.87
1368,57.87
1372,57.64
1376,57.71
1380,57.47
1384,56.15
1388,53.34
1392,50.24
1396,49.21
1400,51.2
1404,54.41
1408,56.67
1412,57.97
1416,59.25
1420,59.61
1424,59.96
1428,60.2
1432,60.75
1436,60.8
1440,61.16
1444,61.66
1448,62.49
1452,62.93
1456,62.25
1460,62.18
1464,61.85
1468,62.04
1472,62.4
1476,62.7
1480,62.99
1484,63.16
1488,64.46
1492,64.59
1496,64.49
1500,64.59
1504,64.79
1508,64.96
1512,65.02
1516,64.87
1520,64.83
1524,64.74
1528,64.78
1532,64.86
1536,64.89
1540,64.82
1544,64.76
1548,64.8
1552,65.23
1556,65.54
1560,65.93
1564,65.89
1568,65.47
1572,65.18
1576,65.47
1580,65.66
1584,65.66
1588,65.52
1592,65.37
1596,65.79
1600,66
1604,65.96
1608,66.12
1612,65.93
1616,65.86
1620,65.85
1624,65.87
1628,66.07
1632,65.99
1636,65.8
1640,65.53
1644,65.27
1648,65.21
1652,64.99
1656,64.99
1660,64.67
1664,64.62
1668,64.97
1672,65.44
1676,64.97
1680,64.46
1684,64.36
1688,64.42
1692,64.45
1696,64.52
1700,64.56
1704,64.86
1708,64.98
1712,65.08
1716,64.84
1720,64.29
1724,64.14
1728,64.05
1732,64.04
1736,63.93
1740,63.94
1744,63.69
1748,63.63
1752,63.76
1756,63.82
1760,64
1764,63.86
1768,63.19
1772,62.84
1776,62.51
1780,62.07
1784,61.99
1788,61.78
1792,61.5
1796,61.43
1800,61.67
1804,61.55
1808,61.17
1812,60.93
1816,60.94
1820,60.88
1824,60.66
1828,60.24
1832,59.92
1836,59.14
1840,58.61
1844,58.65
1848,58.59
1852,58.68
1856,58.74
1860,58.56
1864,58.37
1868,58.25
1872,57.66
1876,57.14
1880,56.72
1884,56.17
1888,55.41
1892,54.62
1896,53.7
1900,52.76
1904,52.33
1908,52.3
1912,52.53
1916,52.76
1920,52.99
1924,53.61
1928,54.12
1932,53.85
1936,53.16
1940,52.92
1944,52.75
1948,52.63
1952,52.05
1956,52.35
1960,52.12
1964,51.73
1968,51.42
1972,51.19
1976,51.1
1980,51.04
1984,50.6
1988,50.31
1992,49.92
1996,49.39
2000,49.06
2004,48.56
2008,48.17
2012,47.83
2016,47.18
2020,47.16
2024,46.99
2028,46.49
2032,46.07
2036,45.66
2040,45.05
2044,44.89
2048,44.59
2052,43.93
2056,43.3
2060,42.69
2064,42.64
2068,41.9
2072,40.96
2076,40.56
2080,40.35
2084,40.17
2088,40.33
2092,40
2096,39.59
2100,39.44
2104,39.18
2108,37.96
2112,37.15
2116,36.57
2120,35.97
2124,35.91
2128,36.29
2132,35.62
2136,34.9
2140,34.61
2144,34.77
2148,35.04
2152,35.27
2156,35.04
2160,34.55
2164,34.37
2168,33.87
2172,33.65
2176,33.17
2180,32.98
2184,33.16
2188,33.21
2192,33.1
2196,32.97
2200,32.87
2204,32.18
2208,31.72
2212,31.16
2216,30.76
2220,30.27
2224,29.39
2228,28.43
2232,27.57
2236,26.5
2240,25.53
2244,24.56
2248,23.64
2252,22.8
2256,22.12
2260,21.54
2264,20.89
2268,19.2
2272,17
2276,14.78
2280,12.39
2284,9.97
2288,7.38
2292,4.81
2296,3.19
2300,2.52
2304,1.67
2308,0.91
2312,0.34
2316,0
2320,0.73
2324,2.82
2328,5.43
2332,7.93
2336,9.86
2340,11.63
2344,12.54
2348,13.28
2352,13.07
2356,12.9
2360,12.42
2364,11.5
2368,9.81
2372,7.69
2376,5.45
2380,3.46
2384,2.26
2388,2.44
2392,3.59
2396,5
2400,6.84
2404,8.06
2408,9.22
2412,9.27
2416,9.13
2420,9.06
2424,9.17
2428,8.96
2432,8.59
2436,8.77
2440,8.87
2444,8.88
2448,9.1
2452,9.2
2456,9.41
2460,9.61
2464,9.54
2468,9.53
2472,9.59
2476,10.17
2480,10.38
2484,10.82
2488,11.38
2492,11.94
2496,12.88
2500,13.28
