Wavelength (nm),Reflectance (%)
448,41.74
452,41.17
456,39.28
460,38.92
464,40.06
468,39.46
472,40.78
476,41.24
480,41.35
484,42.84
488,45.46
492,48.05
496,49.98
500,51.02
504,54.1
508,55.03
512,56.32
516,57.76
520,60.29
524,63.49
528,64.9
532,65.3
536,65.87
540,68.54
544,69.96
548,72.47
552,76.03
556,77.94
560,79.93
564,83.06
568,86.36
572,88.71
576,90.3
580,91.86
584,94.09
588,95.48
592,96.06
596,96.28
600,97.31
604,97.98
608,97.92
612,97.88
616,98.23
620,98.75
624,99.08
628,99.06
632,99.18
636,99.77
640,100
644,99.92
648,98.11
652,96.96
656,96.53
660,95.44
664,94.76
668,94.74
672,94.34
676,93.65
680,92.95
684,92.71
688,92.87
692,92.61
696,91.55
700,90.64
704,89.35
708,88.42
712,87.65
716,88.16
720,87.44
724,86.68
728,87.16
732,87.63
736,86.66
740,86.68
744,86.96
748,87.06
752,86.95
756,86.08
760,85.5
764,85.77
768,86.09
772,86.15
776,86.13
780,86.07
784,86.26
788,87.59
792,88.84
796,88.35
800,87.26
804,86.39
808,85.56
812,86.03
816,86.03
820,85.76
824,84.37
828,82.74
832,81.76
836,80.53
840,80.26
844,78.4
848,76.42
852,73.4
856,72.67
860,72.09
864,70.48
868,68.2
872,67.32
876,66.17
880,64.43
884,62.46
888,60.97
892,59.91
896,58.59
900,56.35
904,55.2
908,55.93
912,56.32
916,55.14
920,54.59
924,54.82
928,54.55
932,55.48
936,55.54
940,54.96
944,53.83
948,54.38
952,54.17
956,53
960,53.76
964,53.86
968,53.16
972,52.43
976,52.88
980,52.28
984,52.81
988,52.04
992,51.29
996,52.01
1000,52.25
1004,50.81
1008,50.55
1012,51.17
1016,50.78
1020,50.52
1024,49.46
1028,49.53
1032,50.37
1036,49.78
1040,48.5
1044,47.81
1048,47.15
1052,46.53
1056,45.89
1060,44.66
1064,44.42
1068,44.18
1072,42.97
1076,41.75
1080,40.59
1084,41.14
1088,39.89
1092,39.81
1096,39.77
1100,39.16
1104,38.57
1108,37.46
1112,37.62
1116,36.38
1120,36.67
1124,37.47
1128,36.98
1132,35.85
1136,34.61
1140,32.89
1144,32.18
1148,32.91
1152,32.99
1156,31.3
1160,31.41
1164,30.54
1168,29.11
1172,29.77
1176,29.7
1180,29.36
1184,28.86
1188,28.21
1192,28.47
1196,28.42
1200,27.81
1204,27.79
1208,29.19
1212,29.28
1216,29.12
1220,29.35
1224,29.33
1228,28.15
1232,28.89
1236,29.29
1240,29.48
1244,29.3
1248,30.35
1252,29.76
1256,29.93
1260,29.39
1264,30.73
1268,31.23
1272,30.8
1276,31.15
1280,31.21
1284,31.09
1288,31.44
1292,30.32
1296,29.46
1300,31
1304,31.57
1308,32.19
1312,34.2
1316,33.79
1320,34.23
1324,35.1
1328,34.98
1332,34.69
1336,34.87
1340,34.23
1344,34.27
1348,34.9
1352,34.11
1356,34.84
1360,35.5
1364,35.52
1368,34.85
1372,34.87
1376,34.03
1380,33.2
1384,34.56
1388,33.98
1392,34.29
1396,35.1
1400,35.5
1404,35.75
1408,35.66
1412,35.02
1416,34.6
1420,34.71
1424,35.46
1428,36.86
1432,37.97
1436,38.51
1440,38.65
1444,38.81
1448,39.81
1452,40.83
1456,41.83
1460,42.64
1464,43.36
1468,44.22
1472,44.42
1476,44.43
1480,44.25
1484,44.49
1488,44.63
1492,44.96
1496,45.5
1500,46.33
1504,46.67
1508,46.35
1512,46.18
1516,45.67
1520,45.27
1524,45.58
1528,46.33
1532,46.88
1536,47.28
1540,47.85
1544,48.22
1548,49.19
1552,49.82
1556,50.07
1560,50.69
1564,51.23
1568,51.8
1572,52.19
1576,51.98
1580,51.36
1584,51.13
1588,51.25
1592,51.5
1596,51.64
1600,52.33
1604,52.71
1608,53.28
1612,53.86
1616,54.21
1620,54.31
1624,53.95
1628,53.69
1632,54.7
1636,55.31
1640,56.03
1644,56.57
1648,57.01
1652,57.31
1656,57.31
1660,56.96
1664,56.92
1668,56.99
1672,57.09
1676,57.15
1680,57.57
1684,58.57
1688,59.01
1692,59.03
1696,58.6
1700,58
1704,57.8
1708,58.47
1712,59.25
1716,59.99
1720,60.14
1724,60.39
1728,60.84
1732,60.98
1736,61.29
1740,61.49
1744,61.01
1748,60.69
1752,60.27
1756,59.86
1760,59.33
1764,59.14
1768,59.02
1772,58.84
1776,58.71
1780,59.53
1784,61
1788,61.9
1792,62.53
1796,62.98
1800,63.44
1804,63.78
1808,64.08
1812,64.21
1816,64.25
1820,64.59
1824,65.42
1828,65.97
1832,65.69
1836,65.45
1840,65.19
1844,65
1848,65.67
1852,66.6
1856,67.24
1860,67.57
1864,67.32
1868,66.67
1872,66.13
1876,65.79
1880,65.53
1884,65.34
1888,65.13
1892,64.45
1896,63.64
1900,62.95
1904,62.22
1908,62.31
1912,62.4
1916,63.17
1920,63.76
1924,64.34
1928,65.19
1932,65.79
1936,65.5
1940,64.98
1944,64.57
1948,64.83
1952,65.77
1956,66.55
1960,67.21
1964,67.91
1968,68.62
