Wavelength (nm),Reflectance (%)
448,1.48
452,1.46
456,1.5
460,1.56
464,1.61
468,1.66
472,1.7
476,1.75
480,1.79
484,1.82
488,1.85
492,1.89
496,1.92
500,1.97
504,2
508,2.03
512,2.06
516,2.1
520,2.14
524,2.17
528,2.2
532,2.24
536,2.29
540,2.34
544,2.4
548,2.45
552,2.5
556,2.54
560,2.59
564,2.63
568,2.66
572,2.69
576,2.71
580,2.75
584,2.8
588,2.86
592,2.92
596,2.97
600,3.04
604,3.09
608,3.14
612,3.19
616,3.25
620,3.3
624,3.35
628,3.4
632,3.45
636,3.51
640,3.56
644,3.6
648,3.67
652,3.74
656,3.8
660,3.85
664,3.91
668,3.98
672,4.05
676,4.1
680,4.15
684,4.21
688,4.27
692,4.33
696,4.39
700,4.44
704,4.52
708,4.59
712,4.67
716,4.73
720,4.8
724,4.87
728,4.93
732,5.01
736,5.08
740,5.14
744,5.21
748,5.28
752,5.35
756,5.41
760,5.47
764,5.55
768,5.64
772,5.73
776,5.79
780,5.85
784,5.91
788,5.95
792,6
796,6.08
800,6.16
804,6.25
808,6.31
812,6.37
816,6.37
820,6.51
824,6.7
828,6.98
832,7.32
836,7.63
840,7.84
844,8.05
848,8.35
852,8.63
856,8.92
860,9.26
864,9.58
868,9.83
872,10.05
876,10.28
880,10.5
884,10.74
888,10.97
892,11.18
896,11.44
900,11.67
904,11.88
908,12.07
912,12.27
916,12.48
920,12.68
924,12.86
928,13.08
932,13.27
936,13.43
940,13.62
944,13.82
948,14.04
952,14.25
956,14.45
960,14.64
964,14.85
968,15.05
972,15.23
976,15.4
980,15.58
984,15.76
988,15.94
992,16.13
996,16.32
1000,16.5
1004,16.69
1008,16.88
1012,17.07
1016,17.25
1020,17.42
1024,17.6
1028,17.78
1032,17.97
1036,18.15
1040,18.33
1044,18.51
1048,18.68
1052,18.85
1056,19.02
1060,19.2
1064,19.38
1068,19.55
1072,19.71
1076,19.89
1080,20.07
1084,20.24
1088,20.41
1092,20.58
1096,20.78
1100,20.97
1104,21.15
1108,21.34
1112,21.53
1116,21.73
1120,21.92
1124,22.09
1128,22.25
1132,22.43
1136,22.61
1140,22.79
1144,22.94
1148,23.09
1152,23.25
1156,23.42
1160,23.59
1164,23.76
1168,23.93
1172,24.08
1176,24.22
1180,24.36
1184,24.47
1188,24.61
1192,24.76
1196,24.92
1200,25.08
1204,25.24
1208,25.4
1212,25.59
1216,25.77
1220,25.96
1224,26.14
1228,26.32
1232,26.51
1236,26.69
1240,26.86
1244,27.03
1248,27.18
1252,27.34
1256,27.49
1260,27.64
1264,27.79
1268,27.94
1272,28.09
1276,28.23
1280,28.37
1284,28.51
1288,28.65
1292,28.78
1296,28.92
1300,29.06
1304,29.18
1308,29.32
1312,29.45
1316,29.56
1320,29.66
1324,29.79
1328,29.95
1332,30.1
1336,30.24
1340,30.36
1344,30.48
1348,30.58
1352,30.67
1356,30.73
1360,30.81
1364,30.88
1368,30.98
1372,31.06
1376,31.11
1380,31.12
1384,31.11
1388,31.11
1392,31.16
1396,31.24
1400,31.36
1404,31.45
1408,31.46
1412,31.5
1416,31.65
1420,31.91
1424,32.17
1428,32.34
1432,32.47
1436,32.58
1440,32.7
1444,32.84
1448,32.97
1452,33.07
1456,33.16
1460,33.24
1464,33.31
1468,33.38
1472,33.45
1476,33.55
1480,33.65
1484,33.73
1488,33.79
1492,33.81
1496,33.87
1500,33.93
1504,34.03
1508,34.09
1512,34.14
1516,34.2
1520,34.25
1524,34.28
1528,34.3
1532,34.33
1536,34.34
1540,34.37
1544,34.39
1548,34.42
1552,34.39
1556,34.35
1560,34.32
1564,34.3
1568,34.31
1572,34.32
1576,34.31
1580,34.3
1584,34.33
1588,34.33
1592,34.33
1596,34.34
1600,34.34
1604,34.33
1608,34.31
1612,34.28
1616,34.23
1620,34.17
1624,34.12
1628,34.04
1632,33.96
1636,33.85
1640,33.73
1644,33.6
1648,33.48
1652,33.32
1656,33.15
1660,33.15
1664,33.07
1668,32.96
1672,32.84
1676,32.68
1680,32.48
1684,32.2
1688,31.86
1692,31.52
1696,31.25
1700,30.99
1704,30.78
1708,30.67
1712,30.6
1716,30.52
1720,30.41
1724,30.39
1728,30.52
1732,30.8
1736,31.13
1740,31.42
1744,31.61
1748,31.67
1752,31.68
1756,31.68
1760,31.72
1764,31.85
1768,32.07
1772,32.39
1776,32.72
1780,33.07
1784,33.35
1788,33.57
1792,33.73
1796,33.84
1800,33.93
1804,33.99
1808,34.05
1812,34.1
1816,34.15
1820,34.21
1824,34.27
1828,34.34
1832,34.4
1836,34.48
1840,34.57
1844,34.67
1848,34.77
1852,34.9
1856,35.03
1860,35.12
1864,35.17
1868,35.17
1872,35.2
1876,35.21
1880,35.22
1884,35.18
1888,35.08
1892,34.96
1896,34.8
1900,34.65
1904,34.51
1908,34.43
1912,34.42
1916,34.47
1920,34.54
1924,34.58
1928,34.62
1932,34.65
1936,34.71
1940,34.77
1944,34.83
1948,34.9
1952,34.96
1956,35.03
1960,35.11
1964,35.2
1968,35.31
1972,35.41
1976,35.52
1980,35.59
1984,35.66
1988,35.73
1992,35.77
1996,35.81
2000,35.85
2004,35.9
2008,35.93
2012,36
2016,36.09
2020,36.17
2024,36.24
2028,36.3
2032,36.36
2036,36.42
2040,36.49
2044,36.56
2048,36.64
2052,36.73
2056,36.8
2060,36.86
2064,36.89
2068,36.93
2072,36.97
2076,37.02
2080,37.06
2084,37.09
2088,37.13
2092,37.14
2096,37.14
2100,37.12
2104,37.11
2108,37.11
2112,37.11
2116,37.11
2120,37.1
2124,37.07
2128,37.03
2132,36.92
2136,36.77
2140,36.54
2144,36.26
2148,35.96
2152,35.66
2156,35.42
2160,35.23
2164,35.13
2168,35.07
2172,35.05
2176,35.04
2180,35.03
2184,35.03
2188,35.02
2192,34.99
2196,34.9
2200,34.65
2204,34.4
2208,34.32
2212,34.6
2216,34.96
2220,35.23
2224,35.31
2228,35.28
2232,35.16
2236,34.95
2240,34.67
2244,34.25
2248,33.65
2252,32.88
2256,31.91
2260,30.73
2264,29.42
2268,28.11
2272,26.99
2276,26.2
2280,25.73
2284,25.42
2288,25.11
2292,24.62
2296,23.83
2300,22.83
2304,21.89
2308,21.35
2312,21.41
2316,21.94
2320,22.65
2324,23.32
2328,23.77
2332,23.94
2336,23.8
2340,23.41
2344,22.97
2348,22.68
2352,22.73
2356,23.09
2360,23.56
2364,23.97
2368,24.26
2372,24.42
2376,24.51
2380,24.57
2384,24.63
2388,24.67
2392,24.67
2396,24.63
2400,24.58
2404,24.58
2408,24.66
2412,24.81
2416,24.95
2420,25.07
2424,25.15
2428,25.21
2432,25.26
2436,25.31
2440,25.36
2444,25.36
2448,25.26
2452,25.07
2456,24.9
2460,24.85
2464,24.97
2468,25.2
2472,25.53
2476,25.87
2480,26.2
2484,26.45
2488,26.64
2492,26.79
2496,26.9
2500,26.98
