Wavelength (nm),Reflectance (%)
448,62.23
452,62.82
456,63.53
460,64.5
464,64.8
468,65.16
472,65.22
476,65.24
480,65.34
484,65.55
488,65.85
492,66.18
496,66.25
500,66.33
504,66.38
508,66.55
512,66.78
516,66.9
520,66.92
524,66.98
528,67.09
532,67.21
536,67.31
540,67.41
544,67.41
548,67.42
552,67.48
556,67.37
560,67.44
564,67.54
568,67.56
572,67.57
576,67.61
580,67.62
584,67.57
588,67.51
592,67.38
596,67.37
600,67.34
604,67.37
608,67.24
612,67
616,66.9
620,66.8
624,66.73
628,66.64
632,66.54
636,66.45
640,66.42
644,66.41
648,66.32
652,66.12
656,66.09
660,65.98
664,65.82
668,65.84
672,65.86
676,65.65
680,65.42
684,65.32
688,65.42
692,65.51
696,65.42
700,65.24
704,65.13
708,65.06
712,65.01
716,65.07
720,65.09
724,64.87
728,64.94
732,65.02
736,64.9
740,64.86
744,64.97
748,64.87
752,64.71
756,64.7
760,64.7
764,64.75
768,64.64
772,64.53
776,64.53
780,64.58
784,64.48
788,64.3
792,64.25
796,64.34
800,64.35
804,64.25
808,64.27
812,64.32
816,64.32
820,64.2
824,64.02
828,63.82
832,63.63
836,63.45
840,63.26
844,63.06
848,62.85
852,62.62
856,62.41
860,62.25
864,62.15
868,62.01
872,61.83
876,61.67
880,61.59
884,61.54
888,61.49
892,61.38
896,61.29
900,61.27
904,61.27
908,61.26
912,61.24
916,61.27
920,61.28
924,61.27
928,61.22
932,61.16
936,61.08
940,61.01
944,60.98
948,60.94
952,60.88
956,60.8
960,60.7
964,60.62
968,60.54
972,60.48
976,60.38
980,60.32
984,60.23
988,60.13
992,60.03
996,59.92
1000,59.82
1004,59.75
1008,59.67
1012,59.59
1016,59.53
1020,59.47
1024,59.43
1028,59.39
1032,59.3
1036,59.23
1040,59.18
1044,59.1
1048,59.05
1052,58.98
1056,58.91
1060,58.84
1064,58.78
1068,58.71
1072,58.66
1076,58.65
1080,58.65
1084,58.61
1088,58.59
1092,58.57
1096,58.56
1100,58.61
1104,58.67
1108,58.65
1112,58.59
1116,58.52
1120,58.48
1124,58.45
1128,58.46
1132,58.48
1136,58.43
1140,58.41
1144,58.42
1148,58.41
1152,58.4
1156,58.44
1160,58.48
1164,58.49
1168,58.49
1172,58.49
1176,58.5
1180,58.51
1184,58.54
